entity,period,loan_number,city,state,date_acquired,interest_rate,book_value,land_value,appraisal_date
EFLIC,2023Q1,60723124,Crittenden,AR,03/29/2023,5.5,1500000,2600000,
EFLIC,2023Q1,60723115,Mississippi,AR,03/08/2023,6.0,450000,1050000,
EFLIC,2023Q1,60723110,Bingham,ID,02/01/2023,5.95,3500000,5150000,
EFLIC,2023Q1,60723105,Kane,IL,01/30/2023,6.05,2650000,4098661,
EFLIC,2023Q1,60723122,Madison,LA,02/27/2023,5.5,4250000,9520000,
EFLIC,2023Q1,60723107,Ouachita,LA,02/28/2023,5.85,600000,1800000,
EFLIC,2023Q1,60723112,Blue Earth,MN,03/07/2023,5.75,400000,1485714,
EFLIC,2023Q1,60723106,Musselshell,MT,02/08/2023,5.75,3000000,6754271,
EFLIC,2023Q1,60723101,Luna,NM,03/30/2023,5.95,1500000,2750000,
EFLIC,2023Q1,60723109,Marion,OR,03/16/2023,5.9,2000000,3411808,
EFLIC,2023Q1,60723117,Lafayette,WI,03/30/2023,5.65,600000,3450000,
EFLIC,2023Q1,160001193,Orlando,FL,03/29/2023,7.077,164032022,244526000,
EFLIC,2023Q1,161000002,Memphis,TN,03/29/2023,3.0,6636798,10000000,
EFLIC,2023Q1,846108,Esio Collar 33- N/A Equity/Index,BPA,08/15/2018,1670.67,113781,1,08/14/2023
EFLIC,2023Q1,867393,,,11/15/2018,2730.2,326077,1,11/14/2023
EFLIC,2023Q1,867610,Esio Collar 53- N/A Equity/Index,CDC,11/15/2018,1524.12,36236,1,11/14/2023
EFLIC,2023Q1,900036,,,04/16/2019,2907.06,372078,1,04/15/2024
EFLIC,2023Q1,922934,,,07/16/2019,3004.04,346298,1,07/15/2024
EFLIC,2023Q1,938295,,,09/17/2019,3005.7,271199,1,09/16/2024
EFLIC,2023Q1,946668,,,10/15/2019,1523.3,36686,1,10/14/2024
EFLIC,2023Q1,964753,,,12/17/2019,3192.52,410464,1,12/16/2024
EFLIC,2023Q1,980114,Esio Collar N/A Equity/Index,BOA,02/18/2020,3370.29,168765,1,02/14/2025
EFLIC,2023Q1,1240056,,,01/18/2022,4577.11,160648,1,01/14/2027
EFLIC,2023Q1,1240134,,,01/18/2022,4577.11,211702,1,01/14/2025
EFLIC,2023Q1,1249793,,,02/15/2022,2076.46,129768,1,02/14/2025
EFLIC,2023Q1,1261457,Esio Collar N/A Equity/Index,WFC,03/15/2022,4262.45,508045,1,03/15/2027
EFLIC,2023Q1,1261486,,,03/15/2022,1968.97,155084,1,03/15/2027
EFLIC,2023Q1,1275070,,,04/19/2022,2030.77,213540,1,04/14/2027
EFLIC,2023Q1,1275163,,,04/19/2022,4462.21,3169949,1,04/14/2023
EFLIC,2023Q1,1275175,,,04/19/2022,4462.21,248322,1,04/14/2025
EFLIC,2023Q1,1285275,,,05/17/2022,4088.85,537376,1,05/14/2027
EFLIC,2023Q1,1285292,,,05/17/2022,4088.85,241601,1,05/14/2025
EFLIC,2023Q1,1296524,Esio Collar N/A Equity/Index,WFC,06/15/2022,3789.99,2262807,1,06/14/2023
EFLIC,2023Q1,1296542,,,06/15/2022,1731.14,138411,1,06/16/2025
EFLIC,2023Q1,1296572,,,06/15/2022,3789.99,646588,1,06/14/2027
EFLIC,2023Q1,1306159,,,07/15/2022,1744.37,542240,1,07/14/2023
EFLIC,2023Q1,1306201,,,07/15/2022,3863.16,454267,1,07/14/2025
EFLIC,2023Q1,1306228,,,07/15/2022,3863.16,463669,1,07/14/2027
EFLIC,2023Q1,1316570,Esio Collar N/A Equity/Index,BOA,08/16/2022,2020.53,99080,1,08/14/2025
EFLIC,2023Q1,1328763,,,09/15/2022,3901.35,2344095,1,09/14/2023
EFLIC,2023Q1,1328912,,,09/15/2022,1825.23,112752,1,09/15/2025
EFLIC,2023Q1,1328948,,,09/15/2022,3901.35,551040,1,09/14/2027
EFLIC,2023Q1,1340886,Esio Collar N/A Equity/Index,WFC,10/17/2022,1691.04,228296,1,10/16/2023
EFLIC,2023Q1,1340943,Esio Collar N/A Equity/Index,BBI,10/17/2022,1735.75,657683,1,10/16/2023
EFLIC,2023Q1,1340963,,,10/17/2022,3677.95,609983,1,10/14/2027
EFLIC,2023Q1,1351751,,,11/15/2022,1889.2,173349,1,11/14/2025
EFLIC,2023Q1,1351763,,,11/15/2022,1889.2,198203,1,11/15/2027
EFLIC,2023Q1,1351831,,,11/15/2022,3991.73,3143658,1,11/14/2023
EFLIC,2023Q1,1351843,,,11/15/2022,1931.3,274858,1,11/14/2023
EFLIC,2023Q1,1361587,,,12/15/2022,3895.75,352370,1,12/15/2025
EFLIC,2023Q1,1361631,,,12/15/2022,1774.61,759944,1,12/14/2023
EFLIC,2023Q1,1361689,,,12/15/2022,1961.54,292407,1,12/14/2023
EFLIC,2023Q1,1003943,,,03/17/2020,1106.51,68507,1,03/14/2025
EFLIC,2023Q1,1033155,,,05/15/2020,1256.99,159227,1,05/14/2025
EFLIC,2023Q1,1033178,Esio Collar N/A Equity/Index,WFC,05/15/2020,1256.99,66294,1,05/15/2023
