loan_number,city,state,date_acquired,interest_rate,book_value
3310050286,Bellevue,KY,04/19/2023,8.4,47916
3310050355,Chicago,IL,04/27/2023,8.673,51081
3310050374,Union Beach,NJ,04/19/2023,8.225,91397
3310050381,Worth,IL,04/27/2023,9.275,37125
3310051533,Detroit,MI,04/19/2023,8.925,32900
3310051590,Union,NJ,04/27/2023,8.925,127286
3310051650,Farmingville,NY,04/27/2023,8.365,85175
3310051670,Mountain View,CA,04/27/2023,8.54,673992
3310045662,Brooklyn,NY,04/04/2023,8.68,199980
3310048403,Paterson,NJ,04/27/2023,8.68,75735
3310048561,Rahway,NJ,04/27/2023,8.687,78745
3310048629,West Milford,NJ,04/27/2023,8.673,71478
3310048109,Tampa,FL,04/27/2023,9.03,143617
3310048326,Atlantic City,NJ,04/27/2023,8.68,41976
3310049770,Hesperia,CA,04/27/2023,8.33,101633
3310049799,Philadelphia,PA,04/27/2023,8.673,92397
3310049861,Jacksonville,FL,04/27/2023,8.673,32225
3310049927,Trenton,NJ,04/27/2023,8.365,27720
3310050695,Cohoes,NY,04/27/2023,9.03,33363
3310050727,Branchburg,NJ,04/27/2023,8.925,85054
3310050807,Memphis,TN,04/04/2023,8.04,3247517
3310050882,Cheektowaga,NY,04/27/2023,8.75,36386
3310048770,Atlanta,GA,04/27/2023,9.45,39275
3310048776,Buffalo,NY,04/19/2023,8.75,18580
3310048787,Huntersville,NC,04/27/2023,8.673,69784
3310050147,Freeport,NY,04/19/2023,8.834,152856
3310050154,Darlington,SC,04/27/2023,8.925,22968
3310049940,Detroit,MI,04/27/2023,8.75,52193
3310050012,Baltimore,MD,04/19/2023,8.365,80012
3310050047,Pittsburgh,PA,04/27/2023,8.96,10296
3310050077,Corpus Christi,TX,04/27/2023,8.68,17028
3310050889,Westbury,NY,04/19/2023,8.04,150520
3310050902,Linden,NJ,04/19/2023,8.68,162360
3310050968,Tyrone,PA,04/27/2023,9.443,24152
3310051040,Philadelphia,PA,04/27/2023,8.96,44352
3310051113,Vineland,NJ,04/27/2023,8.673,50629
3310051157,Dania Beach,FL,04/04/2023,8.673,118598
3310051205,Spring Valley,NY,04/19/2023,8.04,160380
3310051247,Garnerville,NY,04/04/2023,8.04,112266
3310046611,Berrien Springs,MI,04/19/2023,8.04,124710
3310048790,Chillicothe,OH,04/27/2023,8.05,851889
3310048815,Livingston,NJ,04/27/2023,8.743,223536
3310048860,Paterson,NJ,04/27/2023,8.68,71280
3310048900,The Bronx,NY,04/27/2023,8.96,145411
3310050159,Baltimore,MD,04/27/2023,8.365,47520
3310050183,Waterbury,CT,04/19/2023,8.04,27720
3310050212,The Bronx,NY,04/27/2023,8.687,178200
3310051298,Belleville,IL,04/27/2023,9.1,24219
3310051363,Marlboro,NJ,04/27/2023,8.673,84793
3310051440,Saint Stephen,SC,04/27/2023,8.687,36135
3300004337,Morganville,NJ,04/27/2023,8.708,5702
3310047868,Central Islip,NY,04/27/2023,8.687,126162
3310047959,Allenhurst,NJ,04/19/2023,8.05,255581
3310049651,Irvington,NJ,04/05/2023,8.83,379364
3310049669,Paramus,NJ,04/05/2023,8.905,144429
3310049676,Buffalo,NY,04/19/2023,9.1,18869
