name,state,date_acquired,book_value,investment_income,ownership_pct
RAS LAFFAN C,,09/30/2020,224200,0,0.0
CAPITAL ONE,,07/21/2020,218659,0,0.0
APACHE,,03/24/2020,215322,-179580,0.0
SOTHEBY'S,,12/15/2020,211447,0,0.0
SRFC 2019-1A B,,12/20/2020,211424,0,0.0
E14.3 902748-AA-0 TEXAS EASTERN TRANSMISSION,,12/15/2020,206172,0,0.0
MCSLT 2019-2GS A C,,12/20/2020,204784,0,0.0
OCCIDENTAL PETROLEUM,,01/27/2020,202901,59989,0.0
ANTERO MIDSTREAM,,04/06/2020,191261,-101250,0.0
HERO 2016-2A A,,11/20/2020,184056,0,0.0
MCSLT 2019-1A A C,,12/20/2020,177205,0,0.0
WLKRG 2019-AA B,,12/15/2020,165748,0,0.0
APACHE,,04/03/2020,159360,6125,0.0
HERO 2015-3A A,,12/15/2020,159177,0,0.0
JPMMT 2019-1 A4,,12/20/2020,151482,0,0.0
FREDDIE MAC REMICS,,05/01/2020,150731,0,0.0
WLKRG 2015-AA B,,12/15/2020,150083,0,0.0
AMERICAN CAMPUS,,01/31/2020,140043,300,0.0
96928*-DC-8 GSA HENDERSON NEVADA,,12/15/2020,123713,0,0.0
PSMC 2018-2 A3,,06/15/2020,114402,0,0.0
CONAGRA BRANDS,,09/09/2020,102721,0,0.0
UNITEDHEALTH GROUP,,09/15/2020,102696,0,0.0
AON,,06/30/2020,95674,269,0.0
SRFC 2016-3A A,,12/20/2020,87939,0,0.0
CONTINENTAL RESOURCES,,12/01/2020,85694,-2607,0.0
FREDDIE MAC GOLD POOL,,12/01/2020,80198,0,0.0
WFRBS 2011-C3 A4,,02/11/2020,78645,0,0.0
KRAFT HEINZ FOODS,,10/01/2020,77979,0,0.0
WLKRG 2019-AA C,,05/15/2020,76001,0,0.0
BANK 2020 BN26 A4,,09/16/2020,73758,0,0.0
LIBERTY PROPERTY,,09/01/2020,72268,0,0.0
TRANSOCEAN C,,02/16/2020,70485,2079,0.0
SCHLUMBERGER HOLDINGS,,10/01/2020,68359,0,0.0
HERO 2015-2A A,,11/20/2020,67958,10,0.0
MVWOT 2013-1A A,,08/25/2020,66932,0,0.0
FLIR SYSTEMS,,07/20/2020,65610,25480,0.0
PART 2016-2A C,,01/30/2020,57207,0,0.0
C,,08/24/2020,54910,0,0.0
LOCKHEED MARTIN,,10/01/2020,53500,0,0.0
LIBERTY PROPERTY,,12/01/2020,47762,0,0.0
WEA FINANCE,,12/01/2020,42344,0,0.0
AKER BP ASA C,,02/27/2020,41707,0,0.0
ABBVIE,,09/15/2020,37117,0,0.0
SANTANDER HOLDINGS,,03/20/2020,35200,0,0.0
49427R-C*-1 KEMPER CORP,,04/17/2020,25158,0,0.0
MARATHON OIL,,10/15/2020,24954,0,0.0
COLT 2019-A A1,,08/01/2020,22234,0,0.0
CREDIT SUISSE C,,10/14/2020,17720,0,0.0
ENERGY TRANSFER PARTNERS,,06/04/2020,15574,0,0.0
WFCM 2018-C43 A4,,03/26/2020,14304,0,0.0
MCKINSEY,,10/29/2020,14292,0,0.0
BARCLAYS C,,11/18/2020,13131,0,0.0
E13 08162V-AE-8 BMARK 2019-B10 A4,,02/24/2020,12870,0,0.0
C,,04/29/2020,12343,0,0.0
VISA,,04/17/2020,12338,0,0.0
PROLOGIS,,09/17/2020,11646,0,0.0
C,,11/17/2020,11119,0,0.0
T-MOBILE USA,,10/19/2020,10533,0,0.0
GINNIE MAE I POOL,,12/01/2020,10362,0,0.0
WAL-MART,,04/08/2020,10152,0,0.0
CANADIAN PACIFIC RAILROAD,,05/28/2020,9946,0,0.0
HY 2019-30HY A,,01/28/2020,9112,0,0.0
GRACE 2020-GRCE E,,08/19/2020,8458,0,0.0
TENNESSEE GAS PIPELINE,,01/28/2020,8056,0,0.0
T-MOBILE USA,,08/11/2020,7333,0,0.0
HANOVER INSURANCE GROUP,,03/04/2020,6667,0,0.0
BBCMS 2020-C6 A4,,09/14/2020,6463,0,0.0
PEPSICO,,03/25/2020,6257,0,0.0
GINNIE MAE II POOL 3636,,12/01/2020,5865,1335789,0.0
JABIL CIRCUIT,,02/24/2020,5581,0,0.0
SONOCO PRODUCTS,,03/04/2020,5477,0,0.0
BMARK 2019-B15 A5,,02/27/2020,5214,0,0.0
SHERWIN-WILLIAMS,,03/12/2020,4917,0,0.0
BAUSCH HEALTH COS,,05/27/2020,4339,0,0.0
CREDIT SUISSE C,,03/12/2020,4195,0,0.0
HYUNDAI CAPITAL,,02/10/2020,3484,0,0.0
MKT 2020-525M B,,08/17/2020,3433,0,0.0
GENERAL DYNAMICS,,03/23/2020,3173,0,0.0
AVERY DENNISON,,01/22/2020,3083,0,0.0
GE CAPITAL INTERNATIONAL C,,05/28/2020,2897,0,0.0
GINNIE MAE I POOL,,12/01/2020,2893,0,0.0
BERKSHIRE HATHAWAY,,01/30/2020,2734,0,0.0
MCCORMICK &,CO,02/26/2020,2714,0,0.0
CCL INDUSTRIES,,03/02/2020,2344,0,0.0
LPSLT 2020-3GS A,,10/29/2020,2337,1719,0.0
HUNTINGTON BANCSHARES,,03/26/2020,2294,0,0.0
HEALTHCARE REALTY TRUST,,09/17/2020,1898,0,0.0
NRART 2020-T1 CT1,,08/18/2020,1748,0,0.0
SPSS 2017-1A A,,11/06/2020,1590,0,0.0
AT&T,,12/07/2020,1486,940,0.0
NRART 2020-T1 DT1,,09/10/2020,1422,0,0.0
G8655*-AA-2 WEYERHAEUSER,,08/28/2020,1337,0,0.0
MASTERCARD INC,,04/13/2020,995,0,0.0
SYSCO,,03/23/2020,953,0,0.0
AMERICAN FINANCIAL GROUP,,01/31/2020,792,0,0.0
ARCHER-DANIELS-MIDLAND,,04/07/2020,651,0,0.0
NGPL PIPECO,,08/18/2020,450,0,0.0
AGREE,,02/25/2020,408,0,0.0
ALTRIA GROUP,,04/15/2020,369,0,0.0
CD 2019-CD8 A4,,04/15/2020,289,0,0.0
AVALONBAY,,03/02/2020,265,0,0.0
LYB INT FINANCE,,10/05/2020,258,0,0.0
ALTRIA GROUP,,03/27/2020,181,0,0.0
CHAPARRAL ENERGY,,06/30/2020,126,73,117.0
MSAIC 2019-2A A,,03/04/2020,115,0,0.0
AFLAC,,03/30/2020,0,0,0.0
AT&T,,05/14/2020,0,0,0.0
ABBVIE,,08/12/2020,0,0,0.0
AMGEN,,03/04/2020,0,0,0.0
ANALOG DEVICES,,09/22/2020,0,0,0.0
ANALOG DEVICES,,01/23/2020,0,0,0.0
ANHEUSER-BUSCH INBEV,,03/24/2020,0,0,0.0
ARES CAPITAL,,03/20/2020,0,0,0.0
AUTODESK INC,,06/16/2020,0,0,0.0
BAT CAPITAL,,03/20/2020,0,0,0.0
BMW US CAPITAL,,03/26/2020,0,0,0.0
BX 2020-BXLP C,,06/24/2020,0,0,0.0
BAXTER INTERNATIONAL,,04/01/2020,0,0,0.0
BBCMS 2019-C4 A5,,06/11/2020,0,0,0.0
CIT GROUP,,04/03/2020,0,0,0.0
CARGILL,,06/17/2020,0,0,0.0
CARRIER GLOBAL,,07/17/2020,0,0,0.0
CARRIER GLOBAL,,09/09/2020,0,0,0.0
CUSIP Description Foreign Date Name of Vendor Number of Shares Actual Cost Par Value,,04/06/2020,0,0,0.0
E13.1 369550-BL-1 GSMS 2020-GC45,,03/23/2020,0,0,0.0
GENERAL DYNAMICS,,09/28/2020,0,0,0.0
GENERAL MOTORS,,10/15/2020,0,0,0.0
GLENCORE FUNDING,,11/10/2020,0,0,0.0
HIGHWOODS REALTY,,01/06/2020,0,0,0.0
HOME DEPOT,,03/26/2020,0,0,0.0
HOME DEPOT,,03/26/2020,0,0,0.0
HUNTINGTON INGALLS,,09/15/2020,0,0,0.0
INTEL,,03/20/2020,0,0,0.0
INTEL,,03/26/2020,0,0,0.0
INTERPUBLIC GROUP,,01/08/2020,0,0,0.0
JPMORGAN CHASE,,09/30/2020,0,0,0.0
JEFFERIES GROUP,,10/28/2020,0,0,0.0
JRD HOLDINGS,,09/22/2020,0,0,0.0
KILROY REALTY,,03/31/2020,0,0,0.0
KIMBERLY-CLARK,,04/21/2020,0,0,0.0
KROGER,,04/15/2020,0,0,0.0
LYB INT FINANCE,,10/06/2020,0,0,0.0
LEIDOS INC,,09/10/2020,0,0,0.0
LPSLT 2020-2GF A,,10/29/2020,0,0,0.0
LPSLT 2020-3GS A,,10/21/2020,0,0,0.0
MCA 2020-1 A,,02/07/2020,0,0,0.0
OMW 2020-OMW C,,01/09/2020,0,0,0.0
MASSMUTUAL GLOBAL,,03/24/2020,0,0,0.0
MCDONALD'S,,03/03/2020,0,0,0.0
MCDONALD'S,,03/25/2020,0,0,0.0
MCDONALD'S,,05/22/2020,0,0,0.0
MEGGITT HOLDINGS,,03/19/2020,0,0,0.0
METLIFE,,04/03/2020,0,0,0.0
METLIFE GLOBAL FUNDING I,,04/07/2020,0,0,0.0
MONDELEZ INTERNATIONAL,,04/14/2020,0,0,0.0
MONDELEZ INTERNATIONAL,,01/24/2020,0,0,0.0
617700-A*-0 MORGAN STANLEY,,09/23/2020,0,0,0.0
MORNINGSTAR,,09/17/2020,0,0,0.0
NATIONAL FOOTBALL LEAGUE,,08/18/2020,0,0,0.0
NRART NRART 2020-T2,,10/01/2020,0,0,0.0
NRART 2020-T3 DT3,,04/07/2020,0,0,0.0
63486*-AB-7 NARRAGANSETT ELECTRIC,,11/24/2020,0,0,0.0
NATIONAL BASKETBALL ASSOC,,01/22/2020,0,0,0.0
NATIONAL RURAL UTILITIES,,09/10/2020,0,0,0.0
NIELSEN FINANCE,,03/25/2020,0,0,0.0
NIKE,,03/16/2020,0,0,0.0
NORTHROP GRUMMAN,,03/19/2020,0,0,0.0
NORTHROP GRUMMAN,,02/11/2020,0,0,0.0
NOVARTIS CAPITAL,,03/23/2020,0,0,0.0
NSTAR ELECTRIC,,10/27/2020,0,0,0.0
CUSIP Description Foreign Date Name of Vendor Number of Shares Actual Cost Par Value,,03/26/2020,0,0,0.0
E13.2 67079B-AD-2 NVIDIA CORP,,09/09/2020,0,0,0.0
NUTRITION & BIOSCIENCES,,08/12/2020,0,0,0.0
OMART 2020-T1 CT1,,08/12/2020,0,0,0.0
OMART 2020-T1 DT1,,03/05/2020,0,0,0.0
ONEOK,,02/11/2020,0,0,0.0
OSHKOSH,,12/01/2020,0,0,0.0
OWL ROCK,,01/16/2020,0,0,0.0
PNC FINANCIAL,,06/05/2020,0,0,0.0
PACEF 2020-1A A,,03/12/2020,0,0,0.0
PAYPAL,,03/17/2020,0,0,0.0
PFIZER,,08/06/2020,0,0,0.0
74170*-BD-0 PRIME SECSRVC BRW,,09/22/2020,0,0,0.0
PRIME PROPERTY FUND,,03/23/2020,0,0,0.0
PROCTER & GAMBLE,,02/10/2020,0,0,0.0
PROLOGIS,,02/03/2020,0,0,0.0
QUANTA SERVICES INC,,03/26/2020,0,0,0.0
RAYMOND JAMES FINANCIAL,,08/07/2020,0,0,0.0
REGENERON PHARMACEUTICAL,,07/28/2020,0,0,0.0
RELIANCE,,02/25/2020,0,0,0.0
REPUBLIC SERVICES,,04/02/2020,0,0,0.0
ROSS STORES,,10/15/2020,0,0,0.0
SANTANDER HOLDINGS,,05/27/2020,0,0,0.0
CHARLES SCHWAB,,04/13/2020,0,0,0.0
SHERWIN-WILLIAMS,,03/03/2020,0,0,0.0
SRFC 2018-2A A,,04/20/2020,0,0,0.0
SOUTHERN CALIFORNIA EDISON,,01/06/2020,0,0,0.0
SOUTHERN CALIFORNIA GAS,,02/03/2020,0,0,0.0
STANLEY BLACK & DECKER,,03/10/2020,0,0,0.0
STARBUCKS,,11/06/2020,0,0,0.0
SPSS 2017-1A A,,07/17/2020,0,0,0.0
TARGA RESOURCES,,01/07/2020,0,0,0.0
TEGNA,,02/19/2020,0,0,0.0
UNION PACIFIC RAILROAD,,03/19/2020,0,0,0.0
UNITED PARCEL SERVICE,,09/10/2020,0,0,0.0
UNIVERSAL HEALTH SVCS,,06/17/2020,0,0,0.0
UPJOHN INC,,07/30/2020,0,0,0.0
VANGUARD VANGUARD,,03/17/2020,0,0,0.0
VERIZON COMMUNICATIONS,,11/10/2020,0,0,0.0
VERIZON COMMUNICATIONS,,03/16/2020,0,0,0.0
VISA,,03/31/2020,0,0,0.0
VOLKSWAGEN,,03/27/2020,0,0,0.0
008474-F*-4 TPG PARTNER,,03/05/2020,0,0,0.0
AGNICO EAGLE MINES,,04/22/2020,0,0,0.0
ALIMENTATION COUCHE-TARD,,10/07/2020,0,0,0.0
CANADIAN NAT. RES.,,03/03/2020,0,0,0.0
ELEMENT FLEET MANAGEMENT,,03/10/2020,0,0,0.0
OPEN TEXT HOLDINGS,,03/16/2020,0,0,0.0
TORONTO-DOMINION BANK,,01/21/2020,0,0,0.0
"Acquired of Stock 5,000,000 Interest and Identification Description Foreign",,07/08/2020,0,0,0.0
AIRBUS CANADA C,,11/24/2020,0,0,0.0
C,,01/08/2020,0,0,0.0
ABPCI 2020-9A A1 C,,01/08/2020,0,0,0.0
C,,09/16/2020,0,0,0.0
ABPCI 2020-10A A1B C,,01/08/2020,0,0,0.0
AKER BP ASA C,,09/28/2020,0,0,0.0
C,,03/10/2020,0,0,0.0
C,,04/02/2020,0,0,0.0
COCA-COLA FEMSA SAB CV C,,06/11/2020,0,0,0.0
C,,02/18/2020,0,0,0.0
C,,10/20/2020,0,0,0.0
DEUTSCHE BANK,NY,02/19/2020,0,0,0.0
C,,03/12/2020,0,0,0.0
C,,10/02/2020,0,0,0.0
HERO 2020-1A A C,,09/10/2020,0,0,0.0
C,,07/22/2020,0,0,0.0
JAB HOLDINGS C,,03/03/2020,0,0,0.0
AALLC 2018-1 B,,12/02/2020,0,0,0.0
ACER 2016-2A B,,02/10/2020,0,0,0.0
CSMC 2017-HL2 A3,,09/01/2020,0,0,0.0
CVS PASS THRU TRUST,,11/01/2020,0,0,0.0
CWHL 2004-5 1A5,,12/17/2020,0,0,0.0
CAPITAL ONE FINANCIAL,,06/10/2020,0,0,0.0
CHARTER COMMUNICATIONS,,12/01/2020,0,0,0.0
COMMONWEALTH EDISON,,12/23/2020,0,0,0.0
CONCHO RESOURCES,,11/25/2020,0,0,0.0
CSFB 2004-8 CB2,,07/06/2020,0,0,0.0
DBUBS 2011-LC1A A3,,03/22/2020,0,0,0.0
DIAMOND SPORTS,,02/07/2020,0,0,0.0
DISCOVERY COMMUNICATIONS,,04/17/2020,0,0,0.0
ERAC USA FINANCE,,10/16/2020,0,0,0.0
EHGVT 2016-A A,,12/25/2020,0,0,0.0
EHGVT 2019-A B,,05/28/2020,0,0,0.0
EHGVT 2019-A C,,05/05/2020,0,0,0.0
ENERGIZER HOLDINGS,,05/18/2020,0,0,0.0
ENTERPRISE PRODUCTS,,09/02/2020,0,0,0.0
FIAOT 2016-2A C,,02/15/2020,0,0,0.0
FFIN 2019-1A A,,07/17/2020,0,0,0.0
GMACM 2006-J1 A6,,01/07/2020,0,0,0.0
GENERAL ELECTRIC,,09/20/2020,0,0,0.0
GLDN 2016-2A A,,12/15/2020,0,0,0.0
GOODG 2017-1A A,,12/15/2020,0,0,0.0
GOODG 2019-1A,,12/20/2020,0,0,0.0
HALLIBURTON,,12/20/2020,0,0,0.0
HERO 2015-2A A,,12/20/2020,0,0,0.0
HERO 2016-2A A,,12/20/2020,0,0,0.0
fication,,12/15/2020,0,0,0.0
Description,,12/15/2020,0,0,0.0
HERTZ,,02/24/2020,0,0,0.0
HEWLETT-PACKARD,,05/01/2020,0,0,0.0
HOSPITALITY PROPERTIES,,06/01/2020,0,0,0.0
HOST HOTELS & RESORTS,,12/01/2020,0,0,0.0
IBM,,04/08/2020,0,0,0.0
HENDR 2010-3A A,,03/05/2020,0,0,0.0
HENDR 2012-2A A,,02/10/2020,0,0,0.0
HENDR 2013-3A A,,06/16/2020,0,0,0.0
JABIL CIRCUIT,,03/04/2020,0,0,0.0
JPMBB 2015-C33 A3,,12/20/2020,0,0,0.0
486606-H@-8 JPMMT 2018-9 A3,,08/20/2020,0,0,0.0
KAYNE ANDERSON MLP,,01/10/2020,0,0,0.0
LAMB WESTON HOLDINGS,,04/07/2020,0,0,0.0
LIBERTY PROPERTY,,09/14/2020,0,0,0.0
LINCOLN NATIONAL,,01/24/2020,0,0,0.0
LOWES,,01/26/2020,0,0,0.0
MVWOT 2015-1A B,,12/20/2020,0,0,0.0
MVWOT 2014-1A B,,01/15/2020,0,0,0.0
MVWOT 2019-2A C,,08/25/2020,0,0,0.0
MARATHON OIL,,10/15/2020,0,0,0.0
MABS 2005-AB1 A4,,03/20/2020,0,0,0.0
NORTHERN TRUST,,10/14/2020,0,0,0.0
OCCIDENTAL PETROLEUM,,03/23/2020,0,0,0.0
OCCIDENTAL PETROLEUM,,03/18/2020,0,0,0.0
OLIN,,04/18/2020,0,0,0.0
ONGLT 2016-A A,,12/08/2020,0,0,0.0
ONGLT 2014-AA A,,09/09/2020,0,0,0.0
ONGLT 2015-AA B,,12/09/2020,0,0,0.0
ONGLT 2019-A C,,05/28/2020,0,0,0.0
ONGLT 2018-A C,,12/01/2020,0,0,0.0
PART 2016-1A C,,12/15/2020,0,0,0.0
RELX CAPITAL,,12/20/2020,0,0,0.0
REYNOLDS GROUP,,01/06/2020,0,0,0.0
SEMT 2019-1 A4,,12/20/2020,0,0,0.0
SRFC 2016-3A B,,12/20/2020,0,0,0.0
SRFC 2019-1A C,,03/19/2020,0,0,0.0
SSCRF 2015-1A A,,12/15/2020,0,0,0.0
SFS 2010-A A,,12/15/2020,0,0,0.0
SFS 2010-B B,,12/15/2020,0,0,0.0
TARGET SHELBY MICHIGAN,,10/01/2020,0,0,0.0
HENDR 2010-1A A,,10/01/2020,0,0,0.0
USTA NATIONAL TENNIS CENTER,,10/15/2020,0,0,0.0
RAYTHEON TECH,,10/15/2020,0,0,0.0
UNUM GROUP,,03/04/2020,0,0,0.0
VSTNA 2017-A C,,12/01/2020,0,0,0.0
VSTNA 2016-A B,,10/02/2020,0,0,0.0
WEA FINANCE,,10/05/2020,0,0,0.0
WAMU 2004-S3 B1,,12/01/2020,0,0,0.0
WESTROCK,,12/01/2020,0,0,0.0
BAMLL 2015-200P C,,05/19/2020,0,0,0.0
GOLDMAN SACHS US GOVERNMENT,,12/30/2020,0,0,0.03
