loan_number,city,state,date_acquired,interest_rate,book_value
3310034827,Livingston,NJ,04/08/2022,6.76,135432
3310034833,Wyandanch,IL,04/01/2022,5.875,130896
3310034861,Atlantic City,NY,04/14/2022,5.966,83655
3310034865,Point Pleasant,NJ,05/19/2022,5.7,134640
3310034884,Brooklyn,NY,04/08/2022,5.966,147906
3310034892,Saraland,NY,04/08/2022,6.44,157486
3310034902,Lincoln Park,AZ,04/20/2022,6.043,255024
3310034946,Philadelphia,NY,05/19/2022,6.05,78210
3310034977,Philadelphia,LA,06/29/2022,6.05,74052
3310035014,Phoenix,NJ,04/14/2022,6.31,123433
3310035068,Chicago,KY,05/19/2022,5.0,1267200
3310035097,Oyster Bay,CA,04/14/2022,6.043,472948
3310035114,East Islip,NY,04/20/2022,6.76,33660
3310035215,Markham,IL,05/19/2022,6.69,18830
3310035225,Hicksville,CT,05/19/2022,7.3,77418
3310035251,Chicago,NY,06/15/2022,5.7,67815
3310035269,Newark,NJ,05/19/2022,7.06,151470
3310035292,Bloomfield,IL,05/19/2022,6.79,43025
3310035296,Chicago,NJ,06/23/2022,6.015,206910
3310035306,Moundville,NJ,05/19/2022,6.55,76270
3310035322,St. Louis,NY,06/29/2022,6.25,69300
3310035330,Central Islip,NJ,06/15/2022,7.05,87120
3310035360,Dix Hills,NJ,06/15/2022,6.3,98208
3310035369,Wooster,IL,04/29/2022,7.05,90581
3310035397,Reading,NJ,04/29/2022,6.29,106920
3310035423,Bronx,AL,05/19/2022,7.55,14405
3310035451,Port Washington,IL,04/29/2022,6.69,34379
3310035475,Waterbury,MO,06/15/2022,6.05,3960
3310035547,Bordentown,IL,05/19/2022,6.69,6043
3310035563,Vero Beach,NY,05/19/2022,5.875,91080
3310035605,Nutley,NY,04/29/2022,6.05,147906
3310035619,West Palm Beach,NY,04/20/2022,5.7,193525
3310035635,Fort Lauderdale,NY,04/20/2022,6.1,178200
3310035671,Orange,OH,06/07/2022,5.7,832194
3310035689,Newark,CA,04/29/2022,5.7,451715
3310035712,Union,PA,04/29/2022,6.56,63126
3310035747,Medford,PA,05/19/2022,6.78,23348
3310035761,Columbus,NY,05/19/2022,5.7,192461
3310035776,East Orange,NJ,05/19/2022,7.05,51678
3310035800,Bronx,FL,05/19/2022,6.8,70211
3310035822,Chicago,CT,05/19/2022,7.05,49367
3310035837,Plattekill,IL,04/29/2022,6.69,112033
3310035891,Eden,NC,06/07/2022,7.3,12474
3310035901,Lanham,NJ,06/07/2022,7.05,163944
3310035904,Sound Beach,MD,05/19/2022,6.3,111296
3310035925,Panama City Beach,CT,05/19/2022,6.8,103792
3310035935,Maplewood,NY,06/15/2022,6.18,89100
3310035986,Elmsford,MD,05/19/2022,6.3,120582
3310036025,Port Jervis,FL,05/19/2022,7.42,125928
3310036032,Tampa,NJ,04/29/2022,6.43,119750
3310036044,Port Jefferson Stati,NJ,05/19/2022,6.81,51901
3310036074,Livingston,PA,06/07/2022,7.29,8316
3310036093,Detroit,NY,06/15/2022,5.7,121532
3310036097,St. Louis,NY,06/07/2022,6.3,126522
3310036113,Oak Lawn,NY,06/07/2022,7.02,45340
3310036133,Big Spring,NY,06/15/2022,7.02,63360
3310036136,Paterson,FL,05/19/2022,6.043,342425
3310036159,Hollywood,NJ,06/07/2022,6.05,142560
3310036164,Paterson,NY,05/19/2022,6.32,139887
3310036174,Dayton,NY,06/15/2022,6.45,147114
3310036200,Palm Harbor,NJ,06/15/2022,6.45,220374
3310036205,Chicago,FL,06/07/2022,6.05,149688
3310036255,Jersey City,MI,06/15/2022,6.05,21605
3310036297,Lowell,CT,06/15/2022,6.3,58608
3310036327,Chicago,MO,06/23/2022,6.015,24770
3310036356,Cranford,NY,05/19/2022,6.43,167508
3310036380,Tampa,IL,06/23/2022,7.05,61378
3310036394,Los Angeles,NY,06/15/2022,6.32,119196
3310036428,Clark,FL,05/19/2022,7.05,226314
3310036433,Jackson,NJ,05/19/2022,6.55,160380
3310036445,Chicago Heights,NY,06/07/2022,6.015,71280
3310036508,Brooklyn,NY,06/15/2022,6.05,522720
3310036527,Center Point,LA,06/07/2022,6.015,53460
3310036543,Mililani,AL,06/23/2022,5.931,2027520
3310036551,Zephyrhills,HI,06/15/2022,6.27,85536
3310036577,Chicago,HI,06/23/2022,5.875,275814
3310036603,Livingston,OK,06/07/2022,6.8,74213
3310036609,Felton,FL,06/07/2022,5.35,397980
3310036629,Lindenhurst,PA,06/29/2022,6.3,749125
3310036682,Amityville,IL,06/23/2022,6.022,44986
3310036702,Tucson,NJ,06/15/2022,6.015,134640
3310036712,Newark,NJ,06/29/2022,5.686,140540
3310036729,Irvington,NJ,06/23/2022,6.05,192456
3310036731,Indianapolis,DE,06/29/2022,9.45,26136
3310036766,Bridgeport,NJ,06/23/2022,6.043,216731
3310036772,Kearny,NY,06/15/2022,6.45,150084
3310036789,Indianapolis,NJ,06/15/2022,5.875,103950
3310036809,Indianapolis,NY,05/19/2022,6.05,130284
3310036819,West Hollywood,MA,06/15/2022,7.03,137214
3310036861,Mastic Beach,AZ,06/07/2022,6.05,85833
3310036871,Douglasville,PA,06/15/2022,6.57,9027
3310036876,Cleveland Heights,NJ,06/29/2022,5.665,117810
3310036890,Irvington,FL,06/15/2022,6.05,74448
3310036894,Penn Hills,NJ,06/15/2022,6.22,58806
3310036926,Cooper City,IN,06/07/2022,7.2,78230
