loan_number,city,state,date_acquired,interest_rate,book_value
100008099,,,05/23/2011,0.0,2753323
100008619,Mesa,CO,11/10/2011,0.0,46652
100010127,Los Angeles,MO,05/14/2015,0.0,15515
100011910,Manteno,VA,07/21/2015,0.0,33358
100012014,Portland,IL,02/01/2016,0.0,43933
100012057,Phoenix,CA,04/29/2016,0.0,77073
100012165,Santa Clara,DC,04/29/2016,0.0,47713
100012246,,,09/01/2016,0.0,34360
100012302,,,03/03/2017,0.0,37972
100012652,,,05/04/2018,0.0,81120
Loan,,,03/11/2020,0.0,168341
100013989,Norfolk,KY,01/23/2020,0.0,88595
100013998,Louisville,TX,01/29/2020,0.0,43037
100014027,Santa Rosa,VA,11/10/2020,0.0,38427
100014159,San Antonio,FL,02/24/2021,0.0,131974
Receive,"Us$, Pay",EUR,09/10/2020,0.0,20230000
Receive,"Us$, Pay",EUR,10/01/2020,0.0,12915100
