entity,period,category,naic_designation,total_current_year,total_prior_year
FUNM,2021Q1,BONDS,NAIC 1,1471493625,1543407820
FUNM,2021Q1,BONDS,NAIC 2,2052491180,1966533127
FUNM,2021Q1,BONDS,NAIC 3,3,15262831
FUNM,2021Q1,BONDS,NAIC 4,177542086,177746596
FUNM,2021Q1,BONDS,NAIC 5,44428550,51972592
FUNM,2021Q1,BONDS,NAIC 6,19937274,7196135
FUNM,2021Q1,BONDS,NAIC 1,4000000,4000000
FUNM,2021Q1,BONDS,NAIC 2,4000000,4000000
FUNM,2021Q2,BONDS,NAIC 1,1501778218,1543407820
FUNM,2021Q2,BONDS,NAIC 2,2067958402,1966533127
FUNM,2021Q2,BONDS,NAIC 3,3,59069
FUNM,2021Q2,BONDS,NAIC 4,176978655,177746596
FUNM,2021Q2,BONDS,NAIC 5,44411461,51972592
FUNM,2021Q2,BONDS,NAIC 6,19856936,7196135
FUNM,2021Q2,BONDS,NAIC 1,4000000,4000000
FUNM,2021Q2,BONDS,NAIC 2,4000000,4000000
FUNM,2021Q3,BONDS,NAIC 1,1516931674,1543407820
FUNM,2021Q3,BONDS,NAIC 2,2059264810,1966533127
FUNM,2021Q3,BONDS,NAIC 3,3,11898434
FUNM,2021Q3,BONDS,NAIC 4,188751089,177746596
FUNM,2021Q3,BONDS,NAIC 5,46394156,51972592
FUNM,2021Q3,BONDS,NAIC 6,19771960,7196135
FUNM,2021Q3,BONDS,NAIC 1,4000000,4000000
FUNM,2021Q3,BONDS,NAIC 2,4000000,4000000
FUNM,2022Q1,BONDS,NAIC 1,1535542965,1518159127
FUNM,2022Q1,BONDS,NAIC 2,2105120399,2061260755
FUNM,2022Q1,BONDS,NAIC 3,3,-11588124
FUNM,2022Q1,BONDS,NAIC 4,166963396,178676120
FUNM,2022Q1,BONDS,NAIC 5,42345418,46376006
FUNM,2022Q1,BONDS,NAIC 6,16415770,16501495
FUNM,2022Q1,BONDS,NAIC 1,4000000,4000000
FUNM,2022Q1,BONDS,NAIC 2,4000000,4000000
FUNM,2022Q4,U.S. Governments,NAIC 1,40692734,0
