period,schedule_type,t_state,t_state_code,t_life,t_annuity,t_ah,t_other,t_total,t_deposit,b_loan_number,b_city,b_state,b_date_acquired,b_interest_rate,b_book_value,b_land_value,b_appraisal_date,ba_name,ba_state,ba_date_acquired,ba_actual_cost,ba_fair_value,ba_book_value,ba_investment_income,ba_ownership_pct,d_category,d_naic_designation,d_total_current_year,d_total_prior_year
2019Q2,t,Delaware,DE,1542041,3427480,2114558,26993476,223873866,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,District Of Columbia,DC,427625,425900,243514,0,25363621,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Florida,FL,21504011,68618475,36540598,0,29737890,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Georgia,GA,5687360,9614403,7368337,0,16370143,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Hawaii,HI,808965,3438336,1078350,0,22193158,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Idaho,ID,793399,3069259,3202810,0,1187120,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Illinois,IL,10699958,15264451,8588097,0,66174687,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Indiana,IN,9052036,33373467,12755785,0,996002,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Iowa,IA,9384603,38112049,12788760,0,5844553,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Kansas,KS,4018472,13991148,8843473,0,80746096,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Kentucky,KY,3479639,12733901,3552992,0,27900164,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Louisiana,LA,1381296,554343,2570348,0,25962662,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Maine,ME,2487009,7809623,2252483,0,4851368,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Maryland,MD,4732185,8010073,5107167,0,29867793,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Massachusetts,MA,4526960,16307357,6159159,0,18000960,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Michigan,MI,12529594,31882402,8382018,0,1110589,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Minnesota,MN,4296418,15591916,5475287,0,1626,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Mississippi,MS,1171535,2825876,2711568,0,27688,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Missouri,MO,5880602,12614478,11242810,0,2070,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Montana,MT,573522,1489166,1517532,0,248,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Nebraska,NE,1538145,9066170,5765829,0,1224353105,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Oklahoma,OK,1704653,1405448,0,0,2734452,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Oregon,OR,2694076,8213543,0,0,5334191,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Pennsylvania,PA,14464333,43549469,0,0,22732294,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Rhode Island,RI,2004227,7681392,0,0,2162983,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,South Carolina,SC,5027092,18009218,0,0,4863854,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,South Dakota,SD,300015,395278,0,0,2214859,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Tennessee,TN,5095364,14215506,0,0,6651792,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Texas,TX,11580351,32877251,0,0,17659820,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Utah,UT,584278,2952012,0,0,1315078,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Vermont,VT,1000968,5133486,0,0,2963600,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Virginia,VA,5687195,15393732,0,0,8786866,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Washington,WA,4178021,23694872,0,0,10709163,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,West Virginia,WV,3173847,11761840,0,0,3065273,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Wisconsin,WI,5661228,10173423,0,0,9962305,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Wyoming,WY,175868,257900,0,0,676821,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Guam,GU,2301,0,0,0,741,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Puerto Rico,PR,23885,0,0,0,3803,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,U.S. Virgin Islands,VI,6084,0,0,0,4315,0,,,,,,,,,,,,,,,,,,,,
2019Q2,t,Aggregate Other Aliens,OT,22629,0,0,0,27458,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Alabama,AL,1464821,3770047,1644940,0,6879808,25000,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Arizona,AZ,2658508,4615663,5392432,0,12666602,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Arkansas,AR,1693738,1992906,2381734,0,6068378,344653448,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Colorado,CO,3207745,10205475,6487328,0,19900549,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Connecticut,CT,4688898,14529430,5320432,0,24538760,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,District Of Columbia,DC,428709,152728,247075,0,828512,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Florida,FL,24374611,72877690,34962494,0,132214795,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Hawaii,HI,728334,1638627,951068,0,3318029,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Idaho,ID,798309,1552832,2679543,0,5030684,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Indiana,IN,9540261,31318334,11533311,0,52391907,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Iowa,IA,12465456,49420187,12115856,0,74001499,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Kentucky,KY,4390743,19182989,3434646,0,27008379,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Louisiana,LA,1435200,760657,2086149,0,4282006,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Maryland,MD,4751716,9599028,4458672,0,18809415,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Massachusetts,MA,3829572,12282743,5084826,0,21197141,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Minnesota,MN,4740056,18756753,5205096,0,28701905,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Mississippi,MS,1398159,2021186,2189894,0,5609238,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Montana,MT,679964,2618995,1440895,0,4739854,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Nebraska,NE,1667759,7974713,4987163,0,14629636,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,New Hampshire,NH,1490831,11837840,6076762,0,19405433,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,New Jersey,NJ,7882382,10422147,15616789,0,33921319,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,New York,NY,630075,848208,843672,0,2321956,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,North Carolina,NC,9228724,46426168,12484812,0,68139703,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Ohio,OH,8571509,16135638,8770324,0,33477471,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Oklahoma,OK,1489301,3627564,2820730,0,7937595,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Pennsylvania,PA,15528483,41977956,19843492,0,77349930,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Rhode Island,RI,2519339,12564907,1878170,0,16962416,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,South Dakota,SD,424450,900662,2189920,0,3515032,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Tennessee,TN,6275228,15145525,6087211,0,27507964,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Utah,UT,650865,1457133,1145893,0,3253891,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Vermont,VT,939759,1881874,2551957,0,5373590,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Washington,WA,4189706,14478166,9464320,0,28132192,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,West Virginia,WV,3459675,11022029,2635365,0,17117069,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Wyoming,WY,173955,238406,631385,0,1043747,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,American Samoa,AS,2339,0,0,0,2339,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,Puerto Rico,PR,26459,2274,0,0,28734,0,,,,,,,,,,,,,,,,,,,,
2021Q2,t,U.S. Virgin Islands,VI,3765,4607,0,0,8372,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Alabama,AL,2172622,5834472,2438203,0,10445297,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Arizona,AZ,4067907,6932081,7882790,0,18882778,120347,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Arkansas,AR,2531896,2832518,3559411,8923826,264317,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Colorado,CO,4812973,15613623,9485422,0,29912018,672880929,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Connecticut,CT,7010216,20470805,7909139,35390159,672880929,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,District Of Columbia,DC,655748,188778,366619,0,1211145,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Florida,FL,36736274,113289129,51557435,0,201582838,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Hawaii,HI,1272090,1905902,1441420,0,4619412,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Idaho,ID,1193880,2817966,4068222,0,8080068,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Indiana,IN,14943002,44796909,17071412,0,76811323,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Iowa,IA,17156885,71280683,18057057,0,106494626,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Kentucky,KY,6343184,28277325,5163770,0,39784279,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Louisiana,LA,2167711,1155741,3110366,0,6433817,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Maryland,MD,7079030,12740572,6544202,0,26363805,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Massachusetts,MA,5773130,19966293,7116928,0,32856351,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Minnesota,MN,7204942,28512142,7607977,0,43325061,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Mississippi,MS,2043166,2445913,3293984,0,7783062,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Montana,MT,988461,3404649,2137309,0,6530418,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Nebraska,NE,2417011,10362686,7395654,0,20175351,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,New Hampshire,NH,2477131,17670968,9117964,0,29266063,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,New Jersey,NJ,11786687,16617310,22909868,0,51313864,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,New York,NY,983339,933415,1295752,0,3212505,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,North Carolina,NC,13959783,69696966,18495952,0,102152701,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Ohio,OH,12747348,22223658,13011144,0,47982149,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Oklahoma,OK,2303907,4848580,4281722,0,11434209,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Pennsylvania,PA,22782648,65300446,29161966,0,117245059,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Rhode Island,RI,3453772,22428530,2744637,0,28626939,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,South Dakota,SD,586545,900812,3191213,0,4678570,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Tennessee,TN,8997087,22411497,9064145,0,40472729,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Utah,UT,991992,2017565,1702135,0,4711692,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Vermont,VT,1370664,3175012,3707780,0,8253456,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Washington,WA,6232852,22898838,14492857,0,43624547,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,West Virginia,WV,5166031,16204622,3994489,0,25365142,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Wyoming,WY,251398,719623,917367,0,1888387,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,American Samoa,AS,3525,0,0,0,3525,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,Puerto Rico,PR,40172,3392,0,0,43564,0,,,,,,,,,,,,,,,,,,,,
2021Q3,t,U.S. Virgin Islands,VI,5261,5951,0,0,11212,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Alabama,AL,699358,696985,750117,0,2146461,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Arizona,AZ,1656950,3522153,2497105,0,7676208,899850664,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Arkansas,AR,843695,1165409,1111499,0,3120604,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Colorado,CO,1949199,7160074,3034067,0,12143340,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Connecticut,CT,2154368,7148089,2598477,0,11900934,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,District Of Columbia,DC,234335,100750,108884,0,443969,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Florida,FL,12773576,43277779,16823266,0,72874622,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Hawaii,HI,348223,3225,472764,0,824212,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Idaho,ID,430833,570347,1295307,0,2296487,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Indiana,IN,4785025,17093258,5405303,0,27283586,0,,,,,,,,,,,,,,,,,,,,
