entity,period,name,state,date_acquired,actual_cost,fair_value,book_value,investment_income,ownership_pct
PICA,2021Q2,Accel Growth Fund V L.P. - PICA Palo Alto,CA,03/11/2019,1,0,0,0,0.35
PICA,2021Q2,Accel Leaders 3 L.P. - PICA Palo Alto,CA,02/17/2021,0,0,0,0,0.261
PICA,2021Q2,"Accel-KKR Capital Partners VI,",LP,02/10/2021,2,0,0,0,0.826
PICA,2021Q2,Accession Purpose Trust - PICA Hamilton Ltd,,06/30/2021,1,0,0,0,0.65
PICA,2021Q2,"Accion Frontier Inclusion Fund, L.P. Washington",MA,11/16/2015,3,0,0,0,3.254
PICA,2021Q2,"Accion Venture Lab, LP - PICA Cambridge",NY,07/22/2019,3,0,0,0,0.0
PICA,2021Q2,"ACP Nycom Holdings, LLC - PICA New York",NY,06/30/2021,3,0,0,0,4.348
PICA,2021Q2,"Altaris Health Partners IV, L.P. New York City NY AHP",IV,06/18/2018,3,0,0,0,0.0
PICA,2021Q2,"Altaris Health Partners V, L.P. - PICA New York",NY,04/22/2021,682069,0,0,0,2.302
PICA,2021Q2,"American Industrial Partners Capital Fund VI, LP. New York NY",GP,01/21/2016,3,0,0,0,0.0
PICA,2021Q2,"American Industrial Partners Capital Fund VII, L.P. - PICA New York",NY,10/30/2019,3,0,0,0,3.152
PICA,2021Q2,"AMERICAN SECURITIES PARTNERS VII, L.P. - PICA New York",NY,01/19/2016,1,0,0,0,0.0
PICA,2021Q2,"American Securities Partners VIII, L.P. - PICA New York",NJ,03/28/2019,1,0,0,0,2.326
PICA,2021Q2,"Andreessen Horowitz Fund VII, L.P. - PICA Menlo Park CA",AH,12/23/2020,1,0,0,0,0.0
PICA,2021Q2,"Andreessen Horowitz LsV Fund I, LP - PICA Menlo Park",NJ,05/09/2019,3,0,0,0,1.084
PICA,2021Q2,Apax X USD L.P. - PICA St Peter Port CA APAX X USD,GP,11/10/2020,3,0,0,0,0.667
PICA,2021Q2,"Ares US Real Estate Opportunity Fund III, L.P. - PICA Los Angeles MD Ares",US,04/15/2021,3,0,0,0,0.0
PICA,2021Q2,"Arlington Capital Partners IV, L.P. - PICA Chevy Chase MD Arlington Capital Group",IV,12/19/2016,2,0,0,0,0.5
PICA,2021Q2,"Arlington Capital Partners V, L.P. - PICA Chevy Chase",IL,08/26/2019,10,0,0,0,0.0
PICA,2021Q2,"ATI Holding Company, LLC - PICA 4 Bannockburn FL Linden Capital Partners IV",LP,06/29/2021,3,0,0,0,0.411
PICA,2021Q2,"Bayview Opportunity Domestic VI 1, L.P. - PICA Coral Gables CA Bayview Capital",GP,11/06/2020,3,0,0,0,0.0
PICA,2021Q2,"Birch Hill Equity Partners (Global) VI, LP - PICA Toronto",CA,12/17/2020,0,0,0,0,0.16
PICA,2021Q2,"Birch Hill Equity Partners V, LP Toronto NY Birch Hill Equity Partners Management INC. -",GP,02/05/2016,3,0,0,0,0.0
PICA,2021Q2,Blackstone BioMed Life Science Real Estate L.P. - PICA New York,NY,11/17/2020,0,0,0,0,0.45
PICA,2021Q2,Blackstone BioMed Life Science Real Estate L.P.- PICA 2 New York,NY,10/23/2020,3,0,0,0,0.0
PICA,2021Q2,Blackstone BioMed Life Science Real Estate L.P. - PICA 3 New York,NY,05/14/2021,2581265,0,0,0,0.267
PICA,2021Q2,"Blackstone Capital Partners VIII, LP - PICA New York BMA VIII",GP,02/22/2021,3,0,0,0,0.0
PICA,2021Q2,New York CA Blackstone Real Estate Associates,IX,09/23/2019,1,0,0,0,1.333
PICA,2021Q2,"Angeles CA Brentwood Private Equity VI,",LP,12/27/2017,3,0,0,0,0.0
PICA,2021Q2,Alto,MA,09/29/2017,3,0,0,0,5.6
PICA,2021Q2,MA BVIP Fund,IX,11/27/2017,3,0,0,0,0.0
PICA,2021Q2,Park NJ Canaan Partners,XI,01/03/2018,3,0,0,0,0.0
PICA,2021Q2,Park,DE,01/05/2021,3,0,0,0,0.057
PICA,2021Q2,DE,TC,10/21/2013,3,0,0,0,0.0
PICA,2021Q2,GBR,TC,12/19/2018,0,0,0,0,51.25
PICA,2021Q2,NY,GP,01/15/2021,3,0,0,0,0.0
PICA,2021Q2,"York CYM Centerbridge Associates III, L.P.",,05/21/2015,3,0,0,0,5.299
PICA,2021Q2,Cayman NY Fosun China Momentum Fund,GP,12/24/2013,3,0,0,0,0.0
PICA,2021Q2,York NY Peraton,GP,05/03/2021,2,0,0,0,5.54
PICA,2021Q2,"York NY CD&R Associates X,",LP,03/27/2018,1,0,0,0,0.0
