entity,period,category,naic_designation,total_current_year,total_prior_year
PICA,2021Q2,BONDS,NAIC 1,0,62136493264
PICA,2021Q2,BONDS,NAIC 2,32034151924,32385796679
PICA,2021Q2,BONDS,NAIC 3,0,31731546980
PICA,2021Q2,BONDS,NAIC 4,1902355286,1875978043
PICA,2021Q2,BONDS,NAIC 5,0,3789367697
PICA,2021Q2,BONDS,NAIC 6,626235751,566796688
PICA,2021Q2,BONDS,NAIC 1,0,4521975
PICA,2021Q2,BONDS,NAIC 2,0,22471259
PICA,2021Q2,BONDS,NAIC 3,0,0
PICA,2021Q2,BONDS,NAIC 4,0,0
PICA,2021Q2,BONDS,NAIC 5,0,20262800
PICA,2021Q2,BONDS,NAIC 6,0,3537740
PICA,2021Q3,BONDS,NAIC 1,60207087589,62136493264
PICA,2021Q3,BONDS,NAIC 2,34024573446,31731546980
PICA,2021Q3,BONDS,NAIC 3,3952670636,3789367697
PICA,2021Q3,BONDS,NAIC 4,1991193019,2001884867
PICA,2021Q3,BONDS,NAIC 5,207563225,15015709
PICA,2021Q3,BONDS,NAIC 6,570815901,527044652
PICA,2021Q3,BONDS,NAIC 1,23601352,4521975
PICA,2021Q3,BONDS,NAIC 2,1784316,1
PICA,2021Q3,BONDS,NAIC 3,0,0
PICA,2021Q3,BONDS,NAIC 4,27668351,3537740
PICA,2021Q3,BONDS,NAIC 5,101002689873,100268948597
PICA,2021Q3,BONDS,NAIC 6,1284539,4997670
PICA,2022Q1,BONDS,NAIC 1,0,60129645359
PICA,2022Q1,BONDS,NAIC 3,0,35585241704
PICA,2022Q1,BONDS,NAIC 5,0,4072030935
PICA,2022Q1,BONDS,NAIC 1,0,43589458
PICA,2022Q1,BONDS,NAIC 2,0,4486944
PICA,2022Q1,BONDS,NAIC 3,0,0
PICA,2022Q1,BONDS,NAIC 4,0,0
PICA,2022Q1,BONDS,NAIC 5,0,95556439
PICA,2022Q1,BONDS,NAIC 6,0,14532969
PICA,2022Q2,BONDS,NAIC 1,0,60129645359
PICA,2022Q2,BONDS,NAIC 2,36369098726,33553575175
PICA,2022Q2,BONDS,NAIC 3,0,35585241704
PICA,2022Q2,BONDS,NAIC 4,1530195170,1755685181
PICA,2022Q2,BONDS,NAIC 5,0,4072030935
PICA,2022Q2,BONDS,NAIC 6,684672708,724689668
PICA,2022Q2,BONDS,NAIC 1,0,43589458
PICA,2022Q2,BONDS,NAIC 2,0,4486944
PICA,2022Q2,BONDS,NAIC 3,0,0
PICA,2022Q2,BONDS,NAIC 4,0,0
PICA,2022Q2,BONDS,NAIC 5,0,95556439
PICA,2022Q2,BONDS,NAIC 6,0,14532969
PICA,2022Q3,BONDS,NAIC 1,54822141677,60129645359
PICA,2022Q3,BONDS,NAIC 2,34213560493,35585241704
PICA,2022Q3,BONDS,NAIC 3,2977002180,4072030935
