entity,period,category,naic_designation,total_current_year,total_prior_year
BLIC,2016Q1,BONDS,NAIC 1,40056526305,36955846229
BLIC,2016Q1,BONDS,NAIC 2,9071580843,9301951792
BLIC,2016Q1,BONDS,NAIC 3,2011288285,1967361321
BLIC,2016Q1,BONDS,NAIC 4,556651918,607455770
BLIC,2016Q1,BONDS,NAIC 5,94154933,77258206
BLIC,2016Q1,BONDS,NAIC 6,29639983,10149213
BLIC,2016Q1,BONDS,NAIC 1,50688013,48465788
BLIC,2016Q1,BONDS,NAIC 2,159316032,159294725
BLIC,2016Q1,BONDS,NAIC 3,3098880,3098880
BLIC,2016Q1,BONDS,NAIC 4,39994,119459
BLIC,2016Q1,BONDS,NAIC 5,147803,147803
BLIC,2016Q1,BONDS,NAIC 6,12127871,12449439
BLIC,2016Q2,BONDS,NAIC 1,45176681204,36955846229
BLIC,2016Q2,BONDS,NAIC 2,10073057680,9301951792
BLIC,2016Q2,BONDS,NAIC 3,1977140667,1967361321
BLIC,2016Q2,BONDS,NAIC 4,759293145,607455770
BLIC,2016Q2,BONDS,NAIC 5,107099685,77258206
BLIC,2016Q2,BONDS,NAIC 6,46633672,10149213
BLIC,2016Q2,BONDS,NAIC 1,50688013,48465788
BLIC,2016Q2,BONDS,NAIC 2,159316032,159294725
BLIC,2016Q2,BONDS,NAIC 3,3098880,3098880
BLIC,2016Q2,BONDS,NAIC 4,60647,119459
BLIC,2016Q2,BONDS,NAIC 5,1,147803
BLIC,2016Q2,BONDS,NAIC 6,10688588,12449439
BLIC,2016Q3,BONDS,NAIC 1,44506319763,36955846229
BLIC,2016Q3,BONDS,NAIC 2,10237127124,9301951792
BLIC,2016Q3,BONDS,NAIC 3,1958567406,1967361321
BLIC,2016Q3,BONDS,NAIC 4,730908115,607455770
BLIC,2016Q3,BONDS,NAIC 5,111481888,77258206
BLIC,2016Q3,BONDS,NAIC 6,12503353,10149213
BLIC,2016Q3,BONDS,NAIC 1,48465788,48465788
BLIC,2016Q3,BONDS,NAIC 2,159316032,159294725
BLIC,2016Q3,BONDS,NAIC 3,3098880,3098880
BLIC,2016Q3,BONDS,NAIC 4,60647,119459
BLIC,2016Q3,BONDS,NAIC 5,1,147803
BLIC,2016Q3,BONDS,NAIC 6,10386352,12449439
BLIC,2016Q4,U.S. Governments,NAIC 1,10523551441,10516074233
BLIC,2016Q4,U.S. Governments,NAIC 2,0,0
BLIC,2016Q4,U.S. Governments,NAIC 3,0,0
BLIC,2016Q4,U.S. Governments,NAIC 4,0,0
BLIC,2016Q4,U.S. Governments,NAIC 5,0,0
BLIC,2016Q4,U.S. Governments,NAIC 6,0,0
BLIC,2016Q4,All Other Governments,NAIC 1,519469743,416766325
BLIC,2016Q4,All Other Governments,NAIC 2,348505930,256521238
BLIC,2016Q4,All Other Governments,NAIC 3,30880060,0
BLIC,2016Q4,All Other Governments,NAIC 4,0,0
BLIC,2016Q4,All Other Governments,NAIC 5,0,0
BLIC,2016Q4,All Other Governments,NAIC 6,0,0
BLIC,2016Q4,"U.S. States, Territories and Possessions, etc., Guaranteed",NAIC 1,43909608,0
BLIC,2016Q4,"U.S. States, Territories and Possessions, etc., Guaranteed",NAIC 2,0,0
