loan_number,city,state,date_acquired,interest_rate,book_value
0000198362,Fresno,CA,06/24/2016,3.94,1200000
0000198578,Hardee,FL,01/23/2017,4.17,12500000
0000199115,Spink,SD,01/04/2018,4.41,1000000
0000199135,Dunklin,MO,01/10/2018,4.25,1598350
0000199138,Sheridan,WY,01/30/2018,4.75,4189500
0000199178,New Madrid,MO,01/16/2018,4.3,2496900
0000199194,Talbot,MD,01/30/2018,6.0,1398250
0000199207,O'Brien,IA,02/09/2018,4.26,1197578
0000199214,Edgecombe,NC,01/25/2018,4.95,9494813
0000199233,Christian,IL,12/12/2017,4.0,3999750
0000199246,Union,NC,03/15/2018,5.2,7494888
0000199247,Worth,GA,01/31/2018,4.7,2600000
0000199267,Hampshire,MA,03/12/2018,4.02,26073900
0000199300,Cherry,NE,02/05/2018,4.85,2299300
0000199314,Wright,IA,03/01/2018,3.94,1999779
0000199318,Baker,GA,03/20/2018,4.3,1246700
0000199319,Thayer,NE,01/30/2018,3.95,1685000
0000199345,Clark,OH,03/09/2018,4.7,1947200
0000199353,Cass,IN,03/08/2018,4.9,1800000
0000199365,Napa,CA,03/29/2018,4.9,9883846
0000199366,Napa,CA,03/29/2018,5.55,16740750
0000199367,Palo Alto,IA,03/08/2018,4.95,2473207
0000199389,Wibaux,MT,03/20/2018,4.9,2344125
0000199420,Edgar,IL,03/19/2018,4.35,1597648
0415241892,Norwalk,CT,01/30/2018,2.0,193054
0417330316,Port St Lucie,FL,01/30/2018,4.25,88014
0417550083,Clifton Park,NY,01/30/2018,4.5,310253
0417601085,Palm Springs,CA,03/08/2018,4.25,592209
0417766125,San Jose,CA,03/08/2018,4.87,808777
0417768050,Port Clinton,OH,01/30/2018,4.0,320421
0418139411,Miami,FL,01/30/2018,5.0,176349
0418158081,Jacksonville,FL,01/30/2018,4.75,41632
0418268897,Woodbridge,VA,01/30/2018,4.98,35031
0418269501,Saint Paul,MN,01/30/2018,3.6,123601
0418286534,Dayton,OH,01/30/2018,5.0,27524
0418287589,Plainwell,MI,01/30/2018,3.625,63023
0418343758,Miami,FL,01/30/2018,4.625,100013
0418343950,Merrimac,MA,01/30/2018,2.0,186476
0418344012,New Hope,MN,01/30/2018,3.0,81130
0418344477,Gaithersburg,MD,01/30/2018,4.56,31687
0418344510,Zanesville,OH,01/30/2018,3.0,66708
0418344590,Edgewater,FL,01/30/2018,2.0,30841
0418344617,Eldorado,OH,01/30/2018,4.25,31005
0418344623,Selmer,TN,01/30/2018,3.5,46846
0418344642,Nashville,TN,01/30/2018,2.0,36507
0418344728,Bronx,NY,01/30/2018,5.0,204394
0418396527,Barbuda,CA,01/30/2018,3.5,782728
0418396553,San Francisco,CA,01/30/2018,3.5,686882
0418396568,Santa Rosa Valley,CA,01/30/2018,3.75,843764
0418396628,Santa Barbara,CA,01/30/2018,3.75,743702
0418396667,Nw Washington,DC,01/30/2018,3.75,900499
0418482877,Lincoln,MA,01/30/2018,4.0,427946
0418483024,Henderson,NV,01/30/2018,4.125,309711
0418483277,Los Angeles,CA,01/30/2018,4.0,274507
0418851159,San Diego,CA,03/23/2018,3.875,501888
0418851162,Bonita Springs,FL,03/23/2018,4.0,366951
0418851168,San Bernardino,CA,03/23/2018,6.0,137099
0418851173,Diamond Bar,CA,03/23/2018,3.0,421198
0418851220,Orange Park,FL,03/23/2018,6.0,195951
0418851300,Corona,CA,03/23/2018,4.375,311409
0418851304,Royal Oaks,CA,03/23/2018,3.0,407254
0418851317,Encinitas,CA,03/23/2018,4.0,1497642
0418851347,Calabasas,CA,03/23/2018,2.0,474762
0418851382,Santa Maria,CA,03/23/2018,3.375,245024
0418851482,San Juan Capistrano,CA,03/23/2018,4.0,451561
0418851485,San Ramon,CA,03/23/2018,4.75,635034
0418851487,San Diego,CA,03/23/2018,3.0,268192
0418851488,Highlands Ranch,CO,03/23/2018,4.0,263180
0418851490,Graeagle,CA,03/23/2018,3.5,125140
0418851492,Santa Maria,CA,03/23/2018,4.125,184606
0418851497,Salinas,CA,03/23/2018,4.375,380920
0418851501,Tyrone,MI,03/23/2018,4.625,105209
0418851504,Seattle,WA,03/23/2018,3.875,619274
0418851511,Pembroke Pines,FL,03/23/2018,3.0,188541
0418851512,Plano,TX,03/23/2018,2.0,93704
0418851525,Winnetka,CA,03/23/2018,4.0,294723
0418851529,Beltsville,MD,03/23/2018,4.375,177430
0418851533,Hugo,MN,03/23/2018,2.0,114654
0418851538,Anaheim,CA,03/23/2018,2.5,285241
0418851542,Santa Paula,CA,03/23/2018,3.0,429095
0418851550,Miami,FL,03/23/2018,4.125,199777
0418851556,Sun Valley,CA,03/23/2018,3.0,452392
0418851558,Ridgewood,NY,03/23/2018,4.0,575059
0418851559,Arroyo Grande,CA,03/23/2018,4.5,1183452
0418851562,Cary,NC,03/23/2018,4.125,613092
0418851564,Los Angeles,CA,03/23/2018,3.5,506068
0418851709,Schererville,IN,03/23/2018,4.071,98014
