loan_number,city,state,date_acquired,interest_rate,book_value
126650,,BP,06/10/2019,100.0,5805
126650,,BV,06/10/2019,100.0,54518
165303,D# 2 Corp,BND,04/30/2019,100.0,1000000
165303,E* 5 Corp,BND,06/30/2019,100.0,300000
196541,A* 7,BND,05/08/2019,115.5895,809126
521865,,AV,05/29/2019,102.688,1026880
629377,,BY,06/06/2019,103.125,720844
877249,Ac 6 Senior,CO,06/20/2019,100.0,1000000
90345K,,AA,04/22/2019,100.0,16140
911365,,BB,05/26/2019,102.875,1028750
136055,,AA,04/10/2019,100.0,52084
29252B,Aa 7 Senior,CO,06/30/2019,100.0,142230
