name,state,date_acquired,book_value,investment_income,ownership_pct
"BlackRock Capital Investment Advisors, DLF-IX_21 Wilmington",DE,04/19/2021,9748003,149335,31.496
Designation Book/ Year’s Other- Foreign . BLIC-NY PROPERTY VENTURES LLC Wilmington DE BH Life Ins Co of,NY,12/16/2022,6791549,0,100.0
TEACHERS INSURANCE AND ANNUITY ASSOC OF AMERICA New York NY CANTOR FITZGERALD & CO. 1.D,FE,09/29/2014,6069855,289100,0.0
. NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY Milwaukee WI JEFFRIES & CO. INC. 1.C,FE,03/26/2021,4992920,172500,0.0
NEW YORK LIFE INSURANCE COMPANY New York NY JEFFRIES & CO. INC. 1.C,FE,09/14/2020,3449333,112500,0.0
TEACHERS INSURANCE AND ANNUITY ASSOC OF AMERICA New York NY WELLS FARGO SECURITIES 1.D,FE,06/24/2019,1501302,59780,0.0
NATIONWIDE MUTUAL INSURANCE COMPANY Columbus OH AMHERST PIERPONT SECURITIES LLC 1.G,FE,08/27/2021,1306112,49329,0.0
PENN MUTUAL LIFE INSURANCE COMPANY Philadelphia PA J.P. MORGAN SECURITIES INC 1.F,FE,04/22/2021,1245000,47310,0.0
WESTERN AND SOUTHERN LIFE INSURANCE COMPANY . Wayne PA J.P. MORGAN SECURITIES INC 1.F,FE,04/21/2021,945591,35625,0.0
