name,state,date_acquired,book_value,investment_income,ownership_pct
Market Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of,CA,03/11/2019,0,0,0.533
Market Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of,DC,09/01/2016,0,0,3.236
Market Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of,NY,08/22/2014,0,0,2.54
Market Originally Type and Actual Cost at Time of Additional Investment Amount of Commitment for Percentage of,MA,05/30/2011,0,0,6.217
Non-Guaranteed Federal Low Income Housing Tax Credit - Unaffiliated,FL,02/13/2013,0,0,30.0
