name,state,date_acquired,book_value,investment_income,ownership_pct
Admini- Date Type Actual Cost Additional for ACCEL LONDON VI L.P. LONDON,GBR,06/18/2019,0,0,0.445
ADVENT INTERNATIONAL GPE X LP BOSTON,MA,09/26/2022,0,0,0.186
AEA INVESTORS FUND VIII LP NEW YORK,NY,03/01/2024,0,0,0.855
AEA MEZZANINE FUND IV LP NEW YORK,NY,07/23/2018,0,0,1.043
AFFINITY ASIA PACI FUND IV LP SINGAPORE,SGP,03/20/2013,0,0,0.951
AFFINITY ASIA PACIFIC FD V LP HONG KONG,CHN,12/10/2018,0,0,0.586
AMERICAN INDUSTRIAL CAP IV LP SAN FRANCISCO,CA,04/25/2008,0,0,1.104
AMERICAN INDUSTRIAL CAP VII LP NEW YORK,NY,10/22/2019,0,0,0.573
AMERICAN SECURITIES VIII LP NEW YORK,NY,03/15/2019,0,0,0.332
APOLLO INVESTMENT FUND X LP NEW YORK,NY,08/14/2023,0,0,0.083
AQUILINE FIN SERVICES FD V LP NEW YORK,NY,06/23/2023,0,0,0.989
BALANCE POINT CAP PARTNERS V WESTPORT,CT,06/29/2021,0,0,4.215
BARING ASIA PE FUND VII LP HONG KONG,CHN,04/30/2019,0,0,0.412
"BATTERY VENTURES XIV, L.P. BOSTON",MA,07/20/2022,0,0,0.392
BC EUROPEAN CAPITAL IX L.P. ST. PETER PORT,GBR,11/23/2010,0,0,0.145
BESSEMER VENTR PTS XI INSTL LP SAN FRANCISCO,CA,03/22/2021,0,0,0.492
BESSEMER VENTURE PARTNERS X IN LARCHMONT,NY,11/30/2018,0,0,0.93
BLACKSTONE CAP OPPS FD IV LP NEW YORK,NY,03/15/2021,0,0,0.416
BOND CAPITAL FUND I LP SAN FRANCISCO,CA,05/30/2019,0,0,0.94
BRENTWOOD ASSOCIATES PE V LP LOS ANGELES,CA,06/12/2013,0,0,1.344
BRENTWOOD ASSOCIATES PE VI LP LOS ANGELES,CA,12/06/2016,0,0,0.576
"BRIDGEPOINT DEV CAP IV, LP LONDON",GBR,03/25/2022,0,0,0.737
BRIDGEPOINT EUROPE VI L.P. LONDON GBR BE,VI,03/28/2019,0,0,0.315
CARLYLE GLOBAL PARTNERS LP WASHINGTON,DC,09/01/2016,0,0,0.791
CARLYLE PARTNERS VII L.P. WASHINGTON,DC,12/19/2018,0,0,0.005
CINVEN SEVENTH FUND LONDON,GBR,04/07/2020,0,0,0.2
COALESCE CAPITAL FUND I LP NEW YORK,NY,02/23/2024,0,0,2.343
CORTEC GROUP FUND VIII LP NEW YORK,NY,02/26/2024,0,0,0.92
COURT SQUARE CAPITAL III LP NEW YORK,NY,12/27/2011,0,0,0.925
CRV SELECT FUND I LP PALO ALTO,CA,05/19/2021,0,0,1.523
CRV SELECT II LP PALO ALTO,CA,03/29/2022,0,0,0.558
CRV XIX LP PALO ALTO,CA,06/10/2022,0,0,0.415
CRV XVIII LP PALO ALTO,CA,02/12/2021,0,0,0.894
CVC CAP ASIA PACIFIC IV LP GEORGE TOWN,CYM,05/13/2014,0,0,0.097
CVC CAP ASIA PACIFIC V LP JERSEY,CYM,12/08/2020,0,0,0.091
CVC CAPITAL PARTNERS VI L.P. LONDON,GBR,06/28/2013,0,0,0.438
EPIC FUND I-B SLP LUXEMBURG,LUX,05/19/2021,0,0,0.303
EQUISTONE EUROPE FUND V LP LONDON,GBR,01/22/2015,0,0,0.199
EQUISTONE EUROPE FUND VI LP LONDON,GBR,07/09/2018,0,0,0.672
ETHOS CAPITAL INVESTMENTS LP NEWTON,MA,10/25/2021,0,0,1.839
FFL CAPITAL PARTNERS IV LP SAN FRANCISCO,CA,12/03/2013,0,0,0.965
FOUNDATION CAP LEADERSHIP III NORRISTOWN,PA,10/18/2021,0,0,2.598
FOUNDATION CAPITAL IX L.P. SAN FRANCISCO,CA,01/30/2019,0,0,0.928
FOUNDATION CAPITAL X L.P. EAST NORRITON,PA,08/20/2021,0,0,0.85
FRANCISCO PARTNERS AGILITY II SAN FRANCISCO,CA,09/17/2020,0,0,1.373
FRANCISCO PARTNERS VI L.P. MENLO PARK,CA,01/26/2021,0,0,0.346
FURTHER GLOBAL CAP PTNRS II LP NEW YORK,NY,08/17/2022,0,0,5.509
FURTHER GLOBAL CAP PTNRS L.P. NEW YORK,NY,01/29/2020,0,0,7.058
GEN CATALYST GRP XI-CREATION CAMBRIDGE,MA,03/30/2022,0,0,0.632
GEN CATALYST GRP XI-ENDURANCE CAMBRIDGE,MA,03/18/2022,0,0,0.266
GEN CATALYST GRP XI-FEEDER CAMBRIDGE,MA,03/18/2022,0,0,0.651
GLOBAL INFRASTRUCTURE PT IV LP NEW YORK,NY,10/10/2019,0,0,0.137
GREAT HILL EQUITY PTRS VIII LP BOSTON,MA,12/07/2022,0,0,0.12
GREEN EQUITY INVESTORS CF L.P. LOS ANGELES,CA,04/29/2021,0,0,1.226
GREEN EQUITY INVESTORS IX LP LOS ANGELES,CA,08/15/2023,0,0,0.638
GREEN EQUITY INVESTORS VIII L. LOS ANGELES,CA,10/21/2020,0,0,0.339
Admini- Date Type Actual Cost Additional for GSO CAP OPPORTUNITIES III LP NEW YORK,NY,04/26/2016,0,0,0.175
HAMILTONLANESECONDARYFUND VI-A CONSHOHOCKEN,PA,12/30/2022,0,0,9.855
HARVEST PARTNERS VIII L.P. NEW YORK,NY,11/21/2019,0,0,0.225
HPS STRATEGIC INV PTNRS V LP NEW YORK,NY,08/04/2022,0,0,0.169
ICG N AMERICAN PVT DEBT II LP NEW YORK,NY,02/25/2019,0,0,3.186
