loan_number,city,state,date_acquired,interest_rate,book_value
000000000191743,Murray,MN,10/09/2007,3.79,66251
000000000193162,Kern,CA,07/20/2009,5.35,879744
000000000193414,Carroll,IL,08/07/2009,3.95,47915
000000000193766,Sutter,CA,03/15/2010,5.05,268523
000000000194183,Kern,CA,10/12/2010,5.45,1384791
000000000194344,Fresno,CA,03/22/2011,5.89,2252066
000000000194419,Cass,NE,04/01/2011,5.25,1508497
000000000194475,Kern,CA,12/21/2010,5.21,13200554
000000000194759,Monterey,CA,05/12/2011,6.03,574194
000000000195388,Stanislaus,CA,03/08/2012,5.6,1505794
000000000195620,Fresno,CA,08/30/2012,4.98,1214181
000000000195867,Fresno,CA,04/08/2013,5.0,431829
000000000196114,Montgomery,IL,12/27/2012,4.65,473674
000000000196242,Stanislaus,CA,06/27/2013,4.5,1170000
000000000196591,Kearney,NE,08/22/2013,3.95,692220
000000000196606,Chelan,WA,11/22/2013,4.98,445526
000000000196995,La Salle,LA,09/01/2016,5.0,2349693
000000000197147,Leake,MS,09/01/2016,5.0,2298920
000000000197148,Butler,AL,09/01/2016,5.0,2198941
000000000197149,Baldwin,AL,09/01/2016,5.0,899578
000000000197150,Georgetown,SC,09/01/2016,5.0,2248944
000000000197204,Scott,MS,12/19/2014,5.08,626009
000000000197211,Bates,MO,11/12/2014,4.7,3300074
000000000197235,Desoto,FL,12/03/2014,4.15,2694518
000000000197283,Antelope,NE,12/05/2014,4.5,778149
000000000197290,Ford,IL,01/12/2015,4.0,737647
000000000197362,Antelope,NE,12/30/2014,4.6,847289
000000000197366,Nodaway,MO,02/03/2015,4.21,710662
000000000197426,O'Brien,IA,02/24/2015,3.9,325306
000000000197431,Dakota,MN,02/10/2015,3.68,625084
000000000197445,Jackson,MN,02/12/2015,4.44,509317
000000000197459,Gooding,ID,04/28/2015,3.82,1555899
000000000197473,Hamilton,NE,03/05/2015,4.0,1395474
000000000197475,White,IN,06/05/2015,4.25,2837678
000000000197503,Vermilion,IL,02/27/2015,3.7,1043396
000000000197508,Clinton,IA,03/31/2015,4.05,394371
000000000197555,Lewis,WA,03/12/2015,4.35,3581184
000000000197572,White,IN,04/08/2015,4.0,798538
000000000197602,Colusa,CA,07/17/2015,4.3,2055376
000000000197821,Custer,NE,08/25/2015,4.45,1402287
000000000198422,Antelope,NE,06/29/2016,4.15,1362087
000000000198473,Champaign,IL,08/29/2016,4.0,660642
000000000198517,Morrill,NE,08/22/2016,3.85,922486
000000000198552,Jasper,IN,10/19/2016,3.25,2385893
000000000198781,Hendry,FL,02/02/2017,4.5,1220383
000000000198806,Clay,NE,02/24/2017,4.55,1320839
000000000198813,Story,IA,01/18/2017,4.99,1255535
000000000199019,Cass,NE,07/17/2017,5.25,1440683
000000000199092,Custer,NE,09/21/2017,4.45,899528
000000000199469,Defiance,OH,04/26/2018,5.25,2151069
000000000199886,Jo Daviess,IL,11/28/2018,5.0,1906210
000000000199906,Macoupin,IL,12/10/2018,4.7,660000
000000000510064,London,EN,12/05/2013,6.46,4374240
000000000520099,Mexico City,MC,06/05/2015,4.48,530212
000000000520100,Mexico City,MC,08/19/2015,4.65,3056042
000000000520102,Tijuana,BN,05/27/2015,4.61,3728491
000000000701806,Atlanta,GA,10/06/2005,5.3,1872927
000000000701812,Tampa,FL,09/30/2005,5.32,185962
000000000702181,Fremont,CA,10/30/2009,6.9,2877730
000000000702182,San Mateo,CA,10/30/2009,6.9,1277142
000000000702183,San Mateo,CA,10/30/2009,6.9,2227722
000000000702184,Santa Clara,CA,10/30/2009,6.9,576905
000000000702185,Santa Clara,CA,10/30/2009,6.9,856313
000000000702186,San Jose,CA,10/30/2009,7.66,31355
000000000702187,San Jose,CA,10/30/2009,7.25,30772
000000000702204,Ashburn,VA,12/17/2009,7.3,765073
000000000702218,New York (Manhattan),NY,03/01/2010,2.4,959523
000000000702292,Houston,TX,12/09/2010,4.97,2762703
000000000702315,San Diego,CA,12/15/2010,4.3,1732908
000000000702330,Elgin,IL,04/29/2011,5.1,511794
000000000702331,Elgin,IL,04/29/2011,5.1,900973
000000000702332,Elgin,IL,04/29/2011,5.1,840984
000000000702333,Elgin,IL,04/29/2011,5.1,2178909
000000000702334,Elgin,IL,04/29/2011,5.1,968302
000000000702335,Elgin,IL,04/29/2011,5.1,789140
000000000702336,Elgin,IL,04/29/2011,5.1,1206650
000000000702390,San Francisco,CA,09/01/2011,5.1,6271858
000000000702516,Elgin,IL,02/13/2013,3.75,298550
000000000702517,Elgin,IL,02/13/2013,3.75,735152
000000000702518,Elgin,IL,02/13/2013,3.75,739921
000000000702521,San Ramon,CA,04/29/2013,4.21,6196869
000000000702522,San Ramon,CA,04/29/2013,4.21,3762539
000000000702535,Bellevue,WA,01/21/2014,4.15,17097690
000000000702549,New York (Manhattan),NY,09/10/2013,4.48,17827233
