entity,period,category,naic_designation,total_current_year,total_prior_year
JNLIC,2020Q1,BONDS,NAIC 1,0,20696655225
JNLIC,2020Q1,BONDS,NAIC 3,0,787273800
JNLIC,2020Q1,BONDS,NAIC 5,0,170789502
JNLIC,2020Q1,BONDS,NAIC 1,0,0
JNLIC,2020Q1,BONDS,NAIC 3,0,0
JNLIC,2020Q1,BONDS,NAIC 5,0,0
JNLIC,2020Q1,BONDS,NAIC 6,0,0
JNLIC,2020Q3,BONDS,NAIC 1,1479093639,1571001462
JNLIC,2020Q3,BONDS,NAIC 2,144970471,787273800
JNLIC,2020Q3,BONDS,NAIC 3,301839308,170789502
JNLIC,2020Q3,BONDS,NAIC 4,13791987,28425482
JNLIC,2020Q3,BONDS,NAIC 5,18000699,25494242
JNLIC,2020Q3,BONDS,NAIC 6,56733077117,51622738742
JNLIC,2020Q3,BONDS,NAIC 1,0,0
JNLIC,2020Q3,BONDS,NAIC 2,15000000,0
JNLIC,2020Q3,BONDS,NAIC 3,0,0
JNLIC,2020Q3,BONDS,NAIC 4,0,0
JNLIC,2020Q3,BONDS,NAIC 5,6250000,0
JNLIC,2020Q3,BONDS,NAIC 6,6250000,0
JNLIC,2021Q2,BONDS,NAIC 1,0,21535488889
JNLIC,2021Q2,BONDS,NAIC 2,122336215,-40512172
JNLIC,2021Q2,BONDS,NAIC 3,0,1362920861
JNLIC,2021Q2,BONDS,NAIC 4,7472382,10749352
JNLIC,2021Q2,BONDS,NAIC 5,0,313172391
JNLIC,2021Q2,BONDS,NAIC 6,-12194742,48027664272
JNLIC,2021Q2,BONDS,NAIC 1,0,0
JNLIC,2021Q2,BONDS,NAIC 2,77211275,72833500
JNLIC,2021Q2,BONDS,NAIC 3,0,8700000
JNLIC,2021Q2,BONDS,NAIC 4,0,0
JNLIC,2021Q2,BONDS,NAIC 5,0,0
JNLIC,2021Q2,BONDS,NAIC 6,0,16625000
JNLIC,2022Q2,BONDS,NAIC 1,0,20841729742
JNLIC,2022Q2,BONDS,NAIC 2,17278290,-20693905
JNLIC,2022Q2,BONDS,NAIC 3,0,1404791018
JNLIC,2022Q2,BONDS,NAIC 4,25034229,9935000
JNLIC,2022Q2,BONDS,NAIC 5,0,274697011
JNLIC,2022Q2,BONDS,NAIC 6,-65467982,46167887889
JNLIC,2022Q2,BONDS,NAIC 1,0,0
JNLIC,2022Q2,BONDS,NAIC 2,71352575,62605640
JNLIC,2022Q2,BONDS,NAIC 3,0,30700000
JNLIC,2022Q2,BONDS,NAIC 4,0,0
JNLIC,2022Q2,BONDS,NAIC 5,0,0
