entity,period,name,state,date_acquired,actual_cost,fair_value,book_value,investment_income,ownership_pct
JNLIC,2020Q1,"AEA Investors Small Business Fund II, L.P. New York",NY,12/23/2009,3,0,0,0,0.68
JNLIC,2020Q1,"AEA Investors Small Business Fund IV, L.P. New York",NY,03/24/2016,3,0,0,0,0.34
JNLIC,2020Q1,"Apollo Natural Resources Partners II, L.P. New York",NY,10/10/2019,3,0,0,0,1.19
JNLIC,2020Q1,"Arsenal Capital Partners IV, L.P. Purchase",NY,12/10/2013,3,0,0,0,0.76
JNLIC,2020Q1,"Aterian Investment Partners II, L.P. New York",NY,09/28/2016,3,0,0,0,1.96
JNLIC,2020Q1,"Aurora Equity Partners V, L.P. Chevy Chase",MD,08/23/2019,3,0,0,0,1.08
JNLIC,2020Q1,"Calera Capital Partners IV, L.P. New York",NY,04/22/2016,3,0,0,0,1.02
JNLIC,2020Q1,"CapStreet IV, L.P. New York",NY,07/16/2019,3,0,0,0,2.62
JNLIC,2020Q1,"Catterton Latin America II, L.P. New York NY Aterian Investment Partners",GP,02/07/2014,3,0,0,0,3.2
JNLIC,2020Q1,"Catterton Partners VII, L.P. Los Angeles",CA,06/14/2011,3,0,0,0,0.53
JNLIC,2020Q1,"Centre Capital Investors VI, L.P. Los Angeles",CA,06/09/2016,3,0,0,0,3.07
JNLIC,2020Q1,"Clairvest Equity Partners IV-A, L.P. Toronto CAN Birch Hill Equity Partners Management Inc.",,11/25/2015,3,0,0,0,7.16
JNLIC,2020Q1,"Clayton, Dubilier & Rice Fund X, L.P. San Francisco",CA,01/22/2008,3,0,0,0,3.09
JNLIC,2020Q1,"Cortec Group Fund VI, L.P. San Francisco",CA,10/31/2017,3,0,0,0,1.07
JNLIC,2020Q1,"Cressey & Co. Fund V, L.P. Houston",TX,01/21/2015,3,0,0,0,0.89
JNLIC,2020Q1,"Green Equity Investors VI, L.P. Houston",TX,12/18/2019,3,0,0,0,0.09
JNLIC,2020Q1,"Harvest Partners VI, L.P. Greenwich",CT,07/18/2016,3,0,0,0,0.78
JNLIC,2020Q1,"Harvest Partners VIII, L.P. Greenwich",CT,03/30/2020,3,0,0,0,1.62
JNLIC,2020Q1,"JFL Equity Investors IV, L.P. Greenwich",CT,03/18/2013,3,0,0,0,1.32
JNLIC,2020Q1,"Leeds Equity Partners VI, L.P. Greenwich",CT,06/12/2017,3,0,0,0,1.22
JNLIC,2020Q1,"Littlejohn Fund IV, L.P. New York",NY,06/17/2016,3,0,0,0,0.49
JNLIC,2020Q1,"Lovell Minnick Equity Partners III, L.P. New York",NY,05/29/2018,3,0,0,0,1.16
JNLIC,2020Q1,"Lovell Minnick Equity Partners V, L.P. Toronto CAN Clairvest General Partners IV, L.P.",,12/21/2010,3,0,0,0,0.33
JNLIC,2020Q1,"000000-00-0 Marlin Equity V, L.P. Toronto CAN Clairvest Equity Partners",,03/13/2015,3,0,0,0,0.13
JNLIC,2020Q1,"MidOcean Partners V, L.P. New York",NY,03/26/2018,3,0,0,0,4.11
JNLIC,2020Q1,"North Castle Partners VII, L.P. New York",NY,04/15/2011,3,0,0,0,2.16
JNLIC,2020Q1,"SPC Partners IV, L.P. New York",NY,07/09/2015,3,0,0,0,2.59
JNLIC,2020Q1,"Sterling Investment Partners III, L.P. New York",NY,12/10/2019,3,0,0,0,0.53
JNLIC,2020Q1,"Sun Capital Partners VI, L.P. Chicago IL Cressey & Company GP,",LP,04/10/2015,3,0,0,0,1.22
JNLIC,2020Q1,"Thoma Bravo Special Opportunities Fund II, L.P. Chicago IL Cressey & Company GP,",LP,12/14/2018,3,0,0,0,0.41
JNLIC,2020Q1,"Bravo XIII, L.P. Los Angeles",CA,11/29/2012,3,0,0,0,0.0
JNLIC,2020Q1,Angeles,CA,05/11/2017,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,11/28/2011,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,09/27/2016,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,11/26/2019,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,02/11/2011,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,03/28/2016,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,03/26/2015,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,06/01/2017,3,0,0,0,0.0
JNLIC,2020Q1,Hills CA LLCP Partners,VI,05/30/2017,3,0,0,0,0.0
JNLIC,2020Q1,Hills Estates,CA,10/21/2008,3,0,0,0,0.0
JNLIC,2020Q1,Beach,CA,02/20/2018,3,0,0,0,0.0
JNLIC,2020Q1,Beach,CA,10/23/2017,3,0,0,0,0.0
JNLIC,2020Q1,York,NY,05/21/2018,3,0,0,0,0.0
JNLIC,2020Q1,CT NCP,GP,12/28/2018,3,0,0,0,0.0
JNLIC,2020Q1,"CAN Novacap International TMT V, L.P.",,10/05/2017,3,0,0,0,0.0
JNLIC,2020Q1,Francisco,CA,04/25/2008,3,0,0,0,0.0
JNLIC,2020Q1,Francisco,CA,07/02/2012,3,0,0,0,0.0
JNLIC,2020Q1,Raton,FL,05/21/2007,3,0,0,0,0.0
JNLIC,2020Q1,Raton,FL,08/15/2013,3,0,0,0,0.0
JNLIC,2020Q1,Raton,FL,12/17/2019,3,0,0,0,0.0
JNLIC,2020Q1,"Torquest Partners Fund (U.S.) IV, L.P. Toronto CAN Torquest Capital Fund",IV,08/31/2016,3,0,0,0,1.15
JNLIC,2020Q1,"TSG6, L.P. San Francisco",CA,07/03/2012,3,0,0,0,0.49
JNLIC,2020Q1,"TSG7-A, L.P. San Francisco",CA,03/29/2016,3,0,0,0,0.47
JNLIC,2020Q1,"TSG7-B, L.P. Fort Worth",CA,01/15/2016,3,0,0,0,1.16
JNLIC,2020Q1,"TSG8, L.P. Chicago",CA,01/07/2019,3,0,0,0,0.77
JNLIC,2020Q1,"Veritas Capital Fund VI, L.P. Bala Synwyd",NY,06/14/2017,3,0,0,0,0.45
JNLIC,2020Q1,"Vortus Investments II, L.P. New York",TX,06/09/2017,3,0,0,0,0.57
JNLIC,2020Q1,"Vortus Investments, L.P.",TX,06/03/2014,3,0,0,0,0.0
JNLIC,2020Q1,"Wind Point Partners IX-A, L.P. Chicago",IL,09/05/2019,3,0,0,0,49.88
JNLIC,2020Q1,"Wind Point Partners VIII-A, L.P. Chicago",IL,06/06/2016,3,0,0,0,47.89
JNLIC,2020Q1,"Wynnefield Private Equity Partners I, L.P. Chicago",PA,07/13/2000,3,0,0,0,99.98
JNLIC,2020Q1,"Yorktown Energy Partners VII, L.P. Birmingham",NY,10/10/2006,3,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners VIII, L.P. Los Angeles",NY,09/29/2008,3,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners XI, L.P. New York",NY,04/22/2016,3,0,0,0,2.3
JNLIC,2020Q1,"PPM America Private Equity Fund III, L.P.",IL,03/04/2008,3,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund IV, L.P.",IL,04/28/2015,3,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund V, L.P.",IL,02/11/2014,3,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund VI, L.P.",IL,01/20/2016,3,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund VII, L.P.",IL,06/27/2018,3,0,0,0,0.0
JNLIC,2020Q1,"000000-00-0 Harbert Real Estate Fund V, L.P. AL Harbert",US,12/07/2012,2,0,0,0,0.0
JNLIC,2020Q1,"Mesa West Real Estate Income Fund IV, L.P. CA Mesa West Real Estate Income Fund",IV,03/16/2017,2,0,0,0,0.0
JNLIC,2020Q1,"Principal Real Estate Debt Fund II, L.P. IL Principal Real Estate Debt Fund",II,12/13/2017,2,0,0,0,0.0
JNLIC,2020Q1,"Square Mile Credit Partners II, L.P.",NY,02/27/2019,2,0,0,0,0.0
JNLIC,2020Q1,"AEA Investors Small Business Fund II, L.P. New York Normal distributions and adjustments",,12/23/2009,812444,0,0,0,0.0
JNLIC,2020Q1,"Apollo Investment Fund VII, L.P. Purchase Normal distributions and adjustments",,01/25/2008,250518,0,0,0,0.0
JNLIC,2020Q1,"Apollo Investment Fund VIII, L.P. Purchase Normal distributions and adjustments",,12/10/2013,357543,0,0,0,0.0
JNLIC,2020Q1,"Arsenal Capital Partners II, L.P. New York Normal distributions and adjustments",,12/18/2006,2306939,0,0,0,0.0
JNLIC,2020Q1,"Arsenal Capital Partners IV, L.P. New York Normal distributions and adjustments",,04/22/2016,876192,0,0,0,0.0
JNLIC,2020Q1,"Arsenal Capital Partners V, L.P. New York Normal distributions and adjustments",,07/16/2019,2324,0,0,0,0.0
JNLIC,2020Q1,"B2B Solutions, LLC Stamford Normal distributions and adjustments",,12/31/2018,239669,0,0,0,0.0
JNLIC,2020Q1,"Calera Capital Partners IV, L.P. San Francisco",CA,01/22/2008,2259367,0,0,0,0.0
JNLIC,2020Q1,"Catterton Partners VII, L.P. Greenwich",CA,03/18/2013,64725,0,0,0,0.0
JNLIC,2020Q1,"CIVC Partners Fund III, L.P. Chicago",FL,08/14/2003,263,0,0,0,0.0
JNLIC,2020Q1,"Clairvest Equity Partners IV-A, L.P. Toronto",IL,12/21/2010,1353058,0,0,0,0.0
JNLIC,2020Q1,"Clayton, Dubilier & Rice Fund IX, L.P. New York",IL,11/20/2013,2730444,0,0,0,0.0
JNLIC,2020Q1,"Cortec Group Fund V, L.P. New York",CA,04/15/2011,4641,0,0,0,0.0
JNLIC,2020Q1,"Cortec Group Fund VII, L.P. New York",NY,12/10/2019,1517313,0,0,0,0.0
JNLIC,2020Q1,"Cressey & Co. Fund IV, L.P. Chicago",NY,05/19/2009,1041701,0,0,0,0.0
JNLIC,2020Q1,"Green Equity Investors VI, L.P. Los Angeles Normal distributions and adjustments",,11/29/2012,77437,0,0,0,0.0
JNLIC,2020Q1,"JFL Equity Investors IV, L.P. New York",IL,03/28/2016,323049,0,0,0,0.0
JNLIC,2020Q1,"Leeds Equity Partners V, L.P. New York",IL,03/26/2015,1081973,0,0,0,0.0
JNLIC,2020Q1,"Lexington Capital Partners VII, L.P. New York",AL,03/25/2010,656113,0,0,0,0.0
JNLIC,2020Q1,"Littlejohn Fund V, L.P. Greenwich",IL,07/02/2014,115996,0,0,0,0.0
JNLIC,2020Q1,"Lovell Minnick Equity Partners III, L.P. Rolling Hills Estates",IL,10/21/2008,2344353,0,0,0,0.0
JNLIC,2020Q1,"New Mountain Partners III, L.P. New York Dissolution",,08/09/2007,180940,0,0,0,0.0
JNLIC,2020Q1,"NewSpring Growth Capital II, L.P. Radnor Normal distributions and adjustments",,10/04/2007,70037,0,0,0,0.0
JNLIC,2020Q1,"NewSpring Growth Capital III, L.P. Radnor Normal distributions and adjustments",,03/02/2012,635383,0,0,0,0.0
JNLIC,2020Q1,"Seidler Equity Partners IV, L.P. Marina Del Rey Normal distributions and adjustments",,03/23/2010,47669,0,0,0,0.0
JNLIC,2020Q1,"000000-00-0 Sorenson Capital Partners III, L.P. Lehi Normal distributions and adjustments",,12/17/2014,100963,0,0,0,0.0
JNLIC,2020Q1,"SPC Partners V, L.P. San Francisco Normal distributions and adjustments",,07/02/2012,601777,0,0,0,0.0
JNLIC,2020Q1,"Sterling Investment Partners III, L.P. Westport Normal distributions and adjustments",,01/02/2014,415755,0,0,0,0.0
JNLIC,2020Q1,"Sun Capital Partners V, L.P. Boca Raton Normal distributions and adjustments",,05/21/2007,538163,0,0,0,0.0
JNLIC,2020Q1,"Sun Capital Partners VI, L.P. Boca Raton Normal distributions and adjustments",,08/15/2013,813397,0,0,0,0.0
JNLIC,2020Q1,"Thoma Bravo Special Opp. Fund I, L.P. Chicago Normal distributions and adjustments",,08/20/2013,32386,0,0,0,0.0
JNLIC,2020Q1,"Thoma Bravo X, L.P. Chicago Normal distributions and adjustments",,02/08/2012,123059,0,0,0,0.0
JNLIC,2020Q1,"Thoma Bravo XI, L.P. Chicago Normal distributions and adjustments",,06/02/2014,181325,0,0,0,0.0
JNLIC,2020Q1,"Thoma Bravo XII, L.P. Chicago Normal distributions and adjustments",,05/27/2016,228491,0,0,0,0.0
JNLIC,2020Q1,"TSG7-B, L.P. San Francisco Normal distributions and adjustments",,01/15/2016,170552,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners IX, L.P. New York Normal distributions and adjustments",,11/12/2010,130159,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners VII, L.P. New York Normal distributions and adjustments",,10/10/2006,55660,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners VIII, L.P. New York Normal distributions and adjustments",,09/29/2008,140544,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners X, L.P. New York Normal distributions and adjustments",,05/23/2013,442306,0,0,0,0.0
JNLIC,2020Q1,"Yorktown Energy Partners XI, L.P. New York Normal distributions and adjustments",,04/22/2016,167069,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund V, L.P. Chicago Normal distributions and adjustments",,02/11/2014,779509,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund VI, L.P. Chicago Normal distributions and adjustments",,01/20/2016,1025974,0,0,0,0.0
JNLIC,2020Q1,"PPM America Private Equity Fund VII, L.P. Chicago Normal distributions and adjustments",,06/27/2018,3645862,0,0,0,0.0
JNLIC,2020Q1,"PPM Loan Management Holding Company, LLC Chicago Normal distributions and adjustments",,12/01/2017,3640546,0,0,0,0.0
JNLIC,2020Q1,"Harbert Real Estate Fund V, L.P. Birmingham Normal distributions and adjustments",,12/07/2012,421306,0,0,0,0.0
JNLIC,2020Q1,"Principal Real Estate Debt Fund II, L.P. Chicago Normal distributions and adjustments",,12/13/2017,1079680,0,0,0,0.0
JNLIC,2020Q1,"Square Mile Credit Partners II, L.P. New York Normal distributions and adjustments",,02/27/2019,846903,0,0,0,0.0
JNLIC,2020Q1,"Walton Street Real Estate Debt Fund, L.P. Chicago Normal distributions and adjustments",,03/11/2016,1299563,0,0,0,0.0
JNLIC,2020Q1,Description Foreign,,01/15/2020,15000000,0,0,0,0.0
