name,state,date_acquired,book_value,investment_income,ownership_pct
Admini- Date Type Actual Cost Additional for BX TRUST SERIES 2022-CL5 CLASS C 144A 6.790% 10/13/27 BOSTON,MA,10/06/2022,0,0,0.0
GS MORTGAGE SECURITIES TRUST SERIES 2017-GPTX CLASS C 144A 3.302% GS MORTGAGE SECURITIES TRUST SERIES 2017-GPTX CLASS C 144A 05/10/34 HOUSTON,TX,02/26/2019,0,0,0.0
MORGAN STANLEY CAPITAL I TRUST SERIES 2018-MP CLASS E 144A 4.276% MORGAN STANLEY CAPITAL I TRUST SERIES 2018-MP CLASS E 144A 07/11/40 NEW YORK,NY,05/14/2021,0,0,0.0
MORGAN STANLEY CAPITAL I TRUST SERIES 2020-CNP CLASS D 144A Adj % MORGAN STANLEY CAPITAL I TRUST SERIES 2020-CNP CLASS D Due 4/5/2 WILMINGTON,DE,05/06/2020,0,0,0.0
26N PRIVATE EQUITY PARTNERS I LP WILMINGTON,DE,03/25/2025,0,0,0.63
ALPINE INVESTORS IX LP WILMINGTON,DE,12/15/2023,0,0,0.27
ALTOR FUND VI STOCKHOLM SWE ALTOR FUND,VI,08/22/2023,0,0,0.24
AMERICAN SECURITIES PARTNERS VIII WILMINGTON,DE,03/28/2019,0,0,0.11
APOLLO HYBRID VALUE FUND WILMINGTON,DE,03/29/2019,0,0,0.43
APOLLO INVESTMENT FUND IX WILMINGTON,DE,03/15/2019,0,0,0.05
ARES CORPORATE OPP FUND VI LP WILMINGTON DE ARES CORPORATE OPP FUND,VI,03/01/2021,0,0,0.12
AUDAX PRIVATE EQUITY FUND VII-A LP WILMINGTON,DE,08/07/2023,0,0,0.4
BROOKFIELD INFRASTRUCTURE FD V WILMINGTON,DE,09/15/2023,0,0,0.03
BROOKFIELD INFRASTRUCTURE FND IIIB WILMINGTON,DE,05/16/2016,0,0,0.03
E03 BALP98-32-5 BROOKFIELD INFRASTRUCTURE FUND IV LP WILMINGTON,DE,09/13/2019,0,0,0.03
BRYNWOOD PARTNERS VIII WILMINGTON,DE,04/20/2018,0,0,0.9
CERBERUS RPL FOO LP WILMINGTON,DE,03/01/2025,0,0,0.0
CERBERUS SFR FOO LP WILMINGTON,DE,03/01/2025,0,0,0.0
CHARLESBANK CAP PTNS IX LP BOSTON,MA,07/16/2018,0,0,0.19
CHARLESBANK EQUITY FUND X BOSTON,MA,09/27/2021,0,0,0.28
CLAYTON DUBLIER & RICE FUND XI GRAND CAYMAN,CYM,09/23/2021,0,0,0.06
ENCAP ENERGY CAPITAL FUND XI HOUSTON,TX,07/17/2017,0,0,0.09
EQT INFRASTRUCTURE EQT V LUXEMBOURG,LUX,08/13/2021,0,0,0.16
EQT INFRASTRUCTURE IV LUXEMBOURG,LUX,06/05/2019,0,0,0.19
