entity,period,category,naic_designation,total_current_year,total_prior_year
VRIAC,2019Q3,BONDS,NAIC 1,35751206,30311307
VRIAC,2019Q3,BONDS,NAIC 2,843918880,959594849
VRIAC,2019Q3,BONDS,NAIC 3,225061821,312312849
VRIAC,2019Q3,BONDS,NAIC 4,53346359,48663678
VRIAC,2019Q3,BONDS,NAIC 5,5,163716
VRIAC,2019Q3,BONDS,NAIC 6,3633304,9030146
VRIAC,2019Q3,BONDS,NAIC 1,102842500,108742500
VRIAC,2019Q3,BONDS,NAIC 2,41538118,41538118
VRIAC,2019Q3,BONDS,NAIC 3,0,0
VRIAC,2019Q3,BONDS,NAIC 4,0,0
VRIAC,2019Q3,BONDS,NAIC 5,0,0
VRIAC,2019Q3,BONDS,NAIC 6,0,354999
VRIAC,2021Q4,"U.S. Governments                                                                                                                                                                                                                     2.6      602,321,549                     0",NAIC 1,0,0
VRIAC,2021Q4,"U.S. Governments                                                                                                                                                                                                                     2.6      602,321,549                     0",NAIC 2,0,0
VRIAC,2021Q4,"U.S. Governments                                                                                                                                                                                                                     2.6      602,321,549                     0",NAIC 3,0,0
VRIAC,2021Q4,"U.S. Governments                                                                                                                                                                                                                     2.6      602,321,549                     0",NAIC 4,0,0
VRIAC,2021Q4,"U.S. Governments                                                                                                                                                                                                                     2.6      602,321,549                     0",NAIC 5,0,0
VRIAC,2021Q4,"U.S. Governments                                                                                                                                                                                                                     2.6      602,321,549                     0",NAIC 6,0,0
VRIAC,2021Q4,"All Other Governments                                                                                                                                                                                                                0.0       75,732,446",NAIC 1,0,0
VRIAC,2021Q4,"All Other Governments                                                                                                                                                                                                                0.0       75,732,446",NAIC 2,0,0
VRIAC,2021Q4,"All Other Governments                                                                                                                                                                                                                0.0       75,732,446",NAIC 3,0,0
VRIAC,2021Q4,"All Other Governments                                                                                                                                                                                                                0.0       75,732,446",NAIC 4,0,0
VRIAC,2021Q4,"All Other Governments                                                                                                                                                                                                                0.0       75,732,446",NAIC 5,98089378,0
VRIAC,2021Q4,"All Other Governments                                                                                                                                                                                                                0.0       75,732,446",NAIC 6,0,0
VRIAC,2021Q4,"U.S. States, Territories and Possessions etc.,          980,207            7,996,955       2,315,407        1,414,660         13,166,361        XXX            5,134,429                    0.1    10,742,531                        0.0       27,751,736                    (1)",NAIC 1,0,960808
VRIAC,2021Q4,"U.S. States, Territories and Possessions etc.,          980,207            7,996,955       2,315,407        1,414,660         13,166,361        XXX            5,134,429                    0.1    10,742,531                        0.0       27,751,736                    (1)",NAIC 2,0,0
VRIAC,2021Q4,"U.S. States, Territories and Possessions etc.,          980,207            7,996,955       2,315,407        1,414,660         13,166,361        XXX            5,134,429                    0.1    10,742,531                        0.0       27,751,736                    (1)",NAIC 3,312667846,0
VRIAC,2021Q4,"U.S. States, Territories and Possessions etc.,          980,207            7,996,955       2,315,407        1,414,660         13,166,361        XXX            5,134,429                    0.1    10,742,531                        0.0       27,751,736                    (1)",NAIC 4,0,0
VRIAC,2021Q4,"U.S. States, Territories and Possessions etc.,          980,207            7,996,955       2,315,407        1,414,660         13,166,361        XXX            5,134,429                    0.1    10,742,531                        0.0       27,751,736                    (1)",NAIC 5,0,0
VRIAC,2021Q4,"U.S. States, Territories and Possessions etc.,          980,207            7,996,955       2,315,407        1,414,660         13,166,361        XXX            5,134,429                    0.1    10,742,531                        0.0       27,751,736                    (1)",NAIC 6,0,0
VRIAC,2021Q4,"U.S. Political Subdivisions of States, Territories and  2,583,254          20,594,291      67,380,193       93,698,913        40,536,524        XXX          224,793,175                    0.9    269,266,736                       0.0       26,424,651                     0",NAIC 1,24932081,0
VRIAC,2021Q4,"U.S. Political Subdivisions of States, Territories and  2,583,254          20,594,291      67,380,193       93,698,913        40,536,524        XXX          224,793,175                    0.9    269,266,736                       0.0       26,424,651                     0",NAIC 2,0,0
VRIAC,2021Q4,"U.S. Political Subdivisions of States, Territories and  2,583,254          20,594,291      67,380,193       93,698,913        40,536,524        XXX          224,793,175                    0.9    269,266,736                       0.0       26,424,651                     0",NAIC 3,0,0
VRIAC,2021Q4,"U.S. Political Subdivisions of States, Territories and  2,583,254          20,594,291      67,380,193       93,698,913        40,536,524        XXX          224,793,175                    0.9    269,266,736                       0.0       26,424,651                     0",NAIC 4,0,0
VRIAC,2021Q4,"U.S. Political Subdivisions of States, Territories and  2,583,254          20,594,291      67,380,193       93,698,913        40,536,524        XXX          224,793,175                    0.9    269,266,736                       0.0       26,424,651                     0",NAIC 5,0,415323403
VRIAC,2021Q4,"U.S. Political Subdivisions of States, Territories and  2,583,254          20,594,291      67,380,193       93,698,913        40,536,524        XXX          224,793,175                    0.9    269,266,736                       0.0       26,424,651                     0",NAIC 6,0,0
VRIAC,2021Q4,"U.S. Special Revenue & Special Assessment                               0               0                0                 0                 0  XXX                                         0.0    0                                           63,666,537                     0",NAIC 1,294198817,0
VRIAC,2021Q4,"U.S. Special Revenue & Special Assessment                               0               0                0                 0                 0  XXX                                         0.0    0                                           63,666,537                     0",NAIC 2,0,0
VRIAC,2021Q4,"U.S. Special Revenue & Special Assessment                               0               0                0                 0                 0  XXX                                         0.0    0                                           63,666,537                     0",NAIC 3,388898751,0
VRIAC,2021Q4,"U.S. Special Revenue & Special Assessment                               0               0                0                 0                 0  XXX                                         0.0    0                                           63,666,537                     0",NAIC 4,0,0
VRIAC,2021Q4,"U.S. Special Revenue & Special Assessment                               0               0                0                 0                 0  XXX                                         0.0    0                                           63,666,537                     0",NAIC 5,29405650,0
VRIAC,2021Q4,"U.S. Special Revenue & Special Assessment                               0               0                0                 0                 0  XXX                                         0.0    0                                           63,666,537                     0",NAIC 6,0,0
VRIAC,2021Q4,"Industrial & Miscellaneous (Unaffiliated)                                                                                                                                                                                   33.7     3,332,360,469      5,014,334,195",NAIC 1,0,0
VRIAC,2021Q4,"Industrial & Miscellaneous (Unaffiliated)                                                                                                                                                                                   33.7     3,332,360,469      5,014,334,195",NAIC 2,9702851551,474593082
VRIAC,2021Q4,"Industrial & Miscellaneous (Unaffiliated)                                                                                                                                                                                   33.7     3,332,360,469      5,014,334,195",NAIC 3,0,0
VRIAC,2021Q4,"Industrial & Miscellaneous (Unaffiliated)                                                                                                                                                                                   33.7     3,332,360,469      5,014,334,195",NAIC 4,250643143,8168013
VRIAC,2021Q4,"Industrial & Miscellaneous (Unaffiliated)                                                                                                                                                                                   33.7     3,332,360,469      5,014,334,195",NAIC 5,0,0
VRIAC,2021Q4,"Industrial & Miscellaneous (Unaffiliated)                                                                                                                                                                                   33.7     3,332,360,469      5,014,334,195",NAIC 6,8457923,8446253858
VRIAC,2021Q4,"Hybrid Securities                             412,538            2,505,102            4,214       5,536,069                        0  XXX             19,890,921,837                 0.0    24,179,246                        0.1                  0",NAIC 1,0,0
VRIAC,2021Q4,"Hybrid Securities                             412,538            2,505,102            4,214       5,536,069                        0  XXX             19,890,921,837                 0.0    24,179,246                        0.1                  0",NAIC 2,1977290,2577354
VRIAC,2021Q4,"Hybrid Securities                             412,538            2,505,102            4,214       5,536,069                        0  XXX             19,890,921,837                 0.0    24,179,246                        0.1                  0",NAIC 3,0,0
VRIAC,2021Q4,"Hybrid Securities                             412,538            2,505,102            4,214       5,536,069                        0  XXX             19,890,921,837                 0.0    24,179,246                        0.1                  0",NAIC 4,18779344870,0
VRIAC,2021Q4,"Hybrid Securities                             412,538            2,505,102            4,214       5,536,069                        0  XXX             19,890,921,837                 0.0    24,179,246                        0.1                  0",NAIC 5,0,0
VRIAC,2021Q4,"Hybrid Securities                             412,538            2,505,102            4,214       5,536,069                        0  XXX             19,890,921,837                 0.0    24,179,246                        0.1                  0",NAIC 6,0,0
VRIAC,2021Q4,"Parent, Subsidiaries and Affiliates                           0               0  17,296,648                      0  8,355,011         XXX             25,651,659                     0.1    20,533,137                        0.0                            4,534,309",NAIC 1,0,0
VRIAC,2021Q4,"Parent, Subsidiaries and Affiliates                           0               0  17,296,648                      0  8,355,011         XXX             25,651,659                     0.1    20,533,137                        0.0                            4,534,309",NAIC 2,8614455,0
VRIAC,2021Q4,"Parent, Subsidiaries and Affiliates                           0               0  17,296,648                      0  8,355,011         XXX             25,651,659                     0.1    20,533,137                        0.0                            4,534,309",NAIC 3,0,0
VRIAC,2021Q4,"Parent, Subsidiaries and Affiliates                           0               0  17,296,648                      0  8,355,011         XXX             25,651,659                     0.1    20,533,137                        0.0                            4,534,309",NAIC 4,0,0
VRIAC,2021Q4,"Parent, Subsidiaries and Affiliates                           0               0  17,296,648                      0  8,355,011         XXX             25,651,659                     0.1    20,533,137                        0.0                            4,534,309",NAIC 5,0,0
