loan_number,city,state,date_acquired,interest_rate,book_value
28988,Auburn,AZ,12/27/2013,5.17,3036864
29827,Birmingham,AZ,09/10/2014,4.45,5536770
29170,Ft Smith,AZ,07/26/2019,4.59,6292340
27218,Mesa,AZ,07/16/2019,5.05,9429520
27308,Mesa,AZ,04/29/2015,4.05,922610
28507,Peoria,AZ,04/29/2015,4.05,1180399
28955,Nogales,AZ,03/27/2003,4.1,10258914
29142,Tempe,AZ,03/27/2003,3.85,11712781
29330,Glendale,AZ,09/19/2003,3.8,14249503
29332,Phoenix,AZ,11/01/2011,5.43,14643689
29334,Phoenix,AZ,09/23/2011,4.85,3307286
29548,Glendale,AZ,04/01/2014,4.41,4533656
29561,Scottsdale,AZ,12/06/2013,4.75,886582
29587,Phoenix,CA,12/06/2013,4.75,679085
29599,Phoenix,CA,01/15/2015,4.3,6512885
29601,Surprise,CA,01/15/2015,4.3,1826364
29781,Tucson,CA,01/06/2016,4.6,1313274
29954,Phoenix,CA,01/06/2016,4.6,1640083
2842506,Phoenix,CA,01/06/2016,4.6,1465900
27365,San Francisco,CA,01/06/2016,4.6,1390880
27913,Palo Alto,CA,01/06/2016,4.6,1519362
28033,Los Angeles,CA,11/01/2016,4.26,6782699
28322,Santa Clara,CA,06/29/2017,4.4,3446149
28412,Concord,CA,04/03/2017,4.63,23663079
28416,,SAN,04/27/2017,3.96,4214178
28419,,LOS,05/24/2017,3.77,3475956
28486,,,05/24/2017,3.77,3866381
28494,,,05/24/2017,3.77,1514813
28562,,,05/24/2017,3.96,4818307
28789,,SAN,05/24/2017,3.96,4527575
28791,San Francisco,CA,10/09/2012,4.25,4207803
28834,Malibu,CA,10/09/2012,4.25,3358150
28850,Los Angeles,CA,02/26/2013,3.45,2514090
28874,Los Angeles,CA,02/26/2013,3.45,4666823
28902,Los Angeles,CA,02/26/2013,3.45,4607626
28912,Thousand Oaks,CA,02/26/2013,3.45,2456493
28939,Roseville,CA,04/09/2013,3.85,11320441
28945,San Francisco,CA,05/09/2013,4.3,3119026
28947,San Diego,CA,05/30/2013,4.22,2134119
28949,El Cajon,CA,06/26/2013,2.99,2761411
28951,San Diego,CA,06/19/2013,2.99,5387558
28973,Irvine,CA,10/31/2013,4.5,29906871
28993,Highland Park,CA,08/13/2013,3.75,13692208
29006,Santa Clara,CA,12/06/2013,4.75,4904502
29022,San Diego,CA,12/06/2013,4.75,4055647
29049,Woodland Hills,CA,12/06/2013,4.75,3489743
29070,Sacramento,CA,12/06/2013,4.75,1848620
29100,Rancho Cordova,CA,12/06/2013,4.75,1395897
29129,Santa Monica,CA,12/06/2013,4.75,1508976
29140,Hollywood,CA,12/06/2013,4.75,980901
29146,San Jose,CA,12/06/2013,4.75,943173
29161,San Bernardino,CA,12/06/2013,4.75,707380
29165,El Monte,CA,11/07/2013,4.45,4824713
29216,Los Angeles,CA,12/20/2013,4.85,6721479
29239,,,05/09/2014,4.61,1580429
29346,,,02/07/2014,3.99,6366723
29368,City,OF,02/25/2014,3.9,24523902
29373,,LOS,05/09/2014,5.01,1409195
29384,,LOS,05/01/2014,3.0,3571365
29388,Redondo Beach,CA,05/11/2016,4.13,1773882
29462,San Diego,CA,08/04/2016,3.9,2850345
29519,Northridge,CA,08/03/2016,3.67,15600000
29550,Encinitas,CA,08/18/2016,3.58,5149493
29563,Carlsbad,CA,12/05/2016,2.4,6899430
29607,Los Angeles,CA,12/05/2016,2.4,6368704
29631,Rancho Cucamonga,CA,02/07/2017,4.29,10266830
29671,Roseville,CA,04/03/2017,4.63,18838928
29769,Fremont,CA,04/03/2017,4.63,34189624
29783,Los Angeles,CA,06/29/2017,4.55,5725619
29788,Los Angeles,CA,08/11/2017,3.09,5311375
29798,San Pedro,CA,11/01/2017,3.65,5060147
29825,Antelope,CA,11/01/2017,3.65,4600134
29839,San Francisco,CA,01/18/2018,3.78,6032807
29966,San Francisco,CO,01/31/2018,3.63,3243318
29981,Irvine,CO,01/31/2018,3.63,4911310
29989,Pasadena,CO,08/30/2018,4.75,12652604
2777502,Lake Forest,CO,11/15/2018,4.47,966824
2915802,San Bernardino,CO,12/20/2018,6.1,3179408
2916302,El Monte,CO,11/21/2018,4.68,3500000
28149,Grand Junction,CO,11/29/2018,4.56,1934667
28768,Denver,CO,12/14/2018,4.8,2391284
28829,Denver,CO,01/11/2019,5.4,3095652
29081,Parker,CO,04/26/2019,4.19,7221722
29117,,,04/26/2019,4.52,956394
29371,,,06/26/2019,3.98,8442351
29552,,,05/24/2019,5.1,7574497
29662,,,05/21/2020,3.4,34661298
29841,,,06/04/2020,3.15,6405000
29859,,,09/16/2020,5.25,5276286
29994,Boulder,CT,12/15/2020,4.65,9416727
