loan_number,city,state,date_acquired,interest_rate,book_value
1448,Charlotte,NC,12/11/2007,6.2,5052655
1561,Bloomington,MN,09/28/2007,5.85,1195416
1673,Cf Spokane,WA,06/19/2012,4.05,4467469
1678,Fishers,IN,08/16/2012,4.15,13460111
1692,Cf Pottstown,PA,03/01/2013,3.65,21979276
1705,Concord,CA,11/07/2013,4.5,12825671
1709,Verona,WI,10/23/2013,4.33,7570428
1711,Mcdonough,GA,12/03/2013,4.95,15850000
1727,Jacksonville,FL,10/27/2014,4.15,2441586
1728,Cf Meridian,ID,05/28/2014,4.58,18529284
1729,Pasadena,MD,11/03/2014,4.59,5554305
1730,Cf Madison,WI,05/22/2014,4.56,17382916
1733,Austin,TX,08/14/2014,4.25,3492524
1734,Olney,MD,12/01/2014,4.35,17744241
1736,Pleasant Hill,CA,11/24/2014,4.01,10385234
1746,Cf Dallas,TX,11/10/2014,4.09,10071948
1747,Cf Dallas,TX,11/10/2014,4.09,7553963
1748,Lutherville-Timonium,MD,12/12/2014,4.0,16092303
1750,Cf Milwaukee,WI,01/28/2015,4.0,12767578
1755,Indian Trail,NC,03/06/2015,4.0,5747167
1764,Fishers,IN,08/05/2015,4.05,17008902
1766,Cf Windsor,CT,07/29/2015,4.33,15473493
1768,Cerritos,CA,10/15/2015,4.16,6000000
1769,Camarillo,CA,10/29/2015,4.2,5520994
1770,Cf Cockeysville,MD,12/10/2015,4.0,16694658
1781,Cf Mequon,WI,12/15/2016,3.73,5522683
1785,Cf Houston,TX,02/28/2017,3.68,6800389
1787,Cf Anaheim,CA,12/13/2016,3.61,4800000
1788,Cf Anaheim,CA,12/13/2016,3.61,2500000
1789,Cf Placentia,CA,01/24/2017,3.61,1800000
1791,Cf Gaithersburg,MD,02/07/2017,4.41,15671936
1798,Cf Roseville,CA,08/01/2017,4.22,9169499
1802,Cf Temecula,CA,09/07/2017,4.0,4729992
1803,Cf Concord,NC,08/30/2017,3.97,10919455
1804,Cf Lincoln,CA,12/21/2017,4.33,9931599
1805,Cf Baltimore,MD,06/07/2018,4.15,4649040
1806,Cf Baltimore,MD,06/07/2018,4.15,4306078
1807,Cf Chula Vista,CA,05/01/2018,4.0,2962225
1808,Cf Denver,CO,06/19/2018,4.28,3680897
1809,Cf Columbia,SC,03/29/2018,3.89,15731752
1815,Cf Melville,NY,07/31/2018,4.33,3353125
1816,Cf Virginia Beach,VA,08/29/2018,4.3,19398669
1817,Arvada,CO,02/26/2019,4.47,4732081
1821,Cf Mesa,AZ,08/08/2018,4.31,4619336
1823,Cf Skokie,IL,10/04/2018,4.33,8207092
1827,Cf Earth City,MO,12/14/2018,4.68,7802277
1829,Bronx,NY,01/15/2019,4.51,3621254
1831,Evansville,IN,01/15/2019,6.22,1997360
1832,Greensboro,GA,01/15/2019,6.52,658825
1833,Dallas,TX,01/15/2019,6.46,1639639
1835,Fountain Valley,CA,03/07/2019,4.56,7350000
1839,Meridian,ID,09/06/2019,4.0,11751230
1840,Greenfield,WI,02/26/2020,3.42,8185528
1841,City Of Industry,CA,12/05/2019,3.5,5875000
1843,Cf Chattanooga,TN,10/31/2019,3.35,25000000
1844,Buford,GA,11/21/2019,3.5,6958621
1846,Hacienda Heights,CA,01/09/2020,3.25,2831955
1847,Highlands Ranch,CO,12/19/2019,3.5,2538579
1850,Madison,WI,03/04/2020,3.64,10634721
1851,Tucson,AZ,02/27/2020,3.68,5715729
1852,Doraville,GA,04/14/2020,3.3,7758325
1855,Wood Dale,IL,08/05/2020,3.55,2800000
1857,Elgin,IL,12/01/2020,3.0,3605000
1858,Cf Plainfield,IN,04/14/2021,3.5,20000000
1859,Anaheim,CA,04/15/2021,3.0,10200000
1860,Corona,CA,04/15/2021,3.0,1850000
1861,San Diego,CA,04/15/2021,3.0,900000
1862,Santa Ana,CA,05/18/2021,3.0,7350000
1863,Spokane Valley,WA,05/19/2021,3.38,12500000
1864,Sewickley,PA,05/27/2021,3.0,7500000
1865,Lake Forest,CA,12/15/2021,3.5,5240188
1867,Greenwood Village,CO,07/21/2021,3.43,6130921
1869,Kennesaw,GA,10/06/2021,3.0,11239568
1870,Mokena,IL,11/23/2021,2.86,3400000
1871,Pasadena,MD,12/08/2021,3.28,12199508
1873,Cf Tracy,CA,01/13/2022,3.06,14800000
1874,Mclean,VA,11/17/2021,3.5,14957333
1875,Monroe,WA,02/17/2022,3.18,3693250
1876,Palm Beach Gardens,FL,03/23/2022,3.23,10000000
1878,Cf Rockville,MD,03/21/2022,3.0,21459194
1879,Rock Hill,SC,04/28/2022,3.25,20000000
1880,Bethesda,MD,04/14/2022,3.23,8697571
1882,Cf Olathe,KS,05/02/2022,3.64,33000000
1883,Milwaukee,WI,08/01/2022,4.21,10187674
1888,American Fork,UT,09/06/2022,4.28,24370326
1889,Tehachapi,CA,06/23/2022,4.67,10329630
1890,Louisville,KY,10/11/2022,5.17,15264749
1891,Wentzville,MO,12/01/2022,4.55,24800000
1892,Riverton,UT,11/15/2022,4.81,8475000
1893,Logan,UT,11/15/2022,4.81,4500000
1894,Murray City,UT,11/15/2022,4.81,2300000
1895,Chamblee,GA,11/29/2022,5.0,30000000
135021,Cf Crofton,MD,07/01/2004,5.85,1571814
1873,Tracy,CA,01/13/2022,3.06,14800000
1875,Monroe,WA,02/17/2022,3.18,3750000
1876,Palm Beach Gardens,FL,03/23/2022,3.23,10000000
1878,Rockville,MD,03/21/2022,3.0,22000000
1879,Rock Hill,SC,04/28/2022,3.25,20000000
1880,Bethesda,MD,04/14/2022,3.23,8800000
1882,Olathe,KS,05/02/2022,3.64,33000000
1883,Milwaukee,WI,08/01/2022,4.21,10270000
1888,American Fork,UT,09/06/2022,4.28,24500000
1889,Tehachapi,CA,06/23/2022,4.67,10500000
1890,Louisville,KY,10/11/2022,5.17,15315000
1891,Wentzville,MO,12/01/2022,4.55,24800000
1892,Riverton,UT,11/15/2022,4.81,8475000
1893,Logan,UT,11/15/2022,4.81,4500000
1894,Murray City,UT,11/15/2022,4.81,2300000
1895,Chamblee,GA,11/29/2022,5.0,30000000
