entity,period,state,loan_count,total_book_value,avg_interest_rate
BLC,2018Q3,MD,1,77515000.0,4.08
BLC,2018Q3,NY,1,7500000.0,4.33
BLC,2018Q3,TX,1,21000000.0,4.31
BLC,2018Q3,VA,1,26500000.0,4.3
BLC,2019Q2,IL,1,8385000.0,4.38
BLC,2021Q2,CA,3,75150000.0,3.0
BLC,2021Q2,IN,1,6586019.0,3.5
BLC,2021Q3,CA,1,12350000.0,3.15
BLC,2022Q1,CA,1,22000000.0,3.06
BLC,2022Q1,FL,1,84517250.0,3.23
BLC,2022Q1,WA,1,26053750.0,3.18
BLC,2022Q4,AZ,2,10335065.0,3.995
BLC,2022Q4,CA,23,162651987.0,3.7617
BLC,2022Q4,CO,4,17082478.0,3.92
BLC,2022Q4,CT,1,15473493.0,4.33
BLC,2022Q4,FL,3,22441586.0,3.5367
BLC,2022Q4,GA,7,102465339.0,4.4671
BLC,2022Q4,ID,2,30280514.0,4.29
BLC,2022Q4,IL,4,18012092.0,3.435
BLC,2022Q4,IN,4,52466373.0,4.48
BLC,2022Q4,KS,2,66000000.0,3.64
BLC,2022Q4,KY,2,30579749.0,5.17
BLC,2022Q4,MD,13,155440648.0,3.9415
BLC,2022Q4,MN,1,1195416.0,5.85
BLC,2022Q4,MO,3,57402277.0,4.5933
BLC,2022Q4,NC,3,21719277.0,4.7233
BLC,2022Q4,NY,2,6974379.0,4.42
BLC,2022Q4,PA,2,29479276.0,3.325
BLC,2022Q4,SC,3,55731752.0,3.4633
BLC,2022Q4,TN,1,25000000.0,3.35
BLC,2022Q4,TX,5,29558463.0,4.514
BLC,2022Q4,UT,8,79420326.0,4.6775
BLC,2022Q4,VA,2,34356002.0,3.9
BLC,2022Q4,WA,4,24410719.0,3.4475
BLC,2022Q4,WI,8,82521528.0,4.0125
BLC,2023Q3,AZ,1,16250000.0,5.28
BLC,2023Q3,CA,1,9500000.0,5.05
BLC,2023Q3,FL,1,12875000.0,5.24
BLC,2023Q3,NV,1,6000000.0,5.3
BLC,2023Q3,NY,1,19500000.0,5.46
BLC,2023Q3,UT,2,18000000.0,5.59
BLC,2024Q3,CA,2,10900000.0,6.055
BLC,2024Q3,GA,1,19500000.0,5.83
BLC,2024Q3,IL,1,14300000.0,5.81
BLC,2024Q4,AL,2,30000000.0,5.6
BLC,2024Q4,AZ,3,26035808.0,4.4233
BLC,2024Q4,CA,35,251169240.0,4.4171
BLC,2024Q4,CO,4,15703674.0,3.92
BLC,2024Q4,FL,4,40694251.0,4.69
BLC,2024Q4,GA,6,93450116.0,4.41
BLC,2024Q4,ID,4,46399606.0,4.995
BLC,2024Q4,IL,5,43453310.0,4.362
BLC,2024Q4,IN,4,64515569.0,4.875
BLC,2024Q4,KS,2,43500000.0,4.59
BLC,2024Q4,KY,1,14654718.0,5.17
BLC,2024Q4,MD,9,78756374.0,4.1844
BLC,2024Q4,MN,2,20741259.0,6.03
BLC,2024Q4,MO,3,57037203.0,5.4833
BLC,2024Q4,NC,3,20187385.0,4.7233
BLC,2024Q4,NV,1,5411683.0,5.3
BLC,2024Q4,NY,5,77085511.0,5.344
BLC,2024Q4,OH,2,36300000.0,5.76
BLC,2024Q4,PA,1,7500000.0,3.0
BLC,2024Q4,SC,2,34675252.0,3.57
BLC,2024Q4,TN,1,24959613.0,3.35
BLC,2024Q4,TX,3,28238964.0,6.9867
BLC,2024Q4,UT,12,99767251.0,5.3058
BLC,2024Q4,VA,3,53878260.0,4.3833
BLC,2024Q4,WA,3,19369390.0,3.5367
BLC,2024Q4,WI,8,83522681.0,4.1837
CPL,2021Q4,MN,1,140337.0,5.85
CPL,2021Q4,NC,1,379732.0,6.2
CPL,2022Q4,MN,1,119542.0,5.85
CPL,2022Q4,NC,1,358558.0,6.2
CPL,2023Q1,MN,1,5391.0,0
CPL,2023Q1,NC,1,5501.0,0
CPL,2023Q3,MN,1,5551.0,0
CPL,2023Q3,NC,1,5674.0,0
CPL,2023Q4,MN,1,97496.0,5.85
CPL,2023Q4,NC,1,336034.0,6.2
CPL,2024Q1,MN,1,5715.0,0
CPL,2024Q1,NC,1,5852.0,0
CPL,2025Q1,MN,1,6059.0,0
CPL,2025Q1,NC,1,6226.0,0
