entity,period,category,naic_designation,total_current_year,total_prior_year
BLC,2018Q3,BONDS,NAIC 1,1,22065371
BLC,2018Q3,BONDS,NAIC 2,570444328,506634112
BLC,2018Q3,BONDS,NAIC 3,228350864,195803124
BLC,2018Q3,BONDS,NAIC 4,19696178,25742536
BLC,2018Q3,BONDS,NAIC 6,774584,770127
BLC,2018Q3,BONDS,NAIC 1,20110000,18933317
BLC,2018Q3,BONDS,NAIC 2,169383657,189410091
BLC,2018Q3,BONDS,NAIC 3,58353705,57548343
BLC,2018Q3,BONDS,NAIC 4,49641889,2795856
BLC,2018Q3,BONDS,NAIC 5,5886005,5000000
BLC,2018Q3,BONDS,NAIC 6,302569894,14443065
BLC,2019Q2,BONDS,NAIC 1,35415073,-20077750
BLC,2019Q2,BONDS,NAIC 2,499731039,524139666
BLC,2019Q2,BONDS,NAIC 3,168378153,180742558
BLC,2019Q2,BONDS,NAIC 4,19729160,19688155
BLC,2019Q2,BONDS,NAIC 5,5,2000000
BLC,2019Q2,BONDS,NAIC 6,12743247517,464183
BLC,2019Q2,BONDS,NAIC 1,17837000,20110000
BLC,2019Q2,BONDS,NAIC 2,68135680,168668217
BLC,2019Q2,BONDS,NAIC 3,5000000,47991209
BLC,2019Q2,BONDS,NAIC 4,4,-23507493
BLC,2019Q2,BONDS,NAIC 5,120366178,285605821
BLC,2019Q2,BONDS,NAIC 6,13045478595,12806511458
BLC,2021Q2,BONDS,NAIC 1,8028291534,7166322835
BLC,2021Q2,BONDS,NAIC 2,5395942306,5607314662
BLC,2021Q2,BONDS,NAIC 3,71737660,-15631221
BLC,2021Q2,BONDS,NAIC 4,596794012,679014024
BLC,2021Q2,BONDS,NAIC 5,239697513,252513701
BLC,2021Q2,BONDS,NAIC 6,11873949,10844850
BLC,2021Q2,BONDS,NAIC 1,7500000,12500000
BLC,2021Q2,BONDS,NAIC 2,26507493,26507493
BLC,2021Q2,BONDS,NAIC 3,5887280,5886005
BLC,2021Q2,BONDS,NAIC 4,14456355797,13894686548
BLC,2021Q2,BONDS,NAIC 5,5,6
BLC,2021Q2,BONDS,NAIC 6,6,5882610
BLC,2021Q3,BONDS,NAIC 1,8312266453,7166322835
BLC,2021Q3,BONDS,NAIC 2,5495848848,5607314662
BLC,2021Q3,BONDS,NAIC 3,19886662,12856381
BLC,2021Q3,BONDS,NAIC 4,638002197,679014024
BLC,2021Q3,BONDS,NAIC 5,251860264,252513701
BLC,2021Q3,BONDS,NAIC 6,10844850,19067122
BLC,2021Q3,BONDS,NAIC 1,7500000,12500000
BLC,2021Q3,BONDS,NAIC 2,26507493,26507493
BLC,2021Q3,BONDS,NAIC 3,5887280,5886005
BLC,2021Q3,BONDS,NAIC 4,14897830041,13894686548
BLC,2021Q3,BONDS,NAIC 6,6,5887280
BLC,2022Q1,BONDS,NAIC 1,9380110290,8757775716
BLC,2022Q1,BONDS,NAIC 2,6167067523,5707721906
BLC,2022Q1,BONDS,NAIC 3,22404967,-28362820
BLC,2022Q1,BONDS,NAIC 4,658629613,655355294
BLC,2022Q1,BONDS,NAIC 5,283915497,267148063
BLC,2022Q1,BONDS,NAIC 6,21255437,22143938
BLC,2022Q1,BONDS,NAIC 1,7500000,7500000
BLC,2022Q1,BONDS,NAIC 2,26507493,26507493
BLC,2022Q1,BONDS,NAIC 3,150475871,172033871
BLC,2022Q1,BONDS,NAIC 4,4,-7161619
BLC,2022Q1,BONDS,NAIC 5,5,6
BLC,2022Q4,U.S. Governments,NAIC 1,28633067,28633067
BLC,2022Q4,U.S. Governments,NAIC 2,0,0
BLC,2022Q4,U.S. Governments,NAIC 3,0,0
BLC,2022Q4,U.S. Governments,NAIC 4,0,0
BLC,2022Q4,U.S. Governments,NAIC 5,0,0
BLC,2022Q4,U.S. Governments,NAIC 6,0,0
BLC,2022Q4,All Other Governments,NAIC 1,20857521,0
BLC,2022Q4,All Other Governments,NAIC 2,22097855,10659514
BLC,2022Q4,All Other Governments,NAIC 3,0,0
BLC,2022Q4,All Other Governments,NAIC 4,0,0
BLC,2022Q4,All Other Governments,NAIC 5,0,0
BLC,2022Q4,All Other Governments,NAIC 6,0,0
