entity,period,state,state_code,life,annuity,ah,other,total,deposit
BLC,2019Q2,Vermont,VT,1000968,5133486,0,0,2963600,0
BLC,2019Q2,Virginia,VA,5687195,15393732,0,0,8786866,0
BLC,2019Q2,Washington,WA,4178021,23694872,0,0,10709163,0
BLC,2019Q2,West Virginia,WV,3173847,11761840,0,0,3065273,0
BLC,2019Q2,Wisconsin,WI,5661228,10173423,0,0,9962305,0
BLC,2019Q2,Wyoming,WY,175868,257900,0,0,676821,0
BLC,2019Q2,Guam,GU,2301,0,0,0,741,0
BLC,2019Q2,Puerto Rico,PR,23885,0,0,0,3803,0
BLC,2019Q2,U.S. Virgin Islands,VI,6084,0,0,0,4315,0
BLC,2019Q2,Aggregate Other Aliens,OT,22629,0,0,0,27458,0
BLC,2021Q2,Alabama,AL,1464821,3770047,1644940,0,6879808,25000
BLC,2021Q2,Arizona,AZ,2658508,4615663,5392432,0,12666602,0
BLC,2021Q2,Arkansas,AR,1693738,1992906,2381734,0,6068378,344653448
BLC,2021Q2,Colorado,CO,3207745,10205475,6487328,0,19900549,0
BLC,2021Q2,Connecticut,CT,4688898,14529430,5320432,0,24538760,0
BLC,2021Q2,District Of Columbia,DC,428709,152728,247075,0,828512,0
BLC,2021Q2,Florida,FL,24374611,72877690,34962494,0,132214795,0
BLC,2021Q2,Hawaii,HI,728334,1638627,951068,0,3318029,0
BLC,2021Q2,Idaho,ID,798309,1552832,2679543,0,5030684,0
BLC,2021Q2,Indiana,IN,9540261,31318334,11533311,0,52391907,0
BLC,2021Q2,Iowa,IA,12465456,49420187,12115856,0,74001499,0
BLC,2021Q2,Kentucky,KY,4390743,19182989,3434646,0,27008379,0
BLC,2021Q2,Louisiana,LA,1435200,760657,2086149,0,4282006,0
BLC,2021Q2,Maryland,MD,4751716,9599028,4458672,0,18809415,0
BLC,2021Q2,Massachusetts,MA,3829572,12282743,5084826,0,21197141,0
BLC,2021Q2,Minnesota,MN,4740056,18756753,5205096,0,28701905,0
BLC,2021Q2,Mississippi,MS,1398159,2021186,2189894,0,5609238,0
BLC,2021Q2,Montana,MT,679964,2618995,1440895,0,4739854,0
BLC,2021Q2,Nebraska,NE,1667759,7974713,4987163,0,14629636,0
BLC,2021Q2,New Hampshire,NH,1490831,11837840,6076762,0,19405433,0
BLC,2021Q2,New Jersey,NJ,7882382,10422147,15616789,0,33921319,0
BLC,2021Q2,New York,NY,630075,848208,843672,0,2321956,0
BLC,2021Q2,North Carolina,NC,9228724,46426168,12484812,0,68139703,0
BLC,2021Q2,Ohio,OH,8571509,16135638,8770324,0,33477471,0
BLC,2021Q2,Oklahoma,OK,1489301,3627564,2820730,0,7937595,0
BLC,2021Q2,Pennsylvania,PA,15528483,41977956,19843492,0,77349930,0
BLC,2021Q2,Rhode Island,RI,2519339,12564907,1878170,0,16962416,0
BLC,2021Q2,South Dakota,SD,424450,900662,2189920,0,3515032,0
BLC,2021Q2,Tennessee,TN,6275228,15145525,6087211,0,27507964,0
BLC,2021Q2,Utah,UT,650865,1457133,1145893,0,3253891,0
BLC,2021Q2,Vermont,VT,939759,1881874,2551957,0,5373590,0
BLC,2021Q2,Washington,WA,4189706,14478166,9464320,0,28132192,0
BLC,2021Q2,West Virginia,WV,3459675,11022029,2635365,0,17117069,0
BLC,2021Q2,Wyoming,WY,173955,238406,631385,0,1043747,0
BLC,2021Q2,American Samoa,AS,2339,0,0,0,2339,0
BLC,2021Q2,Puerto Rico,PR,26459,2274,0,0,28734,0
BLC,2021Q2,U.S. Virgin Islands,VI,3765,4607,0,0,8372,0
BLC,2021Q3,Alabama,AL,2172622,5834472,2438203,0,10445297,0
BLC,2021Q3,Arizona,AZ,4067907,6932081,7882790,0,18882778,120347
BLC,2021Q3,Arkansas,AR,2531896,2832518,3559411,8923826,264317,0
BLC,2021Q3,Colorado,CO,4812973,15613623,9485422,0,29912018,672880929
BLC,2021Q3,Connecticut,CT,7010216,20470805,7909139,35390159,672880929,0
BLC,2021Q3,District Of Columbia,DC,655748,188778,366619,0,1211145,0
BLC,2021Q3,Florida,FL,36736274,113289129,51557435,0,201582838,0
BLC,2021Q3,Hawaii,HI,1272090,1905902,1441420,0,4619412,0
BLC,2021Q3,Idaho,ID,1193880,2817966,4068222,0,8080068,0
BLC,2021Q3,Indiana,IN,14943002,44796909,17071412,0,76811323,0
BLC,2021Q3,Iowa,IA,17156885,71280683,18057057,0,106494626,0
BLC,2021Q3,Kentucky,KY,6343184,28277325,5163770,0,39784279,0
BLC,2021Q3,Louisiana,LA,2167711,1155741,3110366,0,6433817,0
BLC,2021Q3,Maryland,MD,7079030,12740572,6544202,0,26363805,0
BLC,2021Q3,Massachusetts,MA,5773130,19966293,7116928,0,32856351,0
BLC,2021Q3,Minnesota,MN,7204942,28512142,7607977,0,43325061,0
BLC,2021Q3,Mississippi,MS,2043166,2445913,3293984,0,7783062,0
BLC,2021Q3,Montana,MT,988461,3404649,2137309,0,6530418,0
BLC,2021Q3,Nebraska,NE,2417011,10362686,7395654,0,20175351,0
BLC,2021Q3,New Hampshire,NH,2477131,17670968,9117964,0,29266063,0
BLC,2021Q3,New Jersey,NJ,11786687,16617310,22909868,0,51313864,0
BLC,2021Q3,New York,NY,983339,933415,1295752,0,3212505,0
BLC,2021Q3,North Carolina,NC,13959783,69696966,18495952,0,102152701,0
BLC,2021Q3,Ohio,OH,12747348,22223658,13011144,0,47982149,0
BLC,2021Q3,Oklahoma,OK,2303907,4848580,4281722,0,11434209,0
BLC,2021Q3,Pennsylvania,PA,22782648,65300446,29161966,0,117245059,0
BLC,2021Q3,Rhode Island,RI,3453772,22428530,2744637,0,28626939,0
BLC,2021Q3,South Dakota,SD,586545,900812,3191213,0,4678570,0
BLC,2021Q3,Tennessee,TN,8997087,22411497,9064145,0,40472729,0
BLC,2021Q3,Utah,UT,991992,2017565,1702135,0,4711692,0
BLC,2021Q3,Vermont,VT,1370664,3175012,3707780,0,8253456,0
BLC,2021Q3,Washington,WA,6232852,22898838,14492857,0,43624547,0
BLC,2021Q3,West Virginia,WV,5166031,16204622,3994489,0,25365142,0
BLC,2021Q3,Wyoming,WY,251398,719623,917367,0,1888387,0
BLC,2021Q3,American Samoa,AS,3525,0,0,0,3525,0
BLC,2021Q3,Puerto Rico,PR,40172,3392,0,0,43564,0
BLC,2021Q3,U.S. Virgin Islands,VI,5261,5951,0,0,11212,0
BLC,2022Q1,Alabama,AL,699358,696985,750117,0,2146461,0
BLC,2022Q1,Arizona,AZ,1656950,3522153,2497105,0,7676208,899850664
