entity,period,category,naic_designation,total_current_year,total_prior_year
LLANY,2021Q4,"U.S. Governments                                                                                                                                                                                                               1.8      120,686,006          1,007,765",NAIC 1,0,0
LLANY,2021Q4,"U.S. Governments                                                                                                                                                                                                               1.8      120,686,006          1,007,765",NAIC 2,0,0
LLANY,2021Q4,"U.S. Governments                                                                                                                                                                                                               1.8      120,686,006          1,007,765",NAIC 3,0,0
LLANY,2021Q4,"U.S. Governments                                                                                                                                                                                                               1.8      120,686,006          1,007,765",NAIC 4,0,0
LLANY,2021Q4,"U.S. Governments                                                                                                                                                                                                               1.8      120,686,006          1,007,765",NAIC 5,0,0
LLANY,2021Q4,"U.S. Governments                                                                                                                                                                                                               1.8      120,686,006          1,007,765",NAIC 6,0,0
LLANY,2021Q4,"All Other Governments                                                                                                                                                                                                          0.3       21,112,719",NAIC 1,0,0
LLANY,2021Q4,"All Other Governments                                                                                                                                                                                                          0.3       21,112,719",NAIC 2,0,0
LLANY,2021Q4,"All Other Governments                                                                                                                                                                                                          0.3       21,112,719",NAIC 3,127180320,0
LLANY,2021Q4,"All Other Governments                                                                                                                                                                                                          0.3       21,112,719",NAIC 4,0,0
LLANY,2021Q4,"All Other Governments                                                                                                                                                                                                          0.3       21,112,719",NAIC 5,22083597,0
LLANY,2021Q4,"All Other Governments                                                                                                                                                                                                          0.3       21,112,719",NAIC 6,0,0
LLANY,2021Q4,"U.S. States, Territories and Possessions etc.,                                                                                            XXX",NAIC 1,0,0
LLANY,2021Q4,"U.S. States, Territories and Possessions etc.,                                                                                            XXX",NAIC 3,0,0
LLANY,2021Q4,"U.S. States, Territories and Possessions etc.,                                                                                            XXX",NAIC 5,0,0
LLANY,2021Q4,"U.S. Political Subdivisions of States, Territories and                               6,018,225     21,894,171              9,421,364      XXX          37,333,760                     0.5    37,365,643",NAIC 1,0,0
LLANY,2021Q4,"U.S. Political Subdivisions of States, Territories and                               6,018,225     21,894,171              9,421,364      XXX          37,333,760                     0.5    37,365,643",NAIC 3,0,0
LLANY,2021Q4,"U.S. Political Subdivisions of States, Territories and                               6,018,225     21,894,171              9,421,364      XXX          37,333,760                     0.5    37,365,643",NAIC 5,0,0
