name,state,date_acquired,book_value,investment_income,ownership_pct
MASTERCARD INC SR NT 3.800% 11/21/46,,03/22/2022,19665600,735312,0.0
CME GROUP INC GBL SR NT,,03/31/2022,16449015,2669,0.0
GENERAL ELECTRIC CAPITAL CORP MTN,,10/01/2022,12867909,12999208,0.0
ALLEGHANY CORPORATION SR NT,,06/27/2022,10009750,10000000,0.0
Year's Change in Exchange Book/ Interest/ GENERAL DYNAMICS CORP GBL SR NT,,03/22/2022,9243000,-380959,0.0
NY Life Insurance Co 1.C,FE,08/18/2010,8334096,-38428,0.0
ENTERPRISE PRODS OPER LLC GTD SR NT,,02/15/2022,7983200,8000000,0.0
MARSH & MCLENNAN COS INC SR NT,,11/23/2022,7028000,-220,0.0
ABBVIE INC SR NT 4.250% 11/14/28,,07/14/2022,6940150,6960107,0.0
GOLDMAN SACHS & COMPANY TOYOTA MOTOR CORP SR NT C,,03/22/2022,6939000,-259658,0.0
Interest Rate Swap - Forecasted Asset Bank N.A. (Cleared) Life Hedge Purchase N/A Interest SNZ2OJLFK8MNNCLQOF39 .,,12/08/2022,6765178,6765178,0.0
NUCOR CORP SR NT 4.125% 09/15/22,,08/15/2022,6489080,96,0.0
78467K-A#-4 SSE PLC SR NT 3.890% 04/16/22 D,,04/16/2022,6000000,6000000,0.0
MAXIM INTEGRATED PRODUCTS SR NT,,10/07/2022,5995440,5997667,0.0
ML PIERCE FENNER & SCHWAB (CHARLES) CORP SR NT,,03/22/2022,5892621,33687,0.0
PETRO CANADA DEB 7.000% 11/15/28,,10/01/2022,5584286,5246280,0.0
GSK CONSUMER HEALTHCARE SR NT 144a,,06/03/2022,5450128,107000,0.0
US BANCORP SUB MTN 2.950% 07/15/22,,06/15/2022,5040150,5000000,0.0
BANK OF,NY,03/22/2022,5024300,-171870,0.0
G2765*-AH-7 DIONYSUS AVIATION SER H SR NT C,,12/28/2022,5000000,5000000,0.0
WEIR GROUP PLC SER B SR NT D,,02/16/2022,5000000,5000000,0.0
FISERV INC SR NT 3.500% 10/01/22,,07/01/2022,4976950,678,0.0
E14.6 98161*-AB-5 WORLEYPARSONS US,FIN,09/13/2022,4070520,4000000,0.0
Designation Book/ Year's Other- Foreign Farmers Insurance Exchange 2.C,FE,03/19/2007,4059464,-8745,0.0
ABBVIE INC SR NT 4.300% 05/14/36,,07/01/2022,4034889,4039796,0.0
ENERGY PARTNERSHIP (GAS) PTY L Ser C Sr D,,02/25/2022,4000000,4000000,0.0
UNIVERSITY OF CHICAGO TXBL SER 12B,,10/01/2022,3999520,595,0.0
OKLAHOMA GAS & ELECTRIC COR SR SR NT,,03/22/2022,3988280,-55511,0.0
Teachers Insurance & Annuity Assn 1.D,FE,08/26/2010,3632105,-21089,0.0
ORICA FINANCE LTD SER B GTD SR NTS D,,10/25/2022,3066900,3000000,0.0
Northwestern Mutual Life Insurance 1.C,FE,03/23/2010,3000000,0,0.0
GOLDMAN SACHS GROUP INC GBL SR NT,,01/24/2022,2995950,3000000,0.0
IHS MARKIT LTD SR NT 4.750% 08/01/28 C,,03/02/2022,2988840,2992291,0.0
POLAND (REPUBLIC OF) GBL NT C,,03/23/2022,2958150,3000000,0.0
GRAND METROPOLITAN INVT CORP GTD DEB,,09/15/2022,2933370,3000000,0.0
ATHABASCA OIL SANDS INVTS INC SR NT 144A,,10/01/2022,2778571,2450694,0.0
FREDDIE MAC SERIES 4823 CLASS TZ,,12/01/2022,2744551,2773148,0.0
FHLMC 2981 XZ 5.000% 03/15/35,,12/01/2022,2579498,2664750,0.0
KINDER MORGAN ENERGY PARTNERS SR NT,,03/01/2022,2502275,2500000,0.0
UNITED STATES TREASURY BD,,08/01/2022,2410438,2020067,0.0
FANNIE MAE SER 18-68 CL CZ,,12/01/2022,2360465,2472827,0.0
ING GROEP,NV,03/29/2022,2319842,2325000,0.0
PRINCIPAL FINANCIAL GROUP INC SR NT,,09/15/2022,2251328,2250000,0.0
NORTHWEST NATURAL GAS,CO,01/01/2022,2045008,2044778,0.0
MORGAN STANLEY,CO,01/01/2022,2023294,2000488,0.0
SOUTHWEST GAS CORP NT 3.875% 04/01/22,,04/01/2022,2012340,2000000,0.0
CVS CORPORATION PSTHR CTF 144A,,01/21/2022,2000599,1999738,0.0
Farmers Insurance Exchange 2.C,FE,10/01/2014,2000000,0,0.0
AMRCN MUSEUM NAT HSTRY SR NT SER 2021,,07/15/2022,2000000,2000000,0.0
592688-A@-4 METTLER TOLEDO INTL INC 2012A SR NT,,12/17/2022,2000000,2000000,0.0
BROOKFIELD,WA,03/27/2022,2000000,2000000,0.0
GRUPO BIMBO SAB,DE,01/25/2022,1694798,1700000,0.0
COCA COLA ENTERPRISES INC SR NT,,07/01/2022,1631884,1631879,0.0
GNMA SER 2018-27 CL QZ,,12/01/2022,1603515,1689622,0.0
HOGAN REAL ESTATE LLC IV (WALGREEN) 6 91,,06/03/2022,1452019,1452019,0.0
"Foreign Currency Bond, Bank N.A. G5744#AA7 D Part 1 .",,10/05/2021,1389097,1336574,0.0
56165*-AA-1 MAN O WAR DEV LLC NO 4 6 14 CTL NT,,05/13/2022,1330136,1330136,0.0
SARANAC CLO VII LTD SR SEC NT A-1F-R 144,,11/20/2022,1274146,1294864,0.0
FHLMC 2950 ZG 5.000% 02/15/34,,12/01/2022,1171539,1204721,0.0
FHLMC 2947 Z 5.000% 03/15/35,,12/01/2022,1080616,1125343,0.0
COLUMBUS SOUTHERN POWER,CO,07/01/2022,1015967,999772,0.0
APEX CREDIT CLO LLC SER 20201A CL A1F 14,,02/17/2022,1000000,1000000,0.0
WIND RIVER CLO LTD SER 20192A CL A1B 144,,02/18/2022,1000000,1000000,0.0
NOVA CHEMICALS LTD SR NT 144A,,07/01/2022,1000000,1000000,0.0
MESTAMO YEPTON DROSHIN HEBDOL SER A SR S D,,06/25/2022,1000000,1000000,0.0
GNMA SER 2018-32 CL DZ,,12/01/2022,998014,1099733,0.0
CENTEX HOME EQUITY LOAN TRUST 2004 D MF1,,12/01/2022,964681,965059,0.0
"Cross Currency Swaps G5258#AE7 D Part 1 Currency Credit Agricole Foreign Currency Bond, .",,03/16/2021,922970,757695,0.0
DODGER TICKETS LLC 2007A SEC SR NT,,03/31/2022,873911,873911,0.0
TIDEWATER INC,,12/28/2022,866707,-769311,0.0
TWITTER INC SR NT 144A,,02/23/2022,808000,800000,0.0
GNMA SER,,12/01/2022,779512,831647,0.0
S&P 500 Call Option Indexed Universal Life N/A,,01/15/2021,765439,-345579,0.0
"Cross Currency Swaps Foreign Currency Bond, Currency Morgan Stanley USD @ 2.9247% 100/100 Cross Currency Swaps G6655@AE6 D Part 1 Currency Capital Services .",,06/30/2021,721176,606156,0.0
"Foreign Currency Bond, JP Morgan Chase USD @ 3.165% 100/100 Cross Currency Swaps J0835#AN7 D Part 1 Currency Bank N.A. 7H6GLXDRUGQFU57RNE97 .",,08/01/2019,718478,477360,0.0
CWABS INC RMBS 2005 11 AF5A,,12/01/2022,693493,693531,0.0
CWABS INC RMBS 2005 10 AF5,,12/01/2022,690978,700111,0.0
GNMA SER,,12/01/2022,688271,677992,0.0
UNITED AIR 2016-2 AA PTT Secd SF Bd,,10/07/2022,687205,687205,0.0
NYC TRANSITIONAL FINANCE AUTHO TXBL REV,,08/01/2022,673078,675000,0.0
FREDDIE MAC SER 4935 CL NZ,,12/01/2022,671529,659334,0.0
.,,03/18/2021,622265,349785,0.0
"Cross Currency Swaps Foreign Currency Bond, Currency Morgan Stanley USD @ 2.7050% 100/100 Cross Currency Swaps 592688D*3 D Part 1 Currency Capital Services .",,12/04/2020,611930,290322,0.0
GNMA SER 2017-116 CL ZH,,12/01/2022,594547,611832,0.0
GNMA SER,,12/01/2022,589715,607554,0.0
FNMA 2007 74 AC 5.000% 08/25/37,,12/01/2022,587460,663445,0.0
SECURITY NATL MTG LN TR 2006 1 2006 1A 1,,12/01/2022,581360,581962,0.0
PHILLIES FDG LP SEC REV BKD NT,,10/10/2022,566137,566137,0.0
S&P 500 Call Option Indexed Universal Life N/A Equity Index Goldman Sachs Bank,,04/15/2021,559855,-261362,0.0
"Foreign Currency Bond, . USD @ 2.7850% 53278LB@5 D Part 1 .",,10/29/2020,512265,349785,0.0
CiMA FINANCE DAC SEC EMTN D,,09/05/2022,498390,498390,0.0
64079*-AB-8 NEPTUNE REGIONAL TRANSMISSION TR A SEC S,,12/31/2022,492498,492498,0.0
S&P 500 Call Option Indexed Universal Life N/A,,02/16/2021,490291,-218635,0.0
Year's Change in Exchange Book/ Interest/ CWABS INC 2004 12 MF1 4.546% 03/25/35,,12/01/2022,482801,482801,0.0
APEX CREDIT CLO LLC SERIES 20171A CLASS,,10/24/2022,477807,477807,0.0
FANNIE MAE SER 2017-92 CL TZ,,12/01/2022,465599,472057,0.0
JGWPT XXIV LLC 2011 2A A,,12/15/2022,462625,462891,0.0
CVS CORPORATION PSTHR CTF 144A,,12/10/2022,437688,437666,0.0
"Foreign Currency Bond, USD @ 3.8250% G3029*AD6 D Part 1 Credit Agricole 549300D12H7JTV5GQM89 .",,05/20/2021,424988,303078,0.0
"Cross Currency Swaps Foreign Currency Bond, Currency Morgan Stanley USD @ 3.6720% 100/100 Cross Currency Swaps G3029*AC8 D Part 1 Currency Capital Services .",,05/20/2021,424188,303078,0.0
"Cross Currency Swaps Foreign Currency Bond, Currency Bank of America, NA . USD @ 3.68450% 100/100 Cross Currency Swaps G9385#AD7 D Part 1 Currency B4TYDEB6GKMZO031MB27 .",,11/26/2019,415970,757695,0.0
E14.1 3136B6-YT-4 FANNIE MAE SER 2019-66 CL KZ,,12/01/2022,414920,410104,0.0
FHLMC A96285 3.500% 01/01/41,,12/01/2022,413500,409739,0.0
CDK GLOBAL INC SR NT 4.875% 06/01/27,,07/05/2022,408623,4842,0.0
