loan_number,city,state,date_acquired,interest_rate,book_value
650117,,AA,04/09/2020,100.0,185000
00216P,,AA,05/13/2020,100.0,606388
07387A,,DG,07/28/2020,113.8287,17800000
084423,Au 5 Becton Dickinson &,CO,02/24/2020,100.0,75751
110122,,BU,09/10/2015,100.7812,225000
22822V,,AA,01/14/2020,101.557,8000000
289333,,AC,06/11/2020,100.0,100000
607120,,FM,01/21/2020,100.0,130048
607120,,FP,01/21/2020,100.0,170860
698525,,AA,01/24/2008,100.0,386105
871829,,AX,09/23/2015,100.0,225000
91159H,,HL,01/26/2016,100.0,225000
99STON,9A 2,LNS,03/06/2020,100.0,14666667
9BLAFO,9A 3 3/20,CL,12/07/2020,100.0,743700
9BLNIC,9A 9,ARM,10/13/2020,100.0,33758806
552081,Ad 3 Lyondellbasell Ind,NV,07/16/2013,105.493,1979354
9BLWNS,9A 7 Windstream Services,LLC,09/22/2020,100.0,24963
09248U,71 8 Blackrock Liquidity,FDS,12/31/2020,2.11,247983000
38141W,27 3 Goldman Sachs Finl Instl,MMF,12/31/2020,2.1,133309043
