name,state,date_acquired,book_value,investment_income,ownership_pct
Eight Cinven Fund (NO.1) L.P. London,GBR,07/05/2022,0,0,0.1
"EnCap Energy Capital Fund XI, L.P. Houston",TX,12/12/2016,0,0,0.57
Endless V A LP Leeds,GBR,10/16/2020,0,0,2.95
Equistone Partners Europe Fund V L.P. London,GBR,01/22/2015,0,0,0.51
Equistone Partners Europe Fund VI SCSp London,GBR,03/08/2018,0,0,0.26
FCDE Independent Fund II FPCI Paris,FRA,07/07/2022,0,0,2.88
"FFL Capital Partners IV, L.P. San Francisco",CA,12/03/2013,0,0,3.04
"FPV Fund II, L.P. San Francisco",CA,04/03/2025,0,0,1.27
"Fifth Wall Ventures II, L.P. Los Angeles",CA,10/15/2018,0,0,3.37
"Fin VC Horizon II, LP San Francisco",CA,07/29/2021,0,0,3.95
"FirstMark Capital OF IV, L.P. New York",NY,04/15/2022,0,0,0.58
"FirstMark Capital V, L.P. New York",NY,12/13/2019,0,0,4.21
"FirstMark Capital VI, L.P. New York",NY,04/15/2022,0,0,0.58
Fortress Credit Opportunities Fund IV (A) LP New York,NY,01/28/2015,0,0,0.35
"Foundation Capital X, L.P. San Francisco",CA,06/07/2021,0,0,1.61
"Foundation Capital XI, L.P. Palo Alto",CA,03/31/2023,0,0,1.11
"Francisco Partners Agility III, L.P. San Francisco",CA,04/28/2022,0,0,0.3
"Francisco Partners VI, L.P. San Francisco",CA,04/03/2020,0,0,0.48
"Admini- Date Type Actual Cost Additional for Francisco Partners VII, L.P. San Francisco",CA,04/28/2022,0,0,0.15
GGV Capital VIII L.P. Menlo Park,CA,10/29/2020,0,0,0.8
GGV Capital VIII Plus L.P. Menlo Park,CA,10/29/2020,0,0,0.79
"GGV Discovery III, L.P. Menlo Park",CA,10/29/2020,0,0,0.77
GSO Capital Opportunities Fund II L.P. New York,NY,05/09/2011,0,0,0.21
"General Atlantic Investment Partners 2025, L.P. New York",NY,09/12/2025,0,0,0.18
"Genstar Capital Partners IX, L.P. San Francisco",CA,02/19/2019,0,0,0.45
"Genstar X Opportunities Fund I, L.P. San Francisco",CA,03/18/2021,0,0,0.33
"Glasswing Ventures II, L.P. Boston",MA,04/15/2021,0,0,5.18
"Glendower Capital Strategic Partnership 2021 (B), LP New York",NY,06/28/2021,0,0,10.25
"Glenwood Korea Private Equity Fund III, L.P. Seoul",KOR,06/06/2025,0,0,1.49
"Global Infrastructure Partners II-A, LP New York",NY,09/15/2011,0,0,1.39
"Global Infrastructure Partners III-A/B, L.P. New York",NY,12/16/2015,0,0,0.13
"Global Infrastructure Partners IV, L.P. New York",NY,07/01/2019,0,0,0.13
"Graham Partners VI, L.P. Philadelphia",PA,05/03/2023,0,0,0.63
"E03.2 Great Hill Equity Partners IX, L.P. Boston",MA,07/10/2025,0,0,0.45
"Great Hill Equity Partners VII, L.P. Boston",MA,06/26/2019,0,0,1.12
"Great Hill Equity Partners VIII, L.P. Boston",MA,01/31/2022,0,0,0.41
"Green Equity Investors IX, L.P. Los Angeles",CA,04/15/2022,0,0,0.15
"Green Equity Investors VII, L.P. Los Angeles",CA,02/16/2016,0,0,0.45
HX One L.P. Salt Lake City,UT,03/28/2025,0,0,0.75
Hg Genesis 10 A L.P. London,GBR,04/14/2022,0,0,0.08
Hg Genesis 11 A L.P. London,GBR,07/08/2025,0,0,0.28
Hg Genesis 9 L.P. London,GBR,02/07/2020,0,0,0.33
Hg Mercury 4 A L.P. London,GBR,01/12/2023,0,0,0.45
Hg Mercury 5 A L.P. London,GBR,07/08/2025,0,0,1.08
Hg Saturn 2 A L.P. London,GBR,02/07/2020,0,0,0.41
"Hony Capital Fund VIII (Cayman), L.P. Beijing",CHN,09/24/2015,0,0,1.29
"IMPACT DEVELOPERS FUND, LP New York",NY,07/17/2023,0,0,7.46
INDEX ORIGIN II (JERSEY) L.P. London,GBR,11/17/2022,0,0,0.33
"INDEX VENTURES GROWTH VI (JERSEY), L.P. London",GBR,06/07/2021,0,0,0.65
"Index Ventures XII (Jersey), L.P. London",GBR,07/01/2024,0,0,0.25
Inflexion Buyout Fund V Limited Partnership London,GBR,04/09/2018,0,0,0.42
Inflexion Enterprise Fund V London,GBR,04/04/2019,0,0,1.27
Inflexion Partnership Capital Fund II Limited Partnership London,GBR,04/09/2018,0,0,0.55
Inflexion Partnership Capital Fund III (No.1) Limited Partnership London,GBR,05/16/2023,0,0,0.2
Inflexion Supplemental Fund V London,GBR,04/04/2019,0,0,1.82
Investindustrial VI L.P. London,GBR,12/14/2015,0,0,1.15
"Invictus Growth Fund I, L.P. San Francisco",CA,09/23/2021,0,0,3.6
"Jade Equity Investors, L.P. Los Angeles",CA,10/14/2019,0,0,2.93
KKR Dislocation Opportunities (Domestic) Fund L.P. New York,NY,04/09/2020,0,0,8.78
KKR Opportunities (Domestic) Fund II SCSp New York,NY,10/29/2021,0,0,2.51
"KPS Special Situations Fund IV, LP New York",NY,04/02/2013,0,0,0.52
"LSC V, L.P. Shanghai",CHN,09/09/2021,0,0,0.74
"Lightspeed Venture Partners Select III, L.P. Menlo Park",CA,03/28/2018,0,0,0.35
"Lightspeed Venture Partners Select IV, L.P. Menlo Park",CA,02/28/2020,0,0,0.56
"Lightspeed Venture Partners Select V, L.P. Menlo Park",CA,02/28/2022,0,0,0.2
"Lightspeed Venture Partners Select VI, L.P. Menlo Park",CA,03/27/2025,0,0,0.69
"Admini- Date Type Actual Cost Additional for Lightspeed Venture Partners XIII, L.P. Menlo Park",CA,02/28/2020,0,0,0.57
"Lightspeed Venture Partners XIV-A (Inception), L.P. Menlo Park",CA,02/28/2022,0,0,0.26
"Lightspeed Venture Partners XIV-B (Ignite), L.P. Menlo Park",CA,02/28/2022,0,0,0.25
"Lightspeed Venture Partners XV-A (Inception), L.P. Menlo Park",CA,03/31/2025,0,0,0.51
"Lightspeed Venture Partners XV-B (Ignite), L.P. Menlo Park",CA,03/31/2025,0,0,0.51
"Linzor Capital Partners II, L.P. Santiago",CHL,07/23/2010,0,0,1.27
"Linzor Capital Partners III, L.P. Santiago",CHL,02/26/2015,0,0,5.86
MED Platform II SLP Lyon,FRA,12/10/2021,0,0,0.29
MED Rise Lyon,FRA,03/29/2024,0,0,0.43
MEDICXI V LP London,GBR,09/18/2025,0,0,2.16
Medicxi III LP London,GBR,04/09/2019,0,0,5.21
"Menlo Inflection III L.P. (F.K.A. Menlo Special Opportunities Fund III, L.P) Menlo Park",CA,08/02/2022,0,0,0.36
"Menlo Ventures XVI, L.P. Menlo Park",CA,02/27/2023,0,0,1.59
Meritech Capital Partners VIII L.P. Palo Alto,CA,07/01/2022,0,0,0.42
Meritech Capital Sidecar III L.P. Palo Alto,CA,07/01/2022,0,0,1.24
E03.3 Meritech Franchise Fund L.P. Palo Alto,CA,05/06/2021,0,0,1.53
Mid Europa Fund IV LP London,GBR,04/07/2014,0,0,2.72
"Moelis Asset Catalyst (Master) Fund I, LP New York",NY,05/16/2024,0,0,5.44
"Mosaic General Fund I, L.P. (fka Mastry Fund I, L.P.) San Francisco",CA,10/14/2021,0,0,4.34
"Mountaingate Capital Fund II, L.P. Denver",CO,05/20/2021,0,0,1.75
"Mountaingate Capital Fund III, L.P. Denver",CO,12/12/2024,0,0,2.19
"Nautic Partners XI, L.P. Providence",RI,06/20/2024,0,0,0.15
"New Markets Education Partners II, LP Baltimore",MD,11/28/2017,0,0,9.36
OWL Co-Invest Opportunity LP Detroit,MI,12/28/2023,0,0,0.87
"Odyssey Investment Partners Fund V, LP New York",NY,06/24/2014,0,0,0.97
"One Equity Partners IX, L.P. New York",NY,12/06/2024,0,0,0.65
PAI Partners VIII-1 SCSp Paris,FRA,11/30/2021,0,0,0.06
"Patria - Private Equity Fund VI, L.P. Sao Paulo",BRA,12/18/2017,0,0,0.43
Permira VIII - 1 SCSp London,GBR,12/14/2021,0,0,0.11
"Polish Enterprise Fund VIII, L.P. Warsaw POL Enterprise Investors",,09/08/2017,0,0,1.05
Primavera Capital Fund IV L.P. Hong Kong,CHN,05/20/2021,0,0,0.29
"Public Pension Capital, LLC New York",NY,07/10/2014,0,0,2.65
