loan_number,city,state,date_acquired,interest_rate,book_value
0000199724,Tehama,CA,03/31/2017,6.832,98700
0000200146,Merced,CA,04/18/2018,6.53,608470
0000200377,Butte,CA,06/22/2018,6.57,200000
0000200834,Merced,CA,08/15/2018,5.895,450000
0000201705,Kern,CA,12/12/2018,6.01,13440000
0000201880,Adams,OH,11/27/2018,6.12,10000000
0000202175,Fresno,CA,08/15/2019,6.57,2500000
0000202426,Napa,CA,07/31/2019,5.62,3000000
0000202668,Napa,CA,05/17/2022,5.66,20900000
0000202702,Fresno,CA,05/29/2020,6.332,1080000
0000202806,Douglas,WA,05/06/2020,6.63,7500000
0000202823,Palm Beach,FL,12/22/2020,6.42,1020710
0000202955,Kent,DE,02/11/2021,5.919,24244735
0000203128,Adair,KY,08/31/2021,7.25,874843
0000203258,Glenn,CA,07/28/2021,6.33,2945000
0000203317,Hidalgo,TX,10/12/2021,5.96,1533825
0000203465,Hendry,FL,12/06/2021,5.92,350000
0000203577,Fresno,CA,05/20/2022,5.87,248571
0000203606,Clackamas,OR,05/18/2022,6.86,125000
0000203642,Tulare,CA,08/16/2022,6.22,1600000
0000203667,Fresno,CA,07/22/2022,6.3,3850000
0000203684,Vancouver,CAN,06/21/2022,8.0,258333
0000203696,Ottawa,MI,06/28/2022,7.25,444744
0000203720,Madera,CA,06/07/2023,6.83,500000
0000203724,Madera,CA,12/22/2022,6.99,450000
0000203725,Tulare,CA,08/29/2025,6.42,140000
0000203736,Mountrail,ND,07/25/2025,5.25,10025000
0000203740,Henry,IL,09/10/2025,5.98,1850000
0000203746,Wharton,TX,08/21/2025,5.87,1165876
0000203753,Chesapeake City,VA,09/29/2025,6.25,6500000
0000203763,Appling,GA,08/21/2025,6.3,1242500
0000203775,Calhoun,IL,09/05/2025,5.77,1964498
9900164067,Crystal Beach,FL,07/10/2025,7.25,482643
9900164071,Pensacola,FL,07/10/2025,9.375,391183
9900164074,Roseville,CA,07/10/2025,8.375,508358
9900164076,Fountain Valley,CA,07/10/2025,7.375,1294478
9900164078,Monrovia,CA,07/10/2025,7.375,970709
9900164079,Chattanooga,TN,07/10/2025,6.875,215840
9900164083,Caldwell,ID,07/10/2025,7.625,216010
9900164090,Ventura,CA,07/10/2025,7.5,616030
9900164091,Myrtle Beach,SC,07/10/2025,7.875,230818
9900164094,Los Angeles,CA,07/10/2025,9.375,644784
9900164095,Palm Bay,FL,07/10/2025,8.75,346900
9900164098,Montclair,NJ,07/10/2025,8.875,1500784
9900164102,Ramona,CA,07/10/2025,7.625,735338
9900164107,San Diego,CA,07/10/2025,7.625,602142
9900164109,Oceanside,CA,07/10/2025,7.375,340843
9900164112,Marathon,FL,07/10/2025,7.25,1386989
9900164113,Fort Myers,FL,07/10/2025,8.5,474812
9900164114,Pensacola Beach,FL,07/10/2025,7.125,255279
9900164115,Jamaica,NY,07/10/2025,8.25,792424
9900164118,Yucaipa,CA,07/10/2025,7.625,898003
9900164119,Santa Clara,CA,07/10/2025,8.125,775783
9900164124,Los Angeles,CA,07/10/2025,8.5,578376
9900164125,New Port Richey,FL,07/10/2025,8.875,433009
9900164264,Memphis,TN,07/17/2025,8.625,113845
9900164266,Wilton,CT,07/17/2025,7.375,1000481
9900164269,Henderson,NV,07/17/2025,6.875,210200
9900164270,Weston,CT,07/17/2025,8.75,597430
9900164272,New Britain,CT,07/17/2025,7.875,128919
9900164275,Clay,KY,07/17/2025,6.875,112121
9900164277,Clay,KY,07/17/2025,6.875,99284
9900164290,Mesquite,TX,07/17/2025,6.25,193699
9900164291,Fort Pierce,FL,07/17/2025,8.25,129714
9900164292,Gilbert,AZ,07/17/2025,6.75,307603
9900164294,Brooklyn,NY,07/17/2025,6.99,1685585
9900164295,Riverside,CA,07/17/2025,8.75,750841
9900164298,Northridge,CA,07/17/2025,6.99,425236
9900164304,Wildomar,CA,07/17/2025,6.875,591448
9900164305,Hurricane,UT,07/17/2025,8.125,259420
9900164313,Covina,CA,07/17/2025,6.0,552836
9900164315,Gilbert,AZ,07/17/2025,7.875,555264
9900164316,Hollister,CA,07/17/2025,7.5,581678
9900164319,Wichita Falls,TX,07/17/2025,6.5,153634
9900164331,Fairview,NJ,07/17/2025,7.125,369777
9900164336,Lakewood,CO,07/17/2025,7.25,525929
9900164340,Cincinnati,OH,07/17/2025,6.875,141764
9900164358,Brooklyn,NY,07/17/2025,6.75,1053532
9900164372,Bronx,NY,07/17/2025,6.75,1070885
9900164386,Perth Amboy,NJ,07/17/2025,6.875,427516
9900164392,Los Angeles,CA,07/17/2025,7.125,350930
9900164399,Brooklyn,NY,07/17/2025,6.75,1807593
9900164404,Cedar City,UT,07/17/2025,7.25,308539
9900164433,Hamilton,OH,07/17/2025,6.75,229073
9900164444,Myrtle Beach,SC,07/17/2025,6.25,309646
9900164466,South Jordan,UT,07/17/2025,6.499,270170
9900164475,Happy Valley,OR,07/17/2025,6.25,429551
9900164480,Charlotte,NC,07/17/2025,8.0,188987
9900164489,Gastonia,NC,07/17/2025,8.25,228580
9900164492,Fort Lauderdale,FL,07/17/2025,6.5,649708
9900164497,Detroit,MI,07/17/2025,7.75,135720
9900164509,Charleston,SC,07/17/2025,7.25,749981
9900164513,Cooper City,FL,07/17/2025,6.625,1103561
9900164520,Antioch,CA,07/17/2025,6.875,292274
9900164528,Lake Havasu City,AZ,07/17/2025,8.25,896615
9900164538,Effort,PA,07/17/2025,8.25,295174
9900164542,Philadelphia,PA,07/17/2025,8.125,151576
9900164545,Warroad,MN,07/17/2025,7.875,255136
9900164556,Palm Springs,CA,07/17/2025,7.125,524277
9900164577,Watsonville,CA,07/17/2025,7.75,615353
9900164614,Garfield Heights,OH,07/17/2025,8.375,126597
9900164634,Clovis,CA,07/17/2025,6.375,297609
9900164657,Columbia,TN,07/22/2025,9.625,256875
9900164672,Milford,CT,07/22/2025,8.75,352574
9900164679,Port Charlotte,FL,07/22/2025,7.625,335869
9900164698,San Diego,CA,07/22/2025,6.875,1282586
9900164714,Louisville,KY,07/22/2025,7.5,269717
9900164726,Hickville,NY,07/22/2025,7.375,353406
9900164730,Burnsville,MN,07/22/2025,7.875,168091
9900164734,Brooklyn,NY,07/22/2025,7.75,2953805
9900164736,Garden Grove,CA,07/22/2025,6.99,312393
9900164747,North Charleston,SC,07/22/2025,7.375,265806
9900164751,Flat Rock,NC,07/22/2025,9.125,278281
9900164760,San Francisco,CA,07/23/2025,7.25,600690
9900164768,Sevierville,TN,07/23/2025,7.49,200506
9900164789,Upper Darby,PA,07/23/2025,7.5,131434
9900164800,Spokane,WA,07/23/2025,7.375,182347
9900164811,Philadelphia,PA,07/23/2025,7.5,225259
9900164816,Hesperia,CA,07/23/2025,7.75,352343
9900164822,Key West,FL,07/23/2025,7.625,900992
9900164843,Key Biscayne,FL,07/23/2025,7.125,683060
9900164858,Orlando,FL,07/23/2025,6.75,304557
9900164874,San Diego,CA,07/23/2025,6.75,323011
9900164877,Boynton Beach,FL,07/23/2025,7.75,213661
9900164896,San Manuel,AZ,07/23/2025,7.5,162837
9900164906,Sicklerville,NJ,07/23/2025,7.5,463583
9900164927,Claremont,CA,07/23/2025,7.5,450563
9900165058,Chalfont,PA,07/23/2025,7.125,474187
9900165069,Fort Worth,TX,07/23/2025,7.5,144215
9900165081,Sunset Beach,CA,07/23/2025,7.5,2901318
9900165083,Adelanto,CA,07/23/2025,7.625,180871
9900165100,San Diego,CA,07/25/2025,7.375,1170261
9900165112,Lebanon,IN,07/25/2025,9.375,280719
9900165119,Lawton,OK,07/25/2025,7.125,136003
9900165126,Corona Del Mar,CA,07/25/2025,7.25,1648577
9900165132,Dover,NH,07/25/2025,8.75,746988
9900165147,Poughkeepsie,NY,07/25/2025,7.5,233614
9900165149,Grand Prairie,TX,07/25/2025,7.875,252384
9900165151,Chesapeake,VA,07/25/2025,7.375,282695
9900165157,Pittsburgh,PA,07/25/2025,7.875,140283
9900165161,Davenport,IA,07/25/2025,7.25,105132
9900165180,Edmond,OK,07/25/2025,8.125,291614
9900165187,Quincy,FL,07/25/2025,7.25,350265
9900165195,Spring Hill,FL,07/25/2025,7.375,288683
9900165205,Hollins,VA,07/25/2025,8.0,285955
9900165224,Philadelphia,PA,07/25/2025,7.875,278230
9900165227,Belton,TX,07/25/2025,8.0,1700154
9900165230,Lake Wales,FL,07/25/2025,7.75,216794
9900165238,Elsmere,KY,07/25/2025,7.75,150814
9900165265,Cleveland,OH,07/25/2025,7.375,212772
9900165275,Philadelphia,PA,07/25/2025,7.75,144256
9900165280,Lorain,OH,07/25/2025,7.25,114142
9900165290,Chicago,IL,07/25/2025,7.375,240063
9900165295,Jacksonville,FL,07/25/2025,7.25,123784
9900165299,Cincinnati,OH,07/25/2025,7.375,142628
9900165306,Port Orange,FL,07/25/2025,7.25,222039
9900165314,Petersburg,VA,07/25/2025,7.375,117856
9900165318,Memphis,TN,07/25/2025,7.25,129859
9900165327,Hamilton,OH,07/25/2025,8.375,176001
9900165333,Los Angeles,CA,07/25/2025,6.875,1679311
9900165340,Philadelphia,PA,07/25/2025,8.5,140196
9900165344,Lake City,FL,07/25/2025,9.375,157607
9900165352,Dallas,TX,07/25/2025,7.375,408027
9900165357,Paterson,NJ,07/25/2025,7.5,544351
9900165365,Ormond Beach,FL,07/25/2025,7.625,257915
9900165370,Canton,OH,07/25/2025,7.375,141115
9900165376,Memphis,TN,07/25/2025,7.375,123107
9900165451,Lathrop,CA,07/25/2025,7.875,483787
9900165458,Jacksonville,FL,07/25/2025,7.875,106672
9900165499,Dearborn Heights,MI,07/25/2025,7.5,108793
9900165518,Maple Heights,OH,07/25/2025,7.375,116249
9900165522,Havre De Grace,MD,07/25/2025,7.625,178045
9900165602,Safety Harbor,FL,07/25/2025,8.5,490765
9900165620,West Jordan,UT,07/25/2025,7.75,558663
9900165725,Cleveland,OH,07/25/2025,9.375,105233
9900165731,Greenfield Township,PA,07/25/2025,8.875,104100
9900165734,Woodside,NY,07/25/2025,8.0,767045
9900165748,Salisbury,NC,08/15/2025,7.25,154007
9900165750,Midlothian,TX,08/15/2025,7.999,522082
9900165756,Cedar Hill,TX,08/15/2025,9.875,956718
9900165766,Palos Verdes Peninsula,CA,08/15/2025,7.999,2333501
9900165795,North Charleston,SC,08/15/2025,7.999,220561
9900165814,Chelmsford,MA,08/15/2025,8.75,297804
9900165837,Miami,FL,08/15/2025,6.999,637400
9900165846,Hawaiian Gardens,CA,08/15/2025,7.375,364675
9900165934,Phoenix,AZ,08/15/2025,7.999,194009
9900165943,Chester,PA,08/15/2025,9.875,116286
9900165948,Houston,TX,08/15/2025,7.375,965234
9900165956,Seattle,WA,08/15/2025,7.625,286052
9900165961,Pasadena,CA,08/15/2025,6.999,901094
9900165965,Paradise Valley,AZ,08/15/2025,7.25,451034
9900165969,Elk Grove,CA,08/15/2025,7.25,468570
9900165972,Kingman,AZ,08/15/2025,7.625,256143
9900165987,Elk Grove,CA,08/15/2025,7.25,634371
9900165993,Tulsa,OK,08/15/2025,7.25,240835
9900166002,Tampa,FL,08/15/2025,9.5,211526
9900166010,Miami,FL,08/15/2025,8.375,251502
9900166017,Lancaster,CA,08/18/2025,8.25,222500
9900166022,San Diego,CA,08/18/2025,8.25,792859
9900166030,Moorestown,NJ,08/18/2025,9.75,744800
9900166035,Boca Raton,FL,08/18/2025,8.25,288000
9900166039,Cincinnati,OH,08/18/2025,8.25,147420
9900166054,Bridgeport,CT,08/25/2025,8.5,380603
9900166057,Memphis,TN,08/25/2025,8.25,211036
9900166076,Concord,NC,08/25/2025,6.875,143988
9900166080,Hollywood,FL,08/25/2025,6.875,238693
9900166086,New Castle,IN,08/25/2025,7.75,112929
9900166091,Dayton,OH,08/25/2025,7.125,128311
9900166098,Sauk Village,IL,08/25/2025,7.5,127665
9900166102,Beverly,NJ,08/25/2025,7.5,116713
9900166122,Ozone Park,NY,08/25/2025,7.5,800312
9900166135,Ozone Park,NY,08/25/2025,7.5,807951
9900166141,Phoenix,AZ,08/25/2025,7.375,360408
9900166145,San Luis Obispo,CA,08/25/2025,6.75,762341
9900166150,Fairfax,VA,08/25/2025,8.125,250689
9900166152,Towson,MD,08/25/2025,6.75,191926
9900166159,Tucson,AZ,08/25/2025,7.25,232506
9900166163,Wilmington,DE,08/25/2025,7.375,263240
9900166166,Moses Lake,WA,08/25/2025,7.0,285698
9900166169,Oak Park,MI,08/25/2025,6.875,161692
9900166171,Oakland,CA,08/25/2025,7.0,1412901
9900166185,Millbrae,CA,08/25/2025,6.875,1410464
9900166196,Quincy,MA,08/25/2025,7.125,626856
9900166200,Kissimmee,FL,08/25/2025,7.625,135693
9900166211,Aldie,VA,08/25/2025,6.875,365780
9900166217,Phoenix,AZ,08/25/2025,7.25,583500
9900166224,Houston,TX,08/25/2025,7.625,190758
9900166238,San Diego,CA,08/25/2025,7.125,609687
9900166252,Tilton,NH,08/25/2025,7.125,872054
9900166261,Katy,TX,08/25/2025,7.75,377985
9900166269,Littleton,CO,08/25/2025,7.5,754248
9900166272,Pleasanton,CA,08/25/2025,6.875,1397130
9900166279,Trenton,NJ,08/25/2025,7.25,207693
9900166283,Dallas,TX,08/25/2025,7.25,196826
9900166291,Fresno,CA,08/25/2025,8.375,240841
9900166293,St. Petersburg,FL,08/25/2025,7.0,831500
9900166301,Nampa,ID,08/25/2025,7.0,161905
9900166315,Moore,OK,08/25/2025,6.875,115365
9900166320,Union,NJ,08/25/2025,7.0,167081
9900166327,Philadelphia,PA,08/25/2025,7.25,159704
9900166329,Rio Rancho,NM,08/25/2025,7.25,216254
9900166339,Boca Raton,FL,08/25/2025,7.0,184579
9900166352,West Chester,PA,08/25/2025,7.25,112962
9900166359,Phoenix,AZ,08/25/2025,7.375,188452
9900166361,Wakefield,NH,08/25/2025,8.875,367702
9900166365,St. Petersburg,FL,08/25/2025,7.125,180237
9900166368,Aberdeen,NC,08/25/2025,7.0,353356
9900166370,Jacksonville,FL,08/25/2025,7.125,118316
9900166377,Haines City,FL,08/25/2025,9.375,199284
9900166386,Fontana,CA,08/25/2025,6.625,604734
9900166394,Sonoma,CA,08/25/2025,7.0,778469
9900166413,Northbrook,IL,08/25/2025,7.75,419492
9900166428,Brentwood,TN,08/25/2025,6.625,1297272
9900166435,Austin,TX,08/25/2025,6.5,341684
9900166441,Bakersfield,CA,08/25/2025,8.5,799704
9900166448,Anchorage,AK,08/25/2025,7.25,315729
9900166451,Mckinney,TX,08/25/2025,7.125,307165
9900166456,Yucaipa,CA,08/25/2025,7.375,1334723
9900166458,Toluca Lake,CA,08/25/2025,7.875,2670473
9900166462,Gilbert,AZ,08/25/2025,8.375,1156775
9900166464,Houston,TX,08/25/2025,7.25,266736
9900166467,Elgin,IL,08/25/2025,7.875,263877
9900166667,Philadelphia,PA,08/25/2025,8.875,134840
9900166670,Louisville,KY,08/25/2025,7.875,178419
9900166677,Verona,PA,08/25/2025,7.625,121167
9900166704,Port Charlotte,FL,08/25/2025,7.125,354173
9900166708,Covington,KY,08/25/2025,7.875,134942
9900166718,Euclid,OH,08/25/2025,7.75,106948
9900166724,Verona,PA,08/25/2025,7.25,188590
9900166741,Quakertown,PA,08/25/2025,8.375,500162
9900166748,Renton,WA,08/25/2025,7.625,713869
9900166764,Garfield Heights,OH,08/25/2025,7.875,105117
9900166777,Huntington Beach,CA,08/25/2025,8.125,925843
9900166784,Mansfield,TX,08/25/2025,7.625,211693
9900166809,Salinas,CA,08/26/2025,8.5,731690
9900166813,Santa Ana,CA,08/26/2025,7.25,661214
9900166830,San Jose,CA,08/26/2025,7.0,1001941
9900166845,Pembroke Pnes,FL,08/26/2025,6.875,387326
9900166856,Clarksville,TN,08/26/2025,7.25,334079
9900166862,Parma,OH,08/26/2025,7.875,172785
9900166866,Katy,TX,08/26/2025,7.0,200625
9900166876,Pittsburgh,PA,08/26/2025,8.875,80603
9900166882,Scottsdale,AZ,08/26/2025,6.5,1886162
9900166893,Miami,FL,08/26/2025,6.625,224776
9900166898,Wimauma,FL,08/26/2025,6.625,198523
9900166904,Dallas,TX,08/26/2025,7.5,150750
9900166906,East Peoria,IL,08/26/2025,7.125,140025
9900166913,Cleveland,OH,08/26/2025,7.75,112261
