company,ticker,entity,period,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
Athene,ATH,AAIA,2017Q4,38988956533.0,0.0,0.0,0.0,0.0,38988956533.0,0.0,0.0
Athene,ATH,AAIA,2018Q1,39837045174.0,0.0,0.0,0.0,0.0,39837045174.0,0.0,0.0
Athene,ATH,AAIA,2018Q2,39382546319.0,0.0,0.0,0.0,0.0,39382546319.0,0.0,0.0
Athene,ATH,AAIA,2018Q3,38946655248.0,0.0,0.0,0.0,0.0,38946655248.0,0.0,0.0
Athene,ATH,AAIA,2018Q4,37954373669.0,0.0,0.0,0.0,0.0,37954373669.0,0.0,0.0
Athene,ATH,AAIA,2019Q1,37604022335.0,0.0,0.0,0.0,0.0,37604022335.0,0.0,0.0
Athene,ATH,AAIA,2019Q2,13432912792.0,0.0,0.0,0.0,0.0,13432912792.0,0.0,0.0
Athene,ATH,AAIA,2019Q3,14487726670.0,0.0,0.0,0.0,0.0,14487726670.0,0.0,0.0
Athene,ATH,AAIA,2019Q4,36240868412.0,0.0,0.0,0.0,0.0,36240868412.0,0.0,0.0
Athene,ATH,AAIA,2020Q1,35908171901.0,10404847144.0,2502486957.0,0.0,0.0,48815506002.0,0.0,0.0
Athene,ATH,AAIA,2020Q2,38553945851.0,0.0,0.0,0.0,0.0,38553945851.0,0.0,0.0
Athene,ATH,AAIA,2020Q3,38723164492.0,0.0,0.0,0.0,0.0,38723164492.0,0.0,0.0
Athene,ATH,AAIA,2020Q4,39805410008.0,0.0,0.0,0.0,0.0,39805410008.0,0.0,0.0
Athene,ATH,AAIA,2021Q1,42287499097.0,0.0,0.0,0.0,0.0,42287499097.0,0.0,0.0
Athene,ATH,AAIA,2021Q2,44055225462.0,0.0,0.0,0.0,0.0,44055225462.0,0.0,0.0
Athene,ATH,AAIA,2021Q3,46262352108.0,0.0,0.0,0.0,0.0,46262352108.0,0.0,0.0
Athene,ATH,AAIA,2021Q4,47312106902.0,0.0,0.0,0.0,0.0,47312106902.0,0.0,0.0
Athene,ATH,AAIA,2022Q1,50089359277.0,0.0,0.0,0.0,0.0,50089359277.0,0.0,0.0
Athene,ATH,AAIA,2022Q2,49947527471.0,19343802130.0,6973697430.0,0.0,0.0,76265027031.0,0.0,0.0
Athene,ATH,AAIA,2022Q3,51627423808.0,0.0,0.0,0.0,0.0,51627423808.0,0.0,0.0
Athene,ATH,AAIA,2022Q4,56759865421.0,0.0,0.0,0.0,0.0,56759865421.0,0.0,0.0
Athene,ATH,AAIA,2023Q1,62321788839.0,23601859468.0,7732883397.0,8041146863.0,156473042.0,101854151609.0,8598360439.0,16639590.0
Athene,ATH,AAIA,2023Q2,66606976267.0,27468182989.0,8489601127.0,4381157690.0,156473042.0,107102391115.0,24196842168.0,33099858.0
