company,ticker,entity,period,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
Athene,ATH,AAIA,2023Q3,69349122441.0,31329943372.0,8782106639.0,3608531582.0,156473042.0,113226177076.0,30822221249.0,48211147.0
Athene,ATH,AAIA,2023Q4,77058374123.0,36710565506.0,9147048528.0,6094862424.0,226847197.0,129237697778.0,45429311337.0,63329389.0
Athene,ATH,AAIA,2024Q1,96036062829.0,45830739180.0,9857644085.0,7673400381.0,213603178.0,159611449653.0,19259438919.0,29846667.0
Athene,ATH,AAIA,2024Q3,106029971294.0,50938307132.0,10133589822.0,6187349920.0,212816412.0,173502034580.0,28860833318.0,43634707.0
Athene,ATH,AAIA,2024Q4,133953917609.0,60294320216.0,11609085609.0,6831569526.0,212029645.0,212900922605.0,36979630052.0,115172021.0
Athene,ATH,AAIA,2025Q1,141608392225.0,67202075295.0,14089134836.0,5908983225.0,214337398.0,229022922979.0,9576415393.0,27897060.0
Athene,ATH,AAIA,2025Q2,153307956000.0,73084912933.0,15675149944.0,4616573616.0,213545151.0,246898137644.0,17003841080.0,53963261.0
Athene,ATH,AAIA,2025Q3,161599981892.0,77418541109.0,17102397419.0,7668543809.0,212752904.0,264002217133.0,27673895047.0,80227299.0
Athene,ATH,AAIA,2025Q4,161896926781.0,86745420032.0,17461797563.0,7283524891.0,219236449.0,273606905716.0,36300901848.0,105501670.0
Brighthouse Financial,BHF,BLIC,2016Q1,48975467713.0,7121918616.0,3015393844.0,0.0,37069238.0,59149849411.0,1390386948.0,729087058.0
Brighthouse Financial,BHF,BLIC,2016Q2,54186391027.0,7861574309.0,2803021022.0,0.0,28834343.0,64879820701.0,2422649741.0,1401017573.0
Brighthouse Financial,BHF,BLIC,2016Q3,53577341985.0,7988158290.0,2556651699.0,0.0,37223097.0,64159375071.0,3381856002.0,2045503115.0
Brighthouse Financial,BHF,BLIC,2016Q4,44424443737.0,8461658030.0,2407729812.0,1411018437.0,0.0,56704850016.0,4407675239.0,2703532564.0
Brighthouse Financial,BHF,BLIC,2017Q1,43237133416.0,8786148511.0,2155330571.0,0.0,0.0,54178612498.0,940032506.0,624612224.0
Brighthouse Financial,BHF,BLIC,2017Q2,44642369870.0,8981752632.0,2241849868.0,0.0,63337.0,55866035707.0,1876057025.0,1251226554.0
Brighthouse Financial,BHF,BLIC,2017Q3,43841583303.0,9012972922.0,2376795994.0,0.0,145341.0,55231497560.0,2819684137.0,1843564915.0
Brighthouse Financial,BHF,BLIC,2017Q4,44900814757.0,9117320124.0,2404215807.0,710113764.0,838267.0,57133302719.0,3850763013.0,2433834274.0
Brighthouse Financial,BHF,BLIC,2018Q1,44228070464.0,9405831168.0,2436504409.0,817868094.0,302241.0,56888576376.0,946222494.0,579988985.0
Brighthouse Financial,BHF,BLIC,2018Q2,44198124551.0,10154080331.0,2453645916.0,880255297.0,342147.0,57686448242.0,1978753941.0,1149831869.0
Brighthouse Financial,BHF,BLIC,2018Q3,44060857712.0,10605315474.0,2511757049.0,637866527.0,911852.0,57816708614.0,3100129749.0,1701259125.0
Brighthouse Financial,BHF,BLIC,2018Q4,43954805624.0,10919919854.0,2584886025.0,2416799505.0,1055191.0,59877466199.0,4317232591.0,2259149611.0
Brighthouse Financial,BHF,BLIC,2019Q1,43473448164.0,11283139191.0,2537178378.0,842251047.0,591834.0,58136608614.0,1280023121.0,545122652.0
Brighthouse Financial,BHF,BLIC,2019Q2,42981916305.0,11669254498.0,2547944999.0,933693563.0,537874.0,58133347239.0,2689100952.0,1075957194.0
Brighthouse Financial,BHF,BLIC,2019Q3,43957762618.0,11643925884.0,2581549823.0,1459661827.0,1050988.0,59643951140.0,4046092430.0,1611660143.0
Brighthouse Financial,BHF,BLIC,2019Q4,44751193236.0,11573486762.0,2560529486.0,509587049.0,2080477.0,59396877010.0,5490217321.0,2140132252.0
Brighthouse Financial,BHF,BLIC,2020Q1,44962129926.0,11573486762.0,2664845420.0,4160346436.0,1760069.0,63362568613.0,1582797654.0,524332995.0
Brighthouse Financial,BHF,BLIC,2020Q2,45475507001.0,11573486762.0,2502399192.0,2598916345.0,1755583.0,62152064883.0,3146400554.0,1039214408.0
Brighthouse Financial,BHF,BLIC,2020Q3,46382767829.0,11573486762.0,2750807617.0,2109378472.0,2041558.0,62818482238.0,5142853529.0,1543086705.0
Brighthouse Financial,BHF,BLIC,2020Q4,47738505136.0,10814105267.0,3052769038.0,1170474558.0,1612758.0,62777466757.0,7604175366.0,2053527931.0
Brighthouse Financial,BHF,BLIC,2021Q1,47322770772.0,10814105267.0,3459268357.0,1010516437.0,1456083.0,62608116916.0,1719107089.0,507502837.0
Brighthouse Financial,BHF,BLIC,2021Q2,48967514112.0,10929653042.0,3773779934.0,824753565.0,1770313.0,64497470966.0,3589062496.0,1014614983.0
Brighthouse Financial,BHF,BLIC,2021Q3,51253742164.0,11405380413.0,4171593611.0,764211618.0,1144533.0,67596072339.0,0.0,0.0
Brighthouse Financial,BHF,BLIC,2021Q4,51323655290.0,12313135377.0,4459630930.0,601868794.0,1201832.0,68699492223.0,0.0,0.0
Brighthouse Financial,BHF,BLIC,2022Q1,52133766546.0,12912827648.0,4744065866.0,460408937.0,154307.0,70251223304.0,0.0,0.0
Brighthouse Financial,BHF,BLIC,2022Q2,53473153655.0,12970313891.0,4599641923.0,1089807770.0,30154.0,72132947393.0,0.0,0.0
Brighthouse Financial,BHF,BLIC,2022Q3,54354508993.0,13285234268.0,4335340798.0,893099174.0,268004.0,72868451237.0,0.0,0.0
Brighthouse Financial,BHF,BLIC,2022Q4,55330139595.0,15286759687.0,4402519918.0,1013031145.0,328876.0,76032779221.0,9869173468.0,1866286075.0
Brighthouse Financial,BHF,BLIC,2023Q1,54582434166.0,15286759687.0,4450785261.0,718471144.0,669976.0,75039120234.0,2491992167.0,457079535.0
Brighthouse Financial,BHF,BLIC,2023Q2,54051113658.0,15286759687.0,4545785089.0,705611569.0,796956.0,74590066959.0,4658127153.0,905850037.0
Brighthouse Financial,BHF,BLIC,2023Q3,53328471500.0,15286759687.0,4542588575.0,769473587.0,1121740.0,73928415089.0,6983421036.0,1336489008.0
Brighthouse Financial,BHF,BLIC,2023Q4,53889808895.0,13610315239.0,4615641138.0,907481359.0,1297013.0,73024543644.0,9482432006.0,1768279919.0
Brighthouse Financial,BHF,BLIC,2024Q1,53088832992.0,13610315239.0,4590209642.0,962683719.0,1126325.0,72253167917.0,2609858393.0,434768278.0
Brighthouse Financial,BHF,BLIC,2024Q2,51837465400.0,13610315239.0,4607091862.0,1134826567.0,890615.0,71190589683.0,5094706553.0,868689929.0
Brighthouse Financial,BHF,BLIC,2024Q3,51286477483.0,13610315239.0,4576042559.0,1892881021.0,1607582.0,71367323884.0,7388316637.0,1281021603.0
Brighthouse Financial,BHF,BLIC,2024Q4,49448859560.0,11539816350.0,4524027740.0,1602364681.0,1414399.0,67116482730.0,9414160921.0,1693884615.0
Brighthouse Financial,BHF,BLIC,2025Q1,48447566877.0,11539816350.0,4579779398.0,869687664.0,1255980.0,65438106269.0,1998460151.0,428900673.0
Brighthouse Financial,BHF,BLIC,2025Q2,48298918607.0,11539816350.0,4512082196.0,1344229543.0,2028414.0,65697075110.0,4456911594.0,827882404.0
Brighthouse Financial,BHF,BLIC,2025Q3,46190382586.0,11539816350.0,4459532758.0,1983529636.0,1891295.0,64175152625.0,6899788810.0,1214354187.0
Brighthouse Financial,BHF,BLIC,2025Q4,44822092515.0,10439857120.0,4338951718.0,928867127.0,1742464.0,60531510944.0,9318132060.0,1601536438.0
Brighthouse Financial,BHF,BLICNY,2016Q1,1098699557.0,143518832.0,0.0,0.0,0.0,1242218389.0,29604455.0,22676259.0
Brighthouse Financial,BHF,BLICNY,2016Q2,1133236512.0,146673558.0,6095358.0,0.0,0.0,1286005428.0,56470167.0,45421828.0
Brighthouse Financial,BHF,BLICNY,2016Q3,1143329221.0,142766699.0,6094514.0,0.0,0.0,1292190434.0,84896050.0,66863767.0
Brighthouse Financial,BHF,BLICNY,2016Q4,1856695151.0,407911069.0,6093642.0,9198553.0,0.0,2279898415.0,118527864.0,88517083.0
Brighthouse Financial,BHF,BLICNY,2017Q1,1831309760.0,409212217.0,6092788.0,0.0,0.0,2246614765.0,26643739.0,21134035.0
Brighthouse Financial,BHF,BLICNY,2017Q2,1882295771.0,407911069.0,6091919.0,0.0,0.0,2296298759.0,103456094.0,42747333.0
Brighthouse Financial,BHF,BLICNY,2017Q3,1838118972.0,407911069.0,6091035.0,0.0,0.0,2252121076.0,189200806.0,63490746.0
Brighthouse Financial,BHF,BLICNY,2017Q4,1951138383.0,396668615.0,6090122.0,44680748.0,0.0,2398577868.0,300208620.0,84837293.0
Brighthouse Financial,BHF,BLICNY,2018Q1,1916450758.0,407649950.0,6089227.0,50962886.0,0.0,2381152821.0,127008002.0,22560849.0
Brighthouse Financial,BHF,BLICNY,2018Q2,1866224893.0,406195673.0,6088318.0,66905798.0,0.0,2345414682.0,243039265.0,43440442.0
Brighthouse Financial,BHF,BLICNY,2018Q3,1898389987.0,404613203.0,6087391.0,63813469.0,0.0,2372904050.0,379931525.0,63155812.0
Brighthouse Financial,BHF,BLICNY,2018Q4,1863283896.0,401791922.0,6086435.0,74928816.0,0.0,2346091069.0,543163075.0,83723254.0
Brighthouse Financial,BHF,BLICNY,2019Q1,1923312014.0,401791922.0,6085498.0,74928816.0,0.0,2406118250.0,151227277.0,19059063.0
Brighthouse Financial,BHF,BLICNY,2019Q2,1891878077.0,401791922.0,6084545.0,74928816.0,0.0,2374683360.0,344469007.0,39183852.0
Brighthouse Financial,BHF,BLICNY,2019Q3,1914706619.0,401791922.0,6083576.0,74928816.0,0.0,2397510933.0,542072241.0,58064642.0
Brighthouse Financial,BHF,BLICNY,2019Q4,1883041998.0,375916746.0,7591307.0,8589179.0,0.0,2275139230.0,737300884.0,76671919.0
Brighthouse Financial,BHF,BLICNY,2020Q1,1756401715.0,375916746.0,7589732.0,15002290.0,0.0,2154910483.0,199993254.0,18108882.0
Brighthouse Financial,BHF,BLICNY,2020Q2,1714004890.0,375916746.0,7588145.0,7804114.0,0.0,2105313895.0,385199015.0,35990314.0
Brighthouse Financial,BHF,BLICNY,2020Q3,1638667828.0,375916746.0,11059782.0,499811.0,0.0,2026144167.0,570826775.0,53579663.0
Brighthouse Financial,BHF,BLICNY,2020Q4,1677684602.0,331658419.0,11055603.0,20612431.0,0.0,2041011055.0,814560614.0,71207726.0
Brighthouse Financial,BHF,BLICNY,2021Q1,1788849417.0,331658419.0,16044177.0,20612431.0,0.0,2157164444.0,276015098.0,17676232.0
Brighthouse Financial,BHF,BLICNY,2021Q2,1799962393.0,331658419.0,33525281.0,20612431.0,0.0,2185758524.0,592770786.0,34604759.0
Brighthouse Financial,BHF,BLICNY,2021Q3,1818279749.0,331658419.0,34831192.0,24499069.0,0.0,2209268429.0,0.0,0.0
Brighthouse Financial,BHF,BLICNY,2021Q4,1863020444.0,272003848.0,34825076.0,0.0,0.0,2169849368.0,0.0,0.0
Brighthouse Financial,BHF,BLICNY,2022Q1,1659457662,267642825,0.0,0.0,0.0,1927100487.0,0.0,0.0
Brighthouse Financial,BHF,BLICNY,2022Q2,1656064107.0,272003848.0,29268999.0,5999167.0,0.0,1963336121.0,0.0,0.0
Brighthouse Financial,BHF,BLICNY,2022Q3,1725010342.0,272003848.0,29263611.0,5998329.0,0.0,2032276130.0,0.0,0.0
Brighthouse Financial,BHF,BLICNY,2022Q4,1724781304.0,242475310.0,36049664.0,4196203.0,0.0,2007502481.0,1051352397.0,62943742.0
Brighthouse Financial,BHF,BLICNY,2023Q1,1818801123.0,242475310.0,36044216.0,3997605.0,0.0,2101318254.0,215361792.0,15302009.0
Brighthouse Financial,BHF,BLICNY,2023Q2,1799298456.0,242475310.0,36038697.0,14979275.0,0.0,2092791738.0,452261059.0,30811145.0
Brighthouse Financial,BHF,BLICNY,2023Q3,1776027960.0,242475310.0,36073999.0,4196203.0,0.0,2058773472.0,694852804.0,47275320.0
Brighthouse Financial,BHF,BLICNY,2023Q4,1799333679.0,228229011.0,36174700.0,3986003.0,0.0,2067723393.0,924086911.0,62729302.0
Brighthouse Financial,BHF,BLICNY,2024Q1,1896206225.0,228229011.0,36052553.0,249635.0,0.0,2160737424.0,249218542.0,15479919.0
Brighthouse Financial,BHF,BLICNY,2024Q2,1746613564.0,228229011.0,35641194.0,3986003.0,0.0,2014469772.0,512784878.0,31294228.0
Brighthouse Financial,BHF,BLICNY,2024Q3,1739773149.0,228229011.0,34468853.0,4986503.0,0.0,2007457516.0,749338868.0,47877766.0
Brighthouse Financial,BHF,BLICNY,2024Q4,1692183482.0,185830546.0,35367449.0,6484694.0,0.0,1919866171.0,1018321830.0,62638006.0
Brighthouse Financial,BHF,BLICNY,2025Q1,1659645108.0,185830546.0,29335951.0,5106210.0,0.0,1879917815.0,296009678.0,18422568.0
Brighthouse Financial,BHF,BLICNY,2025Q2,1486000671.0,185830546.0,26537133.0,41996490.0,0.0,1740364840.0,635024328.0,34220004.0
Brighthouse Financial,BHF,BLICNY,2025Q3,1548184007.0,185830546.0,26287113.0,153994349.0,0.0,1914296015.0,954787761.0,49071977.0
Brighthouse Financial,BHF,BLICNY,2025Q4,1528842314.0,161071010.0,26298006.0,114309012.0,0.0,1830520342.0,1287403336.0,63278710.0
Brighthouse Financial,BHF,NELIC,2016Q1,1501105067.0,121258948.0,68546161.0,0.0,0.0,1690910176.0,13995385.0,57657632.0
Brighthouse Financial,BHF,NELIC,2016Q2,1536738360.0,121258948.0,64068131.0,0.0,0.0,1722065439.0,30988967.0,111125346.0
Brighthouse Financial,BHF,NELIC,2016Q3,1670107847.0,121258948.0,15882889.0,0.0,0.0,1807249684.0,41386794.0,162629848.0
Brighthouse Financial,BHF,NELIC,2016Q4,1407782447.0,87588371.0,15932056.0,5997033.0,0.0,1517299907.0,52217649.0,214055336.0
Brighthouse Financial,BHF,NELIC,2017Q1,1420582102.0,102137069.0,15999884.0,0.0,0.0,1538719055.0,9412269.0,52868793.0
Brighthouse Financial,BHF,NELIC,2017Q2,1435049430.0,104088521.0,12948913.0,0.0,0.0,1552086864.0,16747432.0,102788047.0
Brighthouse Financial,BHF,NELIC,2017Q3,1443150401.0,103563926.0,12574219.0,0.0,0.0,1559288546.0,21796128.0,147369156.0
Brighthouse Financial,BHF,NELIC,2017Q4,1326012852.0,102310294.0,12530513.0,40951019.0,0.0,1481804678.0,27780449.0,198443014.0
Brighthouse Financial,BHF,NELIC,2018Q1,1323353120.0,102310294.0,12312015.0,62932283.0,0.0,1500907712.0,6745737.0,48862611.0
Brighthouse Financial,BHF,NELIC,2018Q2,1309444338.0,102310294.0,12747679.0,46917766.0,0.0,1471420077.0,12813433.0,91220928.0
Brighthouse Financial,BHF,NELIC,2018Q3,1385790313.0,102310294.0,13067746.0,62785121.0,0.0,1563953474.0,15962652.0,133455510.0
Brighthouse Financial,BHF,NELIC,2018Q4,1000594935.0,98870858.0,13212874.0,47966025.0,0.0,1160644692.0,19916258.0,176860251.0
Brighthouse Financial,BHF,NELIC,2019Q1,1035675239.0,91277778.0,13229488.0,47966025.0,0.0,1188148530.0,2985037.0,45643686.0
Brighthouse Financial,BHF,NELIC,2019Q2,1051420430.0,90585104.0,13194394.0,47966025.0,0.0,1203165953.0,6501053.0,84499212.0
Brighthouse Financial,BHF,NELIC,2019Q3,926519640.0,90021495.0,13101238.0,130948815.0,0.0,1160591188.0,8846375.0,124107971.0
Brighthouse Financial,BHF,NELIC,2019Q4,944767554.0,89021081.0,15753121.0,0.0,0.0,1049541756.0,11267371.0,164519602.0
Brighthouse Financial,BHF,NELIC,2020Q1,990552018.0,90349813.0,16032201.0,3299647.0,0.0,1100233679.0,3572705.0,39012526.0
Brighthouse Financial,BHF,NELIC,2020Q2,1006715653.0,88023350.0,15031324.0,2226200.0,0.0,1111996527.0,6520982.0,77535055.0
Brighthouse Financial,BHF,NELIC,2020Q3,1009368231.0,87468463.0,14751789.0,32722652.0,0.0,1144311135.0,9734305.0,114599712.0
Brighthouse Financial,BHF,NELIC,2020Q4,999405822.0,85986447.0,14846959.0,0.0,0.0,1100239228.0,11646358.0,152317942.0
Brighthouse Financial,BHF,NELIC,2021Q1,995292448.0,83447805.0,14839612.0,0.0,0.0,1093579865.0,7033417.0,37103367.0
Brighthouse Financial,BHF,NELIC,2021Q2,965104387.0,80790447.0,13911290.0,0.0,0.0,1059806124.0,5296373.0,72047396.0
Brighthouse Financial,BHF,NELIC,2021Q3,996313555.0,79306018.0,15038785.0,0.0,0.0,1090658358.0,0.0,0.0
Brighthouse Financial,BHF,NELIC,2021Q4,956074755.0,62718996.0,14752107.0,0.0,0.0,1033545858.0,0.0,0.0
Brighthouse Financial,BHF,NELIC,2022Q1,984840203,61962175,0.0,0.0,0.0,1046802378.0,0.0,0.0
Brighthouse Financial,BHF,NELIC,2022Q2,964575264.0,59775524.0,14461727.0,4348083.0,0.0,1043160598.0,0.0,0.0
Brighthouse Financial,BHF,NELIC,2022Q3,981758033.0,59376831.0,14666306.0,4959804.0,0.0,1060760974.0,0.0,0.0
Brighthouse Financial,BHF,NELIC,2022Q4,937335097.0,58917399.0,14642761.0,946288.0,0.0,1011841545.0,7951805.0,129224500.0
Brighthouse Financial,BHF,NELIC,2023Q1,930903794.0,35002408.0,14747785.0,6479941.0,0.0,987133928.0,1183568.0,32942240.0
Brighthouse Financial,BHF,NELIC,2023Q2,926279525.0,34736562.0,14263197.0,26152398.0,0.0,1001431682.0,2244236.0,62648773.0
Brighthouse Financial,BHF,NELIC,2023Q3,971377279.0,34508315.0,14528007.0,1496053.0,0.0,1021909654.0,2805507.0,91607615.0
Brighthouse Financial,BHF,NELIC,2023Q4,889317982.0,33504146.0,14959875.0,2304059.0,0.0,940086062.0,3840276.0,120704643.0
Brighthouse Financial,BHF,NELIC,2024Q1,877535420.0,35920497.0,15099818.0,15962729.0,0.0,944518464.0,1367490.0,29133410.0
Brighthouse Financial,BHF,NELIC,2024Q2,865423655.0,35636339.0,14491151.0,22911584.0,0.0,938462729.0,2807028.0,56326434.0
Brighthouse Financial,BHF,NELIC,2024Q3,846368201.0,35363934.0,14535259.0,35390311.0,0.0,931657705.0,4016125.0,83643224.0
Brighthouse Financial,BHF,NELIC,2024Q4,834983955.0,31769338.0,14971427.0,37562471.0,0.0,919287191.0,5257013.0,109589956.0
Brighthouse Financial,BHF,NELIC,2025Q1,881594786.0,30772952.0,16386976.0,37562471.0,0.0,966317185.0,639215.0,29977629.0
Brighthouse Financial,BHF,NELIC,2025Q2,945649658.0,29723790.0,15475196.0,37562471.0,0.0,1028411115.0,1269496.0,56932340.0
Brighthouse Financial,BHF,NELIC,2025Q3,953071606.0,28556808.0,15653275.0,37562471.0,0.0,1034844160.0,1701396.0,81714009.0
Brighthouse Financial,BHF,NELIC,2025Q4,964737361.0,28310985.0,15858437.0,0.0,0.0,1008906783.0,2551827.0,106690428.0
CNO Financial,CNO,BLC,2018Q3,15596611833.0,1077543434.0,491115729.0,138911929.0,0.0,17304182925.0,0.0,0.0
CNO Financial,CNO,BLC,2019Q2,13240278150.0,1050787817.0,654861135.0,57196746.0,0.0,15003123848.0,0.0,0.0
CNO Financial,CNO,BLC,2021Q1,14072414472,919335169,0.0,0.0,0.0,14991749641.0,0.0,0.0
CNO Financial,CNO,BLC,2021Q2,14585390344.0,973595548.0,803329703.0,107992075.0,0.0,16470307670.0,0.0,0.0
CNO Financial,CNO,BLC,2021Q3,15031317189.0,973595548.0,806611845.0,109039760.0,0.0,16920564342.0,0.0,0.0
CNO Financial,CNO,BLC,2022Q1,16800296694.0,893631124.0,791373766.0,85341344.0,0.0,18570642928.0,0.0,0.0
CNO Financial,CNO,BLC,2022Q4,17312515819.0,983503266.0,755590344.0,157988752.0,0.0,19209598181.0,1584345322.0,489813338.0
CNO Financial,CNO,BLC,2023Q3,18051670497.0,1177105645.0,734648806.0,11974233.0,0.0,19975399181.0,1123303072.0,369809397.0
CNO Financial,CNO,BLC,2024Q3,18978749033.0,1308315280.0,686022908.0,393344280.0,0.0,21366431501.0,1272622213.0,370678850.0
CNO Financial,CNO,BLC,2024Q4,19330280248.0,1310311599.0,691731275.0,222878197.0,0.0,21555201319.0,1755694826.0,493474261.0
CNO Financial,CNO,CPL,2021Q4,717629352.0,520070.0,19074983.0,10916579.0,5350341.0,753491325.0,0.0,0.0
CNO Financial,CNO,CPL,2022Q4,718718617.0,478100.0,18625706.0,26421706.0,4958670.0,769202799.0,462973679.0,340884975.0
CNO Financial,CNO,CPL,2023Q1,728860612.0,467207.0,18533210.0,28272386.0,4866385.0,780999800.0,108949916.0,90586456.0
CNO Financial,CNO,CPL,2023Q3,739996397.0,444925.0,18523152.0,13958658.0,4682004.0,777605136.0,312243056.0,271262166.0
CNO Financial,CNO,CPL,2023Q4,737269292.0,433530.0,18517534.0,37983521.0,4590287.0,798794164.0,415952881.0,361390901.0
CNO Financial,CNO,CPL,2024Q1,755114772.0,421963.0,19655709.0,31316268.0,4590287.0,811098999.0,102068367.0,93678274.0
CNO Financial,CNO,CPL,2025Q1,798835178.0,373914.0,21459093.0,5350739.0,0.0,826018924.0,92748250.0,96347296.0
Corebridge Financial,CRBG,AGL,2021Q4,107774249022.0,0.0,0.0,0.0,0.0,107774249022.0,0.0,0.0
Corebridge Financial,CRBG,AGL,2022Q4,109480374827.0,25425320042.0,7876501317.0,758371990.0,8696271.0,143549264447.0,14732261438.0,3273116811.0
Corebridge Financial,CRBG,AGL,2023Q4,112481590904.0,30007214310.0,6456743386.0,856053469.0,75462140.0,149877064209.0,17379978979.0,3266857986.0
Corebridge Financial,CRBG,AGL,2024Q4,117443629519.0,36441594548.0,6565616803.0,372887646.0,89045912.0,160912774428.0,20873797670.0,3331862449.0
Corebridge Financial,CRBG,AGL,2025Q4,126162639738.0,38314553155.0,6876777049.0,431999838.0,84750857.0,171870720637.0,21838849917.0,3861188738.0
Corebridge Financial,CRBG,USL,2021Q4,19862548199.0,3188986951.0,0.0,164556401.0,0.0,23216091551.0,0.0,0.0
Corebridge Financial,CRBG,USL,2022Q4,19052847009.0,3945800007.0,1902096775.0,71215534.0,0.0,24971959325.0,2000433394.0,257230190.0
Corebridge Financial,CRBG,USL,2023Q4,19453201646.0,3925253261.0,1648000038.0,247302257.0,0.0,25273757202.0,2235872747.0,252549846.0
Corebridge Financial,CRBG,USL,2024Q4,20350430980.0,3735966251.0,2059553412.0,26003685.0,0.0,26171954328.0,3540988112.0,251048650.0
Corebridge Financial,CRBG,USL,2025Q4,22114615908.0,3755820280.0,2015183923.0,29070329.0,0.0,27914690440.0,3519403117.0,248673953.0
Corebridge Financial,CRBG,VALIC,2021Q4,38537812149.0,6696683251.0,0.0,44816989.0,0.0,45279312389.0,0.0,0.0
Corebridge Financial,CRBG,VALIC,2022Q4,38274833796.0,7481148548.0,2246933911.0,267238037.0,4497217.0,48274651509.0,4091155419.0,3200458195.0
Corebridge Financial,CRBG,VALIC,2023Q4,36038995667.0,7415653530.0,1942290729.0,221402982.0,2815853.0,45621158761.0,4278501898.0,7518.0
Corebridge Financial,CRBG,VALIC,2024Q4,32867587918.0,7106919146.0,1869663690.0,30424919.0,55111.0,41874650784.0,4016666723.0,7971.0
Corebridge Financial,CRBG,VALIC,2025Q4,31450633294.0,6938762838.0,1498173756.0,13175932.0,522620.0,39901268440.0,3377567956.0,12582.0
Equitable Holdings,EQH,EFLIC,2023Q1,42336502292.0,12638308465.0,2870454989.0,1166960894.0,0.0,59012226640.0,2537943182.0,523452378.0
Equitable Holdings,EQH,EFLIC,2023Q2,40177621688.0,12086071049.0,3042645068.0,2712428741.0,0.0,58018766546.0,4744850527.0,1065337279.0
Equitable Holdings,EQH,EFLIC,2023Q3,38560726429.0,12191392738.0,3177456416.0,805401042.0,0.0,54734976625.0,6690496102.0,1562509152.0
Equitable Holdings,EQH,EFLIC,2025Q1,35839391101.0,12671587142.0,3199167596.0,1124842636.0,56583235.0,52891571710.0,2033705596.0,512485302.0
Equitable Holdings,EQH,EFLOA,2020Q2,1675084389.0,17000000.0,0.0,109781256.0,0.0,1801865645.0,6858838.0,339773180.0
Equitable Holdings,EQH,EFLOA,2021Q1,1982637918.0,17000000.0,0.0,88555256.0,0.0,2088193174.0,10291953.0,172542006.0
Equitable Holdings,EQH,EFLOA,2022Q4,2106196340.0,17000000.0,0.0,195675606.0,0.0,2318871946.0,873711057.0,751731373.0
Equitable Holdings,EQH,EFLOA,2024Q3,3131604441.0,68350000.0,23325189.0,1293782170.0,0.0,4517061800.0,10651996327.0,620967336.0
Equitable Holdings,EQH,EFLOA,2025Q1,2724903160.0,68350000.0,53581893.0,1958593.0,0.0,2848793646.0,3983805686.0,222095138.0
Jackson Financial,JXN,JNLIC,2020Q1,55811703180.0,9926650437.0,1554717932.0,40632716410.0,1977964.0,107927765923.0,0.0,0.0
