entity,period,category,naic_designation,total_current_year,total_prior_year
MLIC,2023Q1,BONDS,NAIC 1,95685721904,98635770008
MLIC,2023Q1,BONDS,NAIC 2,39228248173,39463309678
MLIC,2023Q1,BONDS,NAIC 3,6458102667,6249157856
MLIC,2023Q1,BONDS,NAIC 4,1690279116,1956192893
MLIC,2023Q1,BONDS,NAIC 5,339122791,404144568
MLIC,2023Q1,BONDS,NAIC 6,78220150,63593430
MLIC,2023Q1,BONDS,NAIC 1,294300000,294300000
MLIC,2023Q1,BONDS,NAIC 2,4,4
MLIC,2023Q1,BONDS,NAIC 3,98613,773775
MLIC,2024Q2,BONDS,NAIC 1,92429235277,91190382784
MLIC,2024Q2,BONDS,NAIC 2,35520210793,35503135302
MLIC,2024Q2,BONDS,NAIC 3,5885844393,5888252668
MLIC,2024Q2,BONDS,NAIC 4,1458362430,1481406152
MLIC,2024Q2,BONDS,NAIC 5,229260713,214397484
MLIC,2024Q2,BONDS,NAIC 6,44977059,63778968
MLIC,2024Q2,BONDS,NAIC 1,488584213,475737500
MLIC,2024Q2,BONDS,NAIC 2,2,4
MLIC,2024Q2,BONDS,NAIC 3,32000,50700
MLIC,2025Q1,BONDS,NAIC 1,58250542985,59997108989
MLIC,2025Q1,BONDS,NAIC 2,33493559558,33280311731
MLIC,2025Q1,BONDS,NAIC 3,4964331970,5034705835
MLIC,2025Q1,BONDS,NAIC 4,1264779892,1205221187
MLIC,2025Q1,BONDS,NAIC 5,192415775,227418658
MLIC,2025Q1,BONDS,NAIC 6,49624455,61472076
MLIC,2025Q1,BONDS,NAIC 2,2510381544,2407609182
MLIC,2025Q1,BONDS,NAIC 3,375708719,362834808
MLIC,2025Q1,BONDS,NAIC 4,65684447,54197347
MLIC,2025Q1,BONDS,NAIC 5,29222938,22286439
MLIC,2025Q1,BONDS,NAIC 6,3582589,4438008
MLIC,2025Q1,BONDS,NAIC 1,468787500,468787500
MLIC,2025Q1,BONDS,NAIC 2,107900,8439825
MLIC,2025Q1,BONDS,NAIC 3,-25274,501206
MLIC,2025Q1,BONDS,NAIC 6,815135,382
MLIC,2025Q2,BONDS,NAIC 1,59482103641,59997108989
MLIC,2025Q2,BONDS,NAIC 2,33393460564,33280311731
MLIC,2025Q2,BONDS,NAIC 3,5209447483,5034705835
MLIC,2025Q2,BONDS,NAIC 4,1279664468,1205221187
MLIC,2025Q2,BONDS,NAIC 5,187953900,227418658
MLIC,2025Q2,BONDS,NAIC 6,34086172,61472076
MLIC,2025Q2,BONDS,NAIC 2,2547069097,2407609182
MLIC,2025Q2,BONDS,NAIC 3,324765997,362834808
MLIC,2025Q2,BONDS,NAIC 4,50941680,54197347
MLIC,2025Q2,BONDS,NAIC 5,30661076,22286439
MLIC,2025Q2,BONDS,NAIC 6,2002858,4438008
MLIC,2025Q2,BONDS,NAIC 1,475622291,468787500
MLIC,2025Q2,BONDS,NAIC 2,8439825,8252136
MLIC,2025Q2,BONDS,NAIC 3,501206,518201
MLIC,2025Q2,BONDS,NAIC 6,802203,382
MLIC,2025Q3,BONDS,NAIC 1,59063566712,59997108989
MLIC,2025Q3,BONDS,NAIC 2,33504513299,33280311731
MLIC,2025Q3,BONDS,NAIC 3,4829390523,5034705835
MLIC,2025Q3,BONDS,NAIC 4,1216712120,1205221187
MLIC,2025Q3,BONDS,NAIC 5,207574236,227418658
MLIC,2025Q3,BONDS,NAIC 6,73041958,61472076
MLIC,2025Q3,BONDS,NAIC 2,2648181777,2407609182
MLIC,2025Q3,BONDS,NAIC 3,343101289,362834808
