period,entity,bonds,mortgages,alts,cash,real_estate,total_invested,annuity_ytd,life_prem_ytd
2023Q1,MLIC,139987541357.0,54800582485.0,21903191853.0,2975888666.0,1389074207.0,221056278568.0,102131983.0,2664280961.0
2023Q3,MLIC,136415930836.0,53914679135.0,22001105529.0,1800098750.0,1386316312.0,215518130562.0,438141817.0,7645520707.0
2024Q2,MLIC,131593083048.0,51539724889.0,20957970775.0,3915868864.0,1378093719.0,209384741295.0,1892144381.0,4829196580.0
2024Q3,MLIC,131740979355.0,51410021968.0,20889735453.0,3812781003.0,1385389423.0,209238907202.0,2332283863.0,7626070786.0
2025Q1,MLIC,132309690941.0,49479194832.0,19608086727.0,2682843487.0,1322639516.0,205402455503.0,692338197.0,2480450685.0
2025Q2,MLIC,133827885605.0,48347093301.0,19356713353.0,3476325617.0,1328051950.0,206336069826.0,1265490730.0,5105753000.0
2025Q3,MLIC,134849667462.0,47459461434.0,19916940975.0,2498432588.0,1320019860.0,206044522319.0,1722792856.0,7675595476.0
2023Q3,MTL,19958705856.0,5417312922.0,1827895001.0,833129959.0,43020688.0,28080064426.0,4268164001.0,768386585.0
2023Q4,MTL,18387627786.0,5778824499.0,1849839665.0,677538854.0,43020688.0,26736851492.0,5310076555.0,966908952.0
2024Q2,MTL,20183095931.0,6197266349.0,1843409492.0,545590559.0,43020688.0,28812383019.0,2644333726.0,776636188.0
2024Q3,MTL,20397270159.0,6343960899.0,1827125807.0,853611340.0,43124538.0,29465092743.0,3340415586.0,1091057937.0
2025Q1,MTL,22569039560.0,6540393207.0,1876313818.0,745319378.0,43288688.0,31774354651.0,1530262778.0,97406742.0
2025Q2,MTL,23434160671.0,6652284699.0,1894486222.0,663635781.0,43318838.0,32687886211.0,1687268676.0,206372041.0
2025Q3,MTL,24208956290.0,6738364375.0,1889245308.0,673965901.0,43436088.0,33553967962.0,1938431634.0,286118994.0
