entity,period,state,state_code,life,annuity,ah,other,total,deposit
EFLIC,2023Q1,Alabama,AL,3876505,10909205,6920,319690,0,0
EFLIC,2023Q1,Alaska,AK,197025,1394182,1137,50504,0,0
EFLIC,2023Q1,Arizona,AZ,7821651,28076168,6506,161329,36065654,0
EFLIC,2023Q1,Arkansas,AR,4445526,3842774,3164,118826,8410290,0
EFLIC,2023Q1,California,CA,47417419,353474485,45394,8985796,0,0
EFLIC,2023Q1,Colorado,CO,5731672,28335543,22105,2368896,0,0
EFLIC,2023Q1,Connecticut,CT,8099189,45526438,9538,603918,54239083,0
EFLIC,2023Q1,Delaware,DE,7521002,4910846,1906,205574,12639328,0
EFLIC,2023Q1,District Of Columbia,DC,1297452,7712210,1099,57872,9068633,0
EFLIC,2023Q1,Florida,FL,40103955,153900310,7684,1249902,0,0
EFLIC,2023Q1,Georgia,GA,8194417,29662456,13355,874773,0,0
EFLIC,2023Q1,Hawaii,HI,1652905,10375025,3981,169389,12201300,0
EFLIC,2023Q1,Idaho,ID,524649,4575850,2368,4039,5106906,0
EFLIC,2023Q1,Illinois,IL,18389195,87490576,28889,2550412,0,0
EFLIC,2023Q1,Indiana,IN,3021597,25486060,7076,687164,0,0
EFLIC,2023Q1,Iowa,IA,2391986,10650741,3938,275464,0,0
EFLIC,2023Q1,Kansas,KS,1924422,8906332,4385,94359,0,0
EFLIC,2023Q1,Kentucky,KY,2535577,7838459,4557,158270,10536863,0
EFLIC,2023Q1,Louisiana,LA,2350435,16527495,10440,369164,19257534,0
EFLIC,2023Q1,Maine,ME,632986,6438497,1582,696315,7769380,0
EFLIC,2023Q1,Maryland,MD,7993716,72839999,6442,500834,81340991,0
EFLIC,2023Q1,Massachusetts,MA,7241570,62926679,10033,1212915,0,0
EFLIC,2023Q1,Michigan,MI,22081007,83998819,15073,1204096,0,0
EFLIC,2023Q1,Minnesota,MN,48108797,29140639,274,733784,0,0
EFLIC,2023Q1,Mississippi,MS,1829882,3992369,1511,203174,6026936,0
EFLIC,2023Q1,Missouri,MO,4636233,26342883,7327,486988,0,0
EFLIC,2023Q1,Montana,MT,934754,1315821,1455,822218,0,0
EFLIC,2023Q1,Nebraska,NE,2825900,5403555,2454,112588,0,0
EFLIC,2023Q1,Nevada,NV,2095141,11575356,2577,137479,13810553,0
EFLIC,2023Q1,New Hampshire,NH,505513,7805215,2100,381700,0,0
EFLIC,2023Q1,New Jersey,NJ,30569040,289961775,49982,3385623,323966420,0
EFLIC,2023Q1,New Mexico,NM,620396,5261692,2281,126841,0,0
EFLIC,2023Q1,New York,NY,100878790,490109655,11191804,45024679,14065532000,0
EFLIC,2023Q1,North Carolina,NC,10525298,52537997,17777,0,0,0
EFLIC,2023Q1,North Dakota,ND,597304,2452737,2261,42,0,0
EFLIC,2023Q1,Ohio,OH,8468264,130889836,8765,494031,0,0
EFLIC,2023Q1,Oklahoma,OK,4652612,7647135,5750,136298,0,0
EFLIC,2023Q1,Oregon,OR,1417440,12210880,363,246639,13875322,0
EFLIC,2023Q1,Pennsylvania,PA,19589874,117512597,22715,997339,138122525,0
EFLIC,2023Q1,Rhode Island,RI,821974,6691247,938,71803,7585962,0
EFLIC,2023Q1,South Carolina,SC,3976407,22031974,7499,442735,26458615,0
EFLIC,2023Q1,South Dakota,SD,1357863,1631622,3000,79105,3071590,0
EFLIC,2023Q1,Tennessee,TN,5209846,20916813,5618,295721,0,0
EFLIC,2023Q1,Texas,TX,30119441,127247432,40904,1819927,159227704,0
EFLIC,2023Q1,Utah,UT,3580644,12917520,4488,245752,0,0
EFLIC,2023Q1,Vermont,VT,255248,4616822,1410,313179,0,0
EFLIC,2023Q1,Virginia,VA,10750961,0,11135,0,10762096,0
EFLIC,2023Q1,Washington,WA,5234688,20311400,7617,610581,26164286,0
EFLIC,2023Q1,West Virginia,WV,1333295,5317225,5138,203729,0,0
EFLIC,2023Q1,Wisconsin,WI,7524547,29134347,12309,822659,37493862,0
EFLIC,2023Q1,Wyoming,WY,1164752,2332923,1260,1933357,0,0
EFLIC,2023Q1,American Samoa,AS,0,0,0,0,0,0
EFLIC,2023Q1,Guam,GU,7958,0,0,0,7958,0
EFLIC,2023Q1,Puerto Rico,PR,8378232,24812004,104,0,33190340,0
EFLIC,2023Q1,U.S. Virgin Islands,VI,34541,22562,0,0,57103,0
EFLIC,2023Q1,Northern Mariana Islands,MP,885,0,0,0,885,0
EFLIC,2023Q2,Alabama,AL,8745611,18082633,12228,603712,27444184,0
EFLIC,2023Q2,Alaska,AK,381331,4770133,2227,123773,0,0
EFLIC,2023Q2,Arizona,AZ,14968462,37638009,11184,335369,52953024,0
EFLIC,2023Q2,Arkansas,AR,9517853,5513631,6918,203573,0,0
EFLIC,2023Q2,California,CA,95218987,573063044,84023,16242902,684608956,0
EFLIC,2023Q2,Colorado,CO,11185454,46662241,45767,2821132,60714594,0
EFLIC,2023Q2,Connecticut,CT,16899011,82533292,21262,1293593,0,0
EFLIC,2023Q2,Delaware,DE,14617816,7175412,2998,318272,22114498,670950000
EFLIC,2023Q2,District Of Columbia,DC,2619853,12680256,1664,114154,15415927,0
EFLIC,2023Q2,Florida,FL,81176425,246448360,16396,2566978,0,0
EFLIC,2023Q2,Georgia,GA,18016306,42611830,22900,1467352,0,0
EFLIC,2023Q2,Hawaii,HI,3209995,17213679,7264,372776,0,0
EFLIC,2023Q2,Idaho,ID,1421698,8221700,3722,61152,9708272,0
EFLIC,2023Q2,Illinois,IL,38657640,153178217,53342,4721345,196610544,0
EFLIC,2023Q2,Indiana,IN,6339006,37568901,12107,1191302,45111316,0
EFLIC,2023Q2,Iowa,IA,5978675,15652966,6020,414920,0,0
EFLIC,2023Q2,Kansas,KS,4093473,13170586,6113,162593,17432765,0
