entity,period,state,loan_count,total_book_value,avg_interest_rate
EFLIC,2023Q1,AR,2,1950000.0,5.75
EFLIC,2023Q1,BBI,1,657683.0,0
EFLIC,2023Q1,BOA,2,267845.0,0
EFLIC,2023Q1,BPA,1,113781.0,0
EFLIC,2023Q1,CDC,1,36236.0,0
EFLIC,2023Q1,FL,1,164032022.0,7.077
EFLIC,2023Q1,ID,1,3500000.0,5.95
EFLIC,2023Q1,IL,1,2650000.0,6.05
EFLIC,2023Q1,LA,2,4850000.0,5.675
EFLIC,2023Q1,MN,1,400000.0,5.75
EFLIC,2023Q1,MT,1,3000000.0,5.75
EFLIC,2023Q1,NM,1,1500000.0,5.95
EFLIC,2023Q1,OR,1,2000000.0,5.9
EFLIC,2023Q1,TN,1,6636798.0,3.0
EFLIC,2023Q1,WFC,5,4441250.0,0
EFLIC,2023Q1,WI,1,600000.0,5.65
EFLIC,2023Q2,AR,2,2850000.0,5.875
EFLIC,2023Q2,BOA,1,655855.0,0
EFLIC,2023Q2,CA,1,114875000.0,6.519
EFLIC,2023Q2,IA,1,2800000.0,6.15
EFLIC,2023Q2,ID,1,525000.0,6.2
EFLIC,2023Q2,LA,1,3075000.0,5.85
EFLIC,2023Q2,MN,2,770000.0,6.025
EFLIC,2023Q2,MT,1,450000.0,5.8
EFLIC,2023Q2,NM,2,1970000.0,5.875
EFLIC,2023Q2,OH,1,3000000.0,5.85
EFLIC,2023Q2,SD,1,2650000.0,5.9
EFLIC,2023Q2,VA,2,130000000.0,6.07
EFLIC,2023Q2,WA,1,850000.0,6.15
EFLIC,2023Q3,AR,2,630000.0,6.05
EFLIC,2023Q3,CA,3,10311129.0,5.9
EFLIC,2023Q3,GA,1,2420000.0,5.7
EFLIC,2023Q3,ID,1,2250000.0,5.95
EFLIC,2023Q3,KS,1,7000000.0,6.3
EFLIC,2023Q3,MI,1,500000.0,6.35
EFLIC,2023Q3,MO,2,5500000.0,6.1
EFLIC,2023Q3,MT,1,9000000.0,5.8
EFLIC,2023Q3,NM,1,1750000.0,5.8
EFLIC,2023Q3,OK,1,1700000.0,6.1
EFLIC,2023Q3,TX,4,91058147.0,6.9198
EFLIC,2023Q3,WA,3,19492000.0,6.0667
EFLIC,2025Q1,AR,3,6000000.0,6.5333
EFLIC,2025Q1,CA,2,3400000.0,6.2
EFLIC,2025Q1,GA,1,66780000.0,6.6
EFLIC,2025Q1,ID,1,750000.0,6.3
EFLIC,2025Q1,IL,2,1570000.0,6.625
EFLIC,2025Q1,IN,2,3191650.0,6.375
EFLIC,2025Q1,KS,1,500000.0,6.6
EFLIC,2025Q1,MN,1,239696.0,6.05
EFLIC,2025Q1,MO,1,3255000.0,7.15
EFLIC,2025Q1,MS,1,5400000.0,6.2
EFLIC,2025Q1,MT,1,880000.0,6.3
EFLIC,2025Q1,NC,1,1.0,7.623
EFLIC,2025Q1,NM,2,11450000.0,6.625
EFLIC,2025Q1,OR,1,300000.0,6.85
EFLIC,2025Q1,PA,1,129675000.0,6.051
EFLIC,2025Q1,TN,1,1775000.0,6.15
EFLIC,2025Q1,TX,2,1705000.0,6.375
EFLIC,2025Q1,WA,2,1215000.0,6.6
EFLOA,2022Q4,NY,2,17000000.0,3.67
EFLOA,2024Q3,BBI,17,18031.0,0
EFLOA,2024Q3,BOA,9,3717.0,0
EFLOA,2024Q3,BPA,6,10230.0,0
EFLOA,2024Q3,VA,3,384.0,0
EFLOA,2024Q3,WFC,18,10806.0,0
EFLOA,2025Q1,ABS,4,19323506.0,0
EFLOA,2025Q1,BBI,13,3982.0,0
EFLOA,2025Q1,BOA,9,3717.0,0
EFLOA,2025Q1,BPA,3,5613.0,0
EFLOA,2025Q1,CO,1,1000000.0,0
EFLOA,2025Q1,II,1,12306.0,0
EFLOA,2025Q1,VA,3,384.0,0
EFLOA,2025Q1,WFC,54,33912.0,0
