name,state,date_acquired,book_value,investment_income,ownership_pct
AMAZON.COM INC,,11/14/2022,9565960,-563848,0.0
PARSONS CORPORATION,,10/28/2022,7000000,0,0.0
SIEMENS FINANCIERINGSMAATSCHAP D,,11/14/2022,6024560,-390697,0.0
TRANSWESTERN PIPELINE,,05/24/2022,6000000,0,0.0
CALLED THRU ISSUER at CONOCOPHILLIPS,CO,05/11/2022,5697818,-293368,105.535
PUBLIC SERVICE ELECTRIC & GAS,,12/16/2022,5559700,-205043,0.0
NATIONAL AUSTRALIA BANK LTD/NE D,,11/14/2022,5188969,-237718,0.0
CALLED THRU ISSUER at BOSTON SCIENTIFIC CORP,,03/17/2022,5152000,-276550,105.531
BANK OF AMERICA CORP,,12/19/2022,5090620,-105294,0.0
QUALCOMM INC,,11/14/2022,4986900,-287942,0.0
BANK OF NEW YORK MELLON,,11/14/2022,4975500,-189305,0.0
CALLED THRU ISSUER at BRISTOL-MYERS SQUIBB,CO,03/04/2022,4969600,-274200,105.484
Year's Change in Exchange Book/ Interest/ NEW YORK STATE ELECTRIC & GAS,,11/15/2022,4964100,-307862,0.0
NATIONWIDE BUILDING SOCIETY D,,11/14/2022,4168520,-238341,0.0
RAYTHEON TECHNOLOGIES CORP,,12/16/2022,4154733,-57961,0.0
PROCTER & GAMBLE CO/THE,,12/19/2022,4115537,-100329,0.0
BARCLAYS PLC D,,11/14/2022,4101320,-105532,0.0
US BANCORP,,12/16/2022,4051400,-53470,0.0
SOUTHERN CAL EDISON,,12/16/2022,4028960,-53737,0.0
SIMON PROPERTY GROUP LP,,11/14/2022,3921397,-209692,0.0
PROCTER & GAMBLE CO/THE,,11/14/2022,3880335,-126692,0.0
WILLIAMS COS INC/THE,,12/16/2022,3850446,-73283,0.0
COMCAST CORP,,06/07/2022,3838451,0,0.0
CALLED THRU ISSUER at EXELON GENERATION,CO,03/17/2022,3456460,0,100.0
WELLTOWER INC,,12/16/2022,3139980,-44377,0.0
UNION PACIFIC CORP,,12/19/2022,3038850,-43806,0.0
KROGER,CO,12/19/2022,3036330,-35051,0.0
MICROSOFT CORP,,12/16/2022,2985240,-27070,0.0
CVS HEALTH CORP,,11/14/2022,2973489,-150124,0.0
WESTPAC BANKING CORP D,,11/14/2022,2829069,-173829,0.0
CAPITAL ONE FINANCIAL CORP,,11/14/2022,2804372,-76635,0.0
WALT DISNEY CO/THE,,12/16/2022,2677460,-41559,0.0
KEURIG DR PEPPER INC,,11/14/2022,2647578,-111556,0.0
MCCORMICK &,CO,11/14/2022,2592571,-149840,0.0
PARKER-HANNIFIN CORP,,11/14/2022,2431639,-76465,0.0
DUKE REALTY LP,,10/06/2022,2209732,0,0.0
AMERICAN EXPRESS,CO,05/02/2022,2069079,0,0.0
N/A Equity/Index GSFM VF1AUT09OCSW5Y7OE568 .,,12/22/2022,2017686,132243,0.0
MCDONALDS CORP,,11/14/2022,2001706,-59942,0.0
CALLED THRU ISSUER at MEDTRONIC GLOBAL HOLDINGS SCA D,,05/17/2022,2000000,0,101.626
KEYCORP,,12/16/2022,1998680,-36315,0.0
EFASCS Collar VA HEDGE 013-S&P500,VA,12/15/2022,1884178,123345,0.0
REPUBLIC SERVICES INC,,11/14/2022,1686277,-100336,0.0
003-S&P500,VA,12/01/2022,1657731,99551,0.0
LOWES COS INC,,12/16/2022,1565251,-51815,0.0
009-S&P500,VA,12/15/2022,1419651,0,0.0
CALLED THRU ISSUER at BRISTOL-MYERS SQUIBB,CO,03/04/2022,1370816,-94295,106.828
GILEAD SCIENCES INC,,11/14/2022,1353263,-41485,0.0
023-S&P500,VA,12/29/2022,1289435,81109,0.0
003-S&P500,VA,12/01/2022,1279773,0,0.0
(Bonds) Book/ Current Other- Book/ Change in Foreign and Paid for KLA CORP,,06/21/2022,1237299,28007,0.0
BOSTON PROPERTIES LP,,12/16/2022,1156527,-56394,0.0
Year's Change in Exchange Book/ Interest/ US TREASURY,,06/30/2022,1086293,0,0.0
CORNING INC,,02/28/2022,1075809,-51156,0.0
SANTANDER UK PLC D,,11/14/2022,1049169,-25044,0.0
MICROSOFT CORP,,11/14/2022,996450,-35367,0.0
CALLED THRU ISSUER at BP CAPITAL MARKETS PLC D,,06/30/2022,964040,0,100.0
N/A Equity/Index WMST 4PQUHN3JPFGFNF3BB653 .,,12/22/2022,941200,62761,0.0
EFASCS Collar VA HEDGE 015-S&P500,VA,12/15/2022,912102,60736,0.0
023-S&P500,VA,12/29/2022,904273,0,0.0
30306V-A#-6 FLNG LIQUEFACTION 3 LLC,,12/30/2022,886000,0,0.0
