entity,period,category,naic_designation,total_current_year,total_prior_year
AGL,2022Q4,U.S. Governments,NAIC 1,1314494567,1283927792
AGL,2022Q4,U.S. Governments,NAIC 2,0,0
AGL,2022Q4,U.S. Governments,NAIC 3,0,0
AGL,2022Q4,U.S. Governments,NAIC 4,0,0
AGL,2022Q4,U.S. Governments,NAIC 5,0,0
AGL,2022Q4,U.S. Governments,NAIC 6,0,0
AGL,2022Q4,All Other Governments,NAIC 1,1215903175,336249470
AGL,2022Q4,All Other Governments,NAIC 2,880212241,450966883
AGL,2022Q4,All Other Governments,NAIC 3,442114158,215905504
AGL,2022Q4,All Other Governments,NAIC 4,74719575,26444693
AGL,2022Q4,All Other Governments,NAIC 5,12461466,11963571
AGL,2022Q4,All Other Governments,NAIC 6,3476132,3476132
AGL,2022Q4,"U.S. States, Territories and Possessions etc.,",NAIC 1,239120546,239120546
AGL,2022Q4,"U.S. States, Territories and Possessions etc.,",NAIC 2,28658977,28658977
AGL,2022Q4,"U.S. States, Territories and Possessions etc.,",NAIC 3,0,0
AGL,2022Q4,"U.S. States, Territories and Possessions etc.,",NAIC 4,0,0
AGL,2022Q4,"U.S. States, Territories and Possessions etc.,",NAIC 6,0,0
AGL,2022Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 1,331676776,331676776
AGL,2022Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 2,0,0
AGL,2022Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 3,0,0
AGL,2022Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 4,0,0
AGL,2022Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 5,0,0
AGL,2022Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 6,0,0
AGL,2022Q4,U.S. Special Revenue & Special Assessment,NAIC 1,6081129893,6032495039
AGL,2022Q4,U.S. Special Revenue & Special Assessment,NAIC 2,77815223,70010614
AGL,2022Q4,U.S. Special Revenue & Special Assessment,NAIC 3,0,0
AGL,2022Q4,U.S. Special Revenue & Special Assessment,NAIC 4,0,0
AGL,2022Q4,U.S. Special Revenue & Special Assessment,NAIC 5,0,0
AGL,2022Q4,U.S. Special Revenue & Special Assessment,NAIC 6,118234,118234
AGL,2022Q4,Industrial & Miscellaneous (Unaffiliated),NAIC 1,51849467175,27164763119
AGL,2022Q4,Industrial & Miscellaneous (Unaffiliated),NAIC 2,38237952091,19893630679
AGL,2022Q4,Industrial & Miscellaneous (Unaffiliated),NAIC 3,2274492790,606474707
AGL,2022Q4,Industrial & Miscellaneous (Unaffiliated),NAIC 4,839569978,121352973
AGL,2022Q4,Industrial & Miscellaneous (Unaffiliated),NAIC 5,67120284,12414007
AGL,2022Q4,Industrial & Miscellaneous (Unaffiliated),NAIC 6,114556931,7591366
AGL,2022Q4,Hybrid Securities,NAIC 1,71748879,65066126
AGL,2022Q4,Hybrid Securities,NAIC 2,299876544,237883123
AGL,2022Q4,Hybrid Securities,NAIC 3,54062239,9861154
AGL,2022Q4,Hybrid Securities,NAIC 4,5100000,0
AGL,2022Q4,Hybrid Securities,NAIC 5,0,0
AGL,2022Q4,Hybrid Securities,NAIC 6,4684645,0
AGL,2022Q4,"Parent, Subsidiaries and Affiliates",NAIC 1,0,0
AGL,2022Q4,"Parent, Subsidiaries and Affiliates",NAIC 2,360000000,0
AGL,2022Q4,"Parent, Subsidiaries and Affiliates",NAIC 3,0,0
AGL,2022Q4,"Parent, Subsidiaries and Affiliates",NAIC 4,0,0
AGL,2022Q4,"Parent, Subsidiaries and Affiliates",NAIC 5,0,0
AGL,2022Q4,SVO Identified Funds,NAIC 1,0,0
AGL,2022Q4,SVO Identified Funds,NAIC 2,0,0
AGL,2022Q4,SVO Identified Funds,NAIC 3,0,0
AGL,2022Q4,SVO Identified Funds,NAIC 4,0,0
AGL,2022Q4,SVO Identified Funds,NAIC 5,0,0
AGL,2022Q4,SVO Identified Funds,NAIC 6,0,0
