loan_number,city,state,date_acquired,interest_rate,book_value
2023302,Orefield,PA,05/26/2017,4.374,698894
2018781,Castle Rock,CO,05/26/2017,3.588,352164
2021135,Bethesda,MD,05/26/2017,3.773,573964
2022005,Castle Rock,CO,05/26/2017,3.922,558311
3114437,Virginia Beach,VA,04/18/2018,4.378,520168
2010603,Mount Pleasant,SC,05/26/2017,3.743,361482
2019968,Parkland,FL,05/26/2017,4.466,477063
2006054,Las Vegas,NV,05/26/2017,4.333,430307
2011938,Hazlet,NJ,05/26/2017,2.866,118821
2006151,Fair Oaks,CA,05/26/2017,4.075,791202
2019642,Las Vegas,NV,05/26/2017,3.838,756177
2009096,Arlington,VA,05/26/2017,3.794,384729
2021999,Vacaville,CA,05/26/2017,3.845,451180
2022026,Palm Desert,CA,05/26/2017,3.822,384381
2017769,San Diego,CA,05/26/2017,4.079,536826
2022373,Portland,OR,05/26/2017,3.646,523080
2024325,Charleston,SC,05/26/2017,3.787,475428
2021698,Alexandria,VA,05/26/2017,3.685,404843
2020173,Apex,NC,05/26/2017,4.209,460213
2022538,Boulder,CO,05/26/2017,3.718,534542
2028417,Woodbridge,VA,05/26/2017,4.0,730659
2020082,Staten Island,NY,05/26/2017,3.764,548068
2017463,Hayden,ID,05/26/2017,3.557,255904
2017925,Lutherville Timonium,MD,05/26/2017,4.533,836490
2026763,Tampa,FL,05/26/2017,3.666,428715
2023082,Haddonfield,NJ,05/26/2017,3.603,457188
2027747,Morgan Hill,CA,11/21/2019,3.858,858730
2018817,Medina,MN,11/21/2019,3.791,524013
2031522,Mount Pleasant,SC,04/18/2018,4.341,158472
2020698,Atlanta,GA,04/18/2018,3.679,542686
2006865,Milton,GA,04/18/2018,3.859,433081
2021723,Atlanta,GA,04/18/2018,3.676,711744
3113423,Santa Fe,NM,04/18/2018,3.793,470301
2023110,Atlanta,GA,04/18/2018,3.564,429176
2025610,Black Diamond,WA,11/21/2019,3.695,307902
3113608,Elk City,OK,04/18/2018,4.454,430792
2021729,Suwanee,GA,04/18/2018,3.795,489282
3113620,Hilton Head Island,SC,04/18/2018,4.022,339831
3114353,Valley Springs,CA,04/18/2018,4.638,506321
2025331,Chamblee,GA,04/18/2018,3.489,436597
2030244,Nampa,ID,04/18/2018,4.713,534207
2019334,Suwanee,GA,04/18/2018,4.009,376682
2023584,Roswell,GA,04/18/2018,3.602,682437
3113623,Evergreen,CO,04/18/2018,3.962,565210
3114120,Ponte Vedra,FL,04/18/2018,3.495,335373
3114364,Brighton,MI,04/18/2018,4.592,661608
3114351,Roswell,GA,04/18/2018,4.184,617062
3114946,Charlotte,NC,04/18/2018,4.373,423151
3116486,Brooklyn,NY,05/15/2018,4.168,562704
6118303,Compton,CA,05/29/2018,5.215,219908
6119208,Sandy Springs,GA,07/19/2018,4.366,486657
6119227,Dillard,GA,07/19/2018,4.387,419164
3119422,Los Angeles,CA,10/26/2018,4.506,850411
6120828,El Monte,CA,11/18/2020,3.6,352891
3120295,Gaston,OR,08/08/2019,3.614,420602
6121652,Charlotte,NC,11/18/2020,3.69,226774
3121145,Brooklyn,NY,09/30/2019,3.891,725649
3122142,Santa Barbara,CA,10/08/2019,4.07,685387
3122127,Austin,TX,10/18/2019,3.36,662813
3121852,Virginia Beach,VA,10/25/2019,3.065,369508
6122777,Rosemead,CA,11/18/2020,3.183,245974
6122799,Palm Springs,CA,11/18/2020,5.251,138297
3122245,Gallatin,TN,12/16/2019,3.257,978568
6123275,Spring Valley,NY,11/18/2020,4.919,305178
3123487,Plano,TX,08/10/2021,3.181,601192
3123984,Jupiter,FL,01/26/2022,3.786,854055
6124716,South El Monte,CA,08/10/2021,3.562,341498
3123962,Sandy,UT,04/06/2020,3.485,617741
3124429,Raleigh,NC,04/20/2020,3.161,621086
3124326,Greenacres,WA,05/04/2020,3.181,549722
3124271,Saint Louis,MO,05/12/2020,3.186,585738
3124489,San Francisco,CA,05/13/2020,3.091,810442
3124673,Chester Springs,PA,05/15/2020,2.871,520560
3124782,Ponte Vedra Beach,FL,05/21/2020,2.876,436911
3126122,San Luis Obispo,CA,01/26/2022,2.874,852571
3125977,Santa Barbara,CA,01/26/2022,3.019,729693
3125969,Wayne,PA,01/26/2022,3.169,924799
3127738,Hilton Head Island,SC,03/19/2021,2.879,648751
3126871,La Jolla,CA,01/26/2022,2.782,842910
3126373,Philadelphia,PA,04/06/2021,2.525,816523
3126735,Atlanta,GA,05/16/2022,3.112,986430
3128481,Santa Clara,UT,08/10/2021,3.176,624979
7137192,Hagerstown,MD,12/22/2022,8.143,179399
3127862,Bonita Springs,FL,06/17/2021,2.523,665356
3128072,Stinson Beach,CA,05/16/2022,2.767,953141
3130014,Saint Louis,MO,05/16/2022,2.892,744282
3129334,Fresno,CA,10/19/2022,3.143,831115
3129629,San Francisco,CA,05/16/2022,2.737,817021
3129475,Ruskin,FL,05/16/2022,2.954,930913
3130165,Seattle,WA,10/19/2022,3.089,902420
3129433,West Linn,OR,10/19/2022,3.1,637242
3128950,Dublin,CA,10/19/2022,3.098,594042
3130013,Issaquah,WA,05/16/2022,2.736,1259490
3128929,Glendale,CA,10/19/2022,3.188,953481
3129225,Honolulu,HI,05/16/2022,2.66,1154313
3129657,Pacific Grove,CA,05/16/2022,2.71,805764
3129563,Reno,NV,05/16/2022,3.013,661749
3128654,Brentwood,TN,05/16/2022,2.937,756156
3129099,Frisco,TX,05/16/2022,3.042,937094
3130655,Santa Barbara,CA,10/19/2022,3.004,1459411
3129798,Atlanta,GA,10/19/2022,3.311,779229
3130129,St George Island,FL,05/16/2022,2.798,1020253
3130040,Bethesda,MD,05/16/2022,2.787,1306237
3130063,Oakland,CA,05/16/2022,2.708,875353
3130264,Bryn Mawr,PA,05/16/2022,2.852,931577
3130199,Austin,TX,05/16/2022,2.584,566727
3128874,Fort Lauderdale,FL,05/16/2022,2.908,1170279
3129940,Charleston,SC,10/19/2022,3.014,685337
3129684,Lake Oswego,OR,05/16/2022,2.938,901752
3130011,Dacono,CO,10/19/2022,3.045,624968
3128367,Redmond,WA,05/16/2022,2.593,1169947
3130071,Inglewood,CA,05/16/2022,2.813,902295
3129866,Fair Oaks Ranch,TX,05/16/2022,3.068,756192
3130497,Easton,MD,10/19/2022,3.536,677691
3129429,San Jose,CA,05/16/2022,2.85,956646
3130545,Sebastopol,CA,05/16/2022,2.71,985643
3129892,Houston,TX,05/16/2022,2.896,759695
3129613,Pacifica,CA,05/16/2022,2.899,880111
3129936,Redmond,OR,10/19/2022,2.722,359968
3130656,Burlingame,CA,05/16/2022,2.828,971145
3130454,Los Angeles,CA,05/16/2022,2.908,981495
3130388,Vacaville,CA,10/19/2022,3.417,772353
3129793,Bailey Island,ME,05/16/2022,2.71,1060731
3130546,Seattle,WA,05/16/2022,2.858,1090415
3129759,Issaquah,WA,05/16/2022,2.715,936006
3131069,Scottsdale,AZ,09/13/2021,2.797,680615
3129386,Austin,TX,05/16/2022,2.956,737857
3128759,Flower Mound,TX,10/19/2022,3.188,982094
3130447,Purcellville,VA,05/16/2022,2.727,1192544
3130406,Inglewood,CA,05/16/2022,2.87,918726
3131340,Los Angeles,CA,05/16/2022,2.672,1476097
3131468,Franklin,TN,05/16/2022,2.777,1263626
3129985,Southlake,TX,10/19/2022,3.125,1033459
3130607,Morgan Hill,CA,10/19/2022,3.026,1457716
3130099,Shoreline,WA,05/16/2022,2.628,1186087
3130368,Arnold,MD,05/16/2022,2.853,567000
3130624,Baltimore,MD,05/16/2022,2.922,579549
3130724,Reno,NV,09/16/2021,2.998,984386
3130270,San Jose,CA,10/19/2022,3.066,1095857
3130075,Sun Valley,ID,05/16/2022,3.05,775073
3131682,Austin,TX,05/16/2022,2.98,699842
3130548,Washington,DC,10/19/2022,3.036,1377227
3130354,Houston,TX,05/16/2022,2.843,1111110
3129516,Seattle,WA,05/16/2022,2.75,1209352
3131168,Austin,TX,09/17/2021,2.879,1431668
3130494,Calabasas,CA,01/26/2022,2.803,1178535
3130391,Dublin,CA,10/19/2022,3.233,841646
3131121,Parker,CO,05/16/2022,2.768,949336
3130579,Pasadena,CA,10/19/2022,3.344,852122
3131392,Mound,MN,05/16/2022,2.824,804809
3131338,San Jose,CA,05/16/2022,2.664,961525
3131595,Austin,TX,05/16/2022,2.695,822076
3131241,Orinda,CA,09/23/2021,2.567,1102393
3131402,Tacoma,WA,09/23/2021,2.771,894350
3131122,Salt Lake City,UT,05/16/2022,2.767,1118811
3130837,Chevy Chase,MD,10/19/2022,3.126,981423
3129907,Windsor,CA,10/19/2022,3.279,863131
3128975,Monument,CO,05/16/2022,3.125,951732
3131676,Brentwood,TN,05/16/2022,2.861,953049
3130133,Seattle,WA,10/19/2022,3.273,957666
3131030,Franklin,TN,05/16/2022,2.806,618644
3131440,San Diego,CA,05/16/2022,2.57,755494
3132258,Atlanta,GA,05/16/2022,2.738,588709
3128882,Mcdonough,GA,05/16/2022,2.705,844424
3130594,Mt Pleasant,SC,05/16/2022,2.968,546484
3131084,Sunnyvale,CA,05/16/2022,2.909,985096
3130405,Miramar Beach,FL,05/16/2022,2.825,1469234
3131541,Folsom,CA,05/16/2022,2.733,1116636
3130795,San Rafael,CA,09/29/2021,3.083,749465
3130885,Dallas,TX,09/29/2021,3.127,774732
3130812,Ventura,CA,09/29/2021,2.719,1091558
3131192,Carlsbad,CA,10/19/2022,3.075,835019
3132144,Chino,CA,10/19/2022,3.221,636869
3131918,San Carlos,CA,05/16/2022,2.616,1456760
3129141,Blue Ridge,GA,09/30/2021,4.349,533892
3131866,Irvine,CA,09/30/2021,2.773,1100410
3131603,La Canada Flintridge,CA,05/16/2022,2.537,645956
3131826,Ontario,CA,10/19/2022,3.077,710655
3129600,Issaquah,WA,05/16/2022,3.038,1155874
3131109,Scottsdale,AZ,10/01/2021,2.886,728570
3131017,Bellingham,WA,10/01/2021,2.873,789571
3131082,Kenmore,WA,10/19/2022,3.099,1007415
3131515,Washington,DC,05/16/2022,2.75,954106
3130348,Santa Barbara,CA,10/19/2022,3.132,1234899
3130572,Vero Beach,FL,10/19/2022,3.153,1026642
3131610,San Gabriel,CA,05/16/2022,2.654,1025696
3130308,Cypress,TX,10/19/2022,3.204,969434
3131987,Rocklin,CA,05/16/2022,2.716,756476
3131365,Livermore,CA,05/16/2022,2.662,1116176
3128710,Morgan Hill,CA,05/16/2022,3.106,1192734
3131750,Alameda,CA,05/16/2022,2.582,939196
3128506,Charleston,SC,05/16/2022,3.038,789917
3131643,Burbank,CA,05/16/2022,2.832,750750
3131049,Matthews,NC,10/19/2022,3.014,830662
3130873,Snoqualmie,WA,05/16/2022,3.026,962029
3131416,Charleston,SC,10/08/2021,2.584,587333
3130964,Bothell,WA,10/08/2021,2.593,838639
3130952,Los Angeles,CA,05/16/2022,2.968,977641
3130923,Los Angeles,CA,10/12/2021,2.843,899125
3132037,Strafford,PA,10/12/2021,2.759,644039
3131667,Clarksville,MD,10/12/2021,2.76,807798
3131673,Fort Worth,TX,05/16/2022,2.98,990451
3131824,Newbury Park,CA,10/19/2022,3.036,825473
3131197,Santa Monica,CA,05/16/2022,2.885,1704422
3131715,Arnold,MD,10/18/2021,2.875,684947
3131166,Newark,CA,05/16/2022,2.798,1176206
3131858,Los Angeles,CA,05/16/2022,2.696,1365023
3131480,Mount Pleasant,SC,10/19/2021,2.84,680239
3132367,San Jose,CA,10/19/2021,2.792,1192498
3132556,Santa Monica,CA,05/16/2022,2.632,891796
3132045,Dripping Springs,TX,05/16/2022,2.621,1068082
3132066,Eagleville,PA,10/20/2021,2.791,613519
3132074,Las Vegas,NV,10/19/2022,3.042,633147
3132356,Falls Church,VA,05/16/2022,2.545,1033617
3131213,Los Angeles,CA,05/16/2022,2.799,1193896
3132179,Phoenix,AZ,10/21/2021,2.843,572240
3130958,Matthews,NC,10/21/2021,2.687,574356
3130653,Edina,MN,10/19/2022,3.194,707249
3131964,Santa Rosa Valley,CA,05/16/2022,2.924,792583
3132565,Austin,TX,05/16/2022,2.843,1116421
3132489,Tequesta,FL,10/22/2021,2.859,620785
3132290,Atlanta,GA,10/25/2021,2.808,602968
3132307,Washington,DC,10/19/2022,2.974,1200961
3132165,Austin,TX,10/19/2022,2.954,1202310
3132040,La Mesa,CA,10/26/2021,2.87,920019
3131212,Frisco,TX,10/26/2021,2.69,578240
3132234,Annapolis,MD,10/26/2021,2.872,703347
3132515,Gold River,CA,10/26/2021,2.785,760764
3132263,Apex,NC,05/16/2022,2.853,582449
3130827,Malibu,CA,05/16/2022,2.619,937081
3132593,Phoenix,AZ,05/16/2022,2.765,548517
3130828,Marietta,GA,05/16/2022,2.692,957943
3130547,Seattle,WA,10/19/2022,3.007,1126348
3132129,Medford,OR,10/27/2021,2.439,748335
3132606,Southlake,TX,10/27/2021,2.925,980874
3131123,Montclair,NJ,05/16/2022,2.766,593076
3131228,Moorpark,CA,05/16/2022,2.804,771484
3132459,Portland,OR,10/28/2021,2.805,636918
3132340,The Colony,TX,05/16/2022,2.895,1009824
3132239,Marana,AZ,10/19/2022,3.084,999029
3132358,Nokomis,FL,05/16/2022,2.743,928816
3132436,San Luis Obispo,CA,05/16/2022,2.78,1282139
3131805,Cave Creek,AZ,05/16/2022,2.808,692598
3132846,Long Beach,CA,10/19/2022,3.086,1050732
3132004,Springfield,VA,05/16/2022,2.649,647352
3132458,Lakewood Ranch,FL,05/16/2022,2.862,1034334
3131984,San Rafael,CA,05/16/2022,2.531,979436
3131609,Seattle,WA,05/16/2022,2.978,894924
3132591,San Diego,CA,11/02/2021,2.844,1095853
3131484,Wesley Chapel,FL,05/16/2022,3.01,734326
3130128,Longport,NJ,05/16/2022,3.045,1148930
3132681,Novato,CA,05/16/2022,2.535,839320
3131896,Austin,TX,11/04/2021,2.615,624069
3132628,Berkeley,CA,05/16/2022,2.648,1423116
3132596,Falls Church,VA,05/16/2022,2.725,620356
3132318,Atlanta,GA,05/16/2022,2.555,581927
3132141,Falls Church,VA,11/05/2021,2.863,1267851
3130294,Jamestown,RI,10/19/2022,3.316,627751
3131927,San Mateo,CA,10/19/2022,3.037,918000
3133131,Waterford,US,05/16/2022,2.797,862751
3132317,Jacksonville,FL,11/09/2021,2.678,603099
3130836,New Orleans,LA,11/09/2021,3.369,674883
3132699,Bend,OR,05/16/2022,2.831,650123
3132185,Millbrae,CA,05/16/2022,2.79,991061
3132643,Oakland Park,FL,05/16/2022,2.779,638929
3132870,Charleston,SC,05/16/2022,2.778,644734
3132500,Santa Ana,CA,05/16/2022,2.752,975105
3132966,Austin,TX,05/16/2022,2.662,969364
3131966,Rancho Palos Verdes,CA,05/16/2022,2.977,971837
3132131,Coppell,TX,10/19/2022,3.086,776720
3132363,Palm Harbor,FL,05/16/2022,2.754,993666
3132396,Los Osos,CA,05/16/2022,2.564,1280728
3132719,Winchester,MA,05/16/2022,2.75,781489
3131894,Clarksville,MD,11/12/2021,2.752,669535
3132744,Chesapeake,VA,05/16/2022,2.742,692053
3132931,Charlotte,NC,05/16/2022,2.854,695517
3132912,East Wenatchee,WA,05/16/2022,2.74,647077
3132553,Ontario,CA,11/16/2021,2.931,655060
3132301,Poulsbo,WA,11/16/2021,2.777,568471
3132478,Carlsbad,CA,10/19/2022,3.069,874343
3132961,Los Alamitos,CA,05/16/2022,2.782,1055605
3132494,Atlanta,GA,05/16/2022,2.675,1167606
3133064,Great Falls,VA,05/16/2022,2.81,986546
3132112,Kensington,MD,05/16/2022,2.756,1029301
3133014,Belmont,CA,05/16/2022,2.603,833354
3132506,Los Angeles,CA,05/16/2022,2.749,1043712
3133178,Birmingham,AL,05/16/2022,2.994,648581
3132819,Jamaica Plain,MA,11/18/2021,2.667,1372494
3132895,Mount Pleasant,SC,10/19/2022,3.041,597625
3132928,Dallas,TX,05/16/2022,2.856,673072
3132203,Loveland,CO,11/19/2021,3.356,662195
3132847,Palm Beach Gardens,FL,05/16/2022,2.74,553512
3132219,College Grove,TN,05/16/2022,2.804,1264088
3132528,Santa Barbara,CA,05/16/2022,2.662,1083138
3132482,Costa Mesa,CA,05/16/2022,2.573,1334426
3132796,Littleton,CO,10/19/2022,3.049,683452
3132947,Port Townsend,WA,05/16/2022,2.774,910651
3132687,Chattanooga,TN,05/16/2022,2.924,968959
3131928,Sunset,SC,05/16/2022,2.689,936424
3132434,Phoenix,AZ,05/16/2022,2.831,641257
3133091,Scottsdale,AZ,05/16/2022,2.696,841057
3133088,Seattle,WA,05/16/2022,2.768,789314
3132995,Port Charlotte,FL,05/16/2022,3.061,740288
3133052,Snohomish,WA,05/16/2022,3.009,1354651
3131498,Yorba Linda,CA,11/24/2021,2.837,1077819
3131219,Seattle,WA,05/16/2022,2.77,949473
3133377,Redwood City,CA,05/16/2022,2.688,1374608
3132894,Las Vegas,NV,05/16/2022,2.768,811927
3131971,Sullivan''S Island,SC,11/30/2021,2.679,887996
3132929,Charlotte,NC,05/16/2022,2.77,844551
3132054,San Anselmo,CA,05/16/2022,2.873,867009
3131753,Wilmette,IL,05/16/2022,2.889,625692
3132773,Dallas,TX,12/01/2021,2.726,798929
3131593,Waxhaw,NC,05/16/2022,2.836,740141
3131571,Thousand Oaks,CA,12/03/2021,2.797,802041
3133222,Dripping Springs,TX,10/19/2022,3.108,683200
3132843,Carlsbad,CA,05/16/2022,2.761,875834
3132820,Danville,CA,05/16/2022,2.568,817061
3133081,Houston,TX,05/16/2022,2.783,1577236
3133031,San Jose,CA,05/16/2022,2.749,1078317
3132390,Los Angeles,CA,05/16/2022,2.578,1320744
3133289,Riverside,CA,05/16/2022,2.869,629544
3132666,Kirkland,WA,05/16/2022,2.248,446214
3131257,La Quinta,CA,12/08/2021,3.052,582906
3131708,Larkspur,CA,05/16/2022,2.634,833356
3133324,Fairfield,CT,05/16/2022,2.793,911515
3133018,Eagle,ID,05/16/2022,2.894,799287
3132860,Pleasant Hill,CA,05/16/2022,2.585,863718
3133171,New Orleans,LA,10/19/2022,3.187,993243
3133413,Seattle,WA,05/16/2022,2.808,734576
3132425,Piedmont,CA,05/16/2022,2.582,1953736
3133275,Sugar Land,TX,05/16/2022,2.935,756162
3132576,Castro Valley,CA,05/16/2022,2.613,832098
3133477,Walnut Creek,CA,05/16/2022,2.637,1100314
3133293,Palm Beach Gardens,FL,05/16/2022,2.932,551360
3132724,Potomac,MD,12/10/2021,2.547,1176538
3133519,Carlsbad,CA,05/16/2022,2.662,1213379
3133383,Studio City,CA,05/16/2022,2.983,1062122
