entity,period,state,loan_count,total_book_value,avg_interest_rate
AGL,2023Q4,NLD,6,227424702.0,5.1987
AGL,2023Q4,NM,83,23144785.0,6.1551
AGL,2023Q4,NV,192,218915434.0,5.8394
AGL,2023Q4,NY,893,4167145074.0,6.627
AGL,2023Q4,OH,1031,765047258.0,7.3009
AGL,2023Q4,OK,135,27904190.0,6.5844
AGL,2023Q4,OR,222,186559811.0,5.7673
AGL,2023Q4,PA,1300,724221810.0,7.1502
AGL,2023Q4,RI,63,67821144.0,6.7208
AGL,2023Q4,SAN,1,1153523.0,2.736
AGL,2023Q4,SC,405,205652904.0,6.4054
AGL,2023Q4,SD,5,649359.0,6.3984
AGL,2023Q4,TN,476,198180855.0,6.3487
AGL,2023Q4,TX,1774,1816740518.0,6.2911
AGL,2023Q4,US,3,2320166.0,2.9307
AGL,2023Q4,UT,160,194941566.0,5.7034
AGL,2023Q4,VA,568,398682269.0,5.9589
AGL,2023Q4,VT,10,2391254.0,6.1521
AGL,2023Q4,WA,517,655391658.0,5.174
AGL,2023Q4,WI,222,40135875.0,6.9509
AGL,2023Q4,WV,43,5587436.0,7.1067
AGL,2023Q4,WY,7,3165217.0,6.3524
AGL,2024Q4,AK,17,4257036.0,6.9087
AGL,2024Q4,AL,736,373630899.0,6.9874
AGL,2024Q4,AR,107,13882886.0,6.7264
AGL,2024Q4,AZ,870,973824231.0,6.0807
AGL,2024Q4,BEL,1,79898454.0,2.85
AGL,2024Q4,CA,4203,4699901983.0,5.3537
AGL,2024Q4,CAN,5,85390773.0,3.994
AGL,2024Q4,CO,510,1158178208.0,5.8895
AGL,2024Q4,CT,861,274732164.0,6.9416
AGL,2024Q4,DC,110,564922174.0,5.1087
AGL,2024Q4,DE,300,99761416.0,6.7925
AGL,2024Q4,DEU,9,1126944940.0,5.1566
AGL,2024Q4,ESP,3,161889358.0,5.6553
AGL,2024Q4,FIN,8,463482412.0,6.2777
AGL,2024Q4,FL,4044,3016311767.0,6.5194
AGL,2024Q4,FRA,4,598079470.0,5.2855
AGL,2024Q4,GA,1826,850730421.0,6.5908
AGL,2024Q4,GBR,36,3258016090.0,6.0909
AGL,2024Q4,HI,82,109624845.0,5.6348
AGL,2024Q4,IA,54,7102606.0,6.1254
