name,state,date_acquired,book_value,investment_income,ownership_pct
AMERICAN GENERAL LIFE INSURANC CORP_BND 5.725% 10/28/27 TX DIRECT 1.G,FE,10/28/2024,500000000,28863542,0.0
"Corebridge Deco Fund II, LLC New York",NY,09/28/2021,121878962,6794540,13.027
"Carlyle Alternative Opportunities Fund, L.P. Washington, DC",DC,12/14/2018,58017893,3321893,11.811
Silver (BREDS) Various,AUS,06/20/2022,55815345,3637126,0.0
"Corebridge REI LB Southeast Industrial Joint Corebridge Global Real Estate Investment Venture, LP. Stephenson",VA,07/01/2021,55509780,1426220,19.41
90 Long Acre London,GBR,03/28/2022,42124317,2974816,0.0
"Corebridge Europe Real Estate Fund II LR Corebridge Global Real Estate Investment Feeder, LLC New York",NY,03/06/2019,38358051,0,13.743
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund IV, LP New York City",NY,07/26/2021,38038682,0,7.56
AlpInvest Co-Investment Fund (Onshore) L.P. New York,NY,10/07/2021,36386723,3220703,2.252
358 Livingston NY,NY,12/13/2024,36136980,2040995,0.0
"Trident IX, L.P. Greenwich",CT,06/23/2022,31563436,-60629,0.558
"Aurelius European Opportunities IV, S.C.A. SICAV-RAIF Munich",DEU,10/18/2021,30266713,2699271,2.364
EDGE London,GBR,07/26/2022,29232579,1987779,0.0
"Waud Capital Partners QP IV, L.P. City of Dover",DE,11/06/2015,28652981,-18492,4.159
Marlin Equity V LP Hermosa Beach,CA,02/23/2018,28557772,1360903,1.446
"L Catterton VIII, L.P. Greenwich",CT,08/01/2016,26412625,-256294,1.091
"American Securities Partners VIII, L.P. New York",NY,03/14/2018,25802750,7764485,0.357
"Harvest Partners VIII, L.P. New York",NY,11/26/2019,24860974,11848,0.605
Aquiline Financial Services Fund V L.P. New York City,NY,06/22/2023,24434907,-1210316,1.271
"Carlyle Property Investors L.P. Washington, DC",DC,07/01/2019,22165169,496030,0.345
"Platinum Equity Capital Partners IV, L.P. Beverly Hills",CA,09/30/2016,21890452,420492,0.462
GUARDIAN LIFE INSURANCE COMPAN SUB CORP_BND 144A 4.850% 01/24/77 NY DIRECT 1.D,FE,01/17/2017,20775179,1018500,0.0
NORTHWESTERN MUTUAL LIFE INSUR SUB CORP_BND 144A 3.625% 09/30/59 WI DIRECT 1.D,FE,09/20/2019,20075702,720723,0.0
"Insight Venture Partners IX, L.P. New York",NY,08/05/2015,19797848,7397192,0.698
"Industrial Growth Partners VI, L.P. San Francisco",CA,06/16/2022,19349921,-742741,2.475
MASSACHUSETTS MUTUAL LIFE INSU SUB CORP_BND 144A 3.729% 10/15/70 MA DIRECT 1.D,FE,10/11/2019,19052812,719473,0.0
NORTHWESTERN MUTUAL LIFE INSUR SUB CORP_BND . 144A 3.850% 09/30/47 WI DIRECT 1.D,FE,09/21/2017,18493426,654500,0.0
"Corebridge Global Real Estate Investment Corebridge U.S. LT Apartments JV, LP. New York",NY,08/31/2021,18457907,388190,5.0
AEA Investors Fund VII LP New York,NY,10/29/2019,18059218,-180023,0.457
"Altaris Constellation Partners IV, L.P. USA Altaris Capital Partners, LLC",,06/15/2018,17567107,324603,4.558
TYSN_23-CRNR LCF SENIOR_CMBS _23-CRNR 144A 6.799% 12/10/33 INTERNAL TRANSFER 1.A,FE,11/29/2023,17385197,1129619,0.0
(2018 Commitment) New York City,NY,10/01/2018,17161145,-683972,0.052
TSG8 L.P. San Francisco,CA,12/14/2018,17060928,-214469,0.786
"Carlyle Europe Partners V, S.C.Sp. Bitbourg",LUX,02/21/2019,16971459,1199047,0.36
Advent International GPE IX Limited Partnership Boston,MA,10/18/2019,16562345,681206,0.193
"Thoma Bravo Discover Fund IV, L.P. San Francisco",CA,12/07/2022,16481282,1094227,0.407
"Carlyle Asia PE Alternative Opportunities Fund, L.P. Washington, DC",DC,12/31/2018,16407512,590956,11.472
"Carlyle Global Partners II, L.P. Washington, DC",DC,01/25/2019,16051547,281693,0.94
"Brightwood Capital Fund IV, LP Wilmington",DE,04/25/2017,15712346,1298894,2.965
L.P. New York,NY,08/27/2018,15248290,-718954,10.936
"American Securities Partners VII, LP New York",NY,01/01/2015,15223060,-85018,0.48
TEACHERS INSURANCE AND ANNUITY SUB CORP_BND 144A 4.270% 05/15/47 NY DIRECT 1.D,FE,05/03/2017,14960380,640500,0.0
MASSACHUSETTS MUTUAL LIFE INSU SUB CORP_BND 144A 4.900% 04/01/77 MA DIRECT 1.D,FE,03/20/2017,14343787,705600,0.0
"Vista Foundation Fund III, LP Austin",TX,05/29/2016,13882899,-115313,0.548
"E07.1 Green Equity Investors VIII, L.P. Los Angeles",CA,10/20/2020,13757099,1554998,0.225
"TSG7 B, L.P. San Francisco",CA,11/17/2015,13691463,110352,1.784
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund III, LP New York",NY,02/01/2019,13483658,2368639,6.0
Corebridge U.S. Real Estate Fund IV Corebridge Global Real Estate Investment Development Sidecar LP New York City,NY,09/01/2021,13227672,0,9.31
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund II, LP New York",NY,11/01/2018,13185507,0,5.0
"Gemspring Capital Fund II, LP Westport",CT,04/17/2020,12614022,70351,2.321
Palomino Business Park Norco,CA,03/25/2022,12563659,878318,0.0
"CenterOak Equity Fund II, L.P. Dallas",TX,03/10/2021,11935859,2389555,1.561
"Carlyle Credit Opportunities Fund, L.P. Washington, DC",DC,04/26/2019,11403233,72819,1.05
"Designation Book/ Year's Other- Foreign Zetta Venture Partners II, L.P. San Francisco",CA,08/26/2016,11182660,-56064,6.122
"Coral Tree Partners, LP Los Angeles",CA,12/30/2021,10003731,-2008773,3.84
"NGP Natural Resources XII, L.P. Irving",TX,01/16/2019,9895621,1206667,0.401
Crimson - USL Pembroke,,10/06/2021,9698489,840959,0.0
NATIONWIDE MUTUAL INSURANCE CO SUB CORP_BND 144A 9.375% 08/15/39 OH DIRECT 1.G,FE,05/22/2013,9314965,650625,0.0
GTCR Strategic Growth Fund I/A&B LP Chicago,IL,09/28/2022,8928824,-237458,0.666
S.C.Sp. Bitbourg,LUX,03/17/2020,8760762,2180281,1.08
"Polaris Partners X, L.P. Boston",MA,03/01/2022,8456800,532371,3.869
MASSACHUSETTS MUTUAL LIFE INSU SUB CORP_BND 144A 4.500% 04/15/65 MA DIRECT 1.D,FE,04/08/2015,8209919,387000,0.0
Marlin Heritage II LP Hermosa Beach,CA,02/15/2017,8181864,960468,2.083
"ALPINVEST SECONDARIES FUND (ONSHORE) VII, L.P. Washington, DC",DC,04/13/2021,7622679,626992,0.519
"Ridgemont Equity Partners II, L.P. Charlotte",NC,10/30/2015,7215053,1226448,2.197
Corebridge Global Real Estate Investment Bayshore Shopping Center JV LLC Glendale,WI,09/30/2019,6931781,0,7.5
"Apollo Investment Fund X, L.P. New York City",NY,08/11/2023,6757255,37898,0.166
Global Infrastructure Debt II Issuer LP New York,NY,07/01/2024,6231932,524315,3.55
"Corebridge Global Real Estate Investment Corebridge U.S. Real Estate Fund I, LP New York",NY,11/01/2018,6121020,0,6.0
NEW YORK LIFE INSURANCE COMPAN SUB CORP_BND 144A 6.750% 11/15/39 NY DIRECT 1.D,FE,04/30/2013,6074336,321300,0.0
