name,state,date_acquired,book_value,investment_income,ownership_pct
Hg Genesis 10 A L.P. London,GBR,06/27/2023,10758099,-1515177,1.545
"Fund, L.P. Boston",MA,12/19/2019,10566125,-93000,2.466
Commitment) Greenwich,CT,09/29/2020,10305395,-26500,0.24
ITHAN CREEK PARTNERS Boston,MA,06/02/2008,10263446,0,1.447
"Charlesbank Equity Fund IX, LP City of Wilmington",FL,10/09/2015,10082120,8049177,5.068
"Designation Book/ Year's Other- Foreign Thompson Street Capital Partners VI, L.P. St. Louis",MO,04/01/2022,9929534,-504223,2.538
"Avillion Financing I, LP London Clarus Ventures",,06/01/2014,9502997,1783551,6.226
GS CAPITAL PARTNERS VI New York City,NY,09/01/2022,9052835,-1276499,1.57
Miami,FL,05/18/2020,9034240,-73356,2.453
Bayshore PII Company LLC Glendale,WI,09/30/2019,9004844,0,51.0
. NATIONWIDE MUTUAL INSURANCE CO --- OH NATIONWIDE MUTUAL INSURANCE CO 1.G,FE,07/10/2003,8778410,630000,0.0
SERENGETI PARTNERS) Herzliya Pituach,ISR,01/12/2018,8506901,-242678,13.386
Polaris Healthcare Technology Opportunities Boston,MA,07/10/2020,8364384,-74700,11.314
Clinton Grand Holdings LLC Hoboken,NJ,02/06/2017,8118945,0,35.35
TSG9 L.P. Larkspur,CA,01/23/2023,7964802,-1469750,1.361
"Washington, DC",DC,12/13/2018,7634652,662502,1.1
LEGG MASON MORTGAGE CAPITAL CORP CREDIT LEGG MASON MORTGAGE CAPITAL CORP CREDIT E07.4 52465#-BR-5 LEASE-BACK ---,DE,05/16/2014,6945082,0,0.0
"CRESTVIEW PARTNERS II, L.P. CRESTVIEW PARTNERS, L.P. (FKA CRESTVIEW New York",NY,12/04/2006,6682677,1024891,1.747
New York,NY,06/29/2012,6243876,0,3.303
Blackstone Life Sciences V L.P. Cambridge,MA,04/03/2020,5827887,-237265,0.27
CENTRE CAPITAL INVESTORS III New York,NY,01/01/2015,5328860,0,2.637
"FOUNDRY VENTURE CAPITAL 2007, L.P. GA RV (Class B) Continuation, L.P. New York City",NY,11/03/2023,5284811,-577594,0.8
New York,NY,11/06/2008,4861120,1344691,0.604
NUVEEN CPACE LENDING RN FEEDER FD I LLC . NUVEEN CPACE LENDING RN FEEDER FD I LLC --- US,,08/07/2023,4707582,0,0.0
NEW YORK LIFE INSURANCE CO --- NY NEW YORK LIFE INSURANCE CO 1.C,FE,06/30/2021,4551662,151125,0.0
London,GBR,10/29/2019,4068427,-234391,3.78
STARK INVESTMENTS LP Boston,MA,09/21/2023,3912547,-511500,6.67
"TPG Real Estate Partners II, L.P. New York",NY,09/30/2015,3615338,0,1.211
AIG CLO Ltd SER 2019-2ACL SUB Adj % Due AIG CLO Ltd SER 2019-2ACL SUB Adj % Due,,10/25/2032,3481920,401983,0.0
"Polaris Partners IX, L.P. Herzliya Pituach",ISR,04/26/2019,3328013,550736,50.998
TIGER GLOBAL PRIVATE INVESTMENT PARTNERS V New York,NY,01/22/2008,3204607,2071416,0.782
"CVC Growth Partners, L.P. San Francisco",CA,01/04/1999,2867515,717164,0.077
London,GBR,11/09/2022,2859621,-668854,2.86
TPG AXON PARTNERS New York,NY,09/30/2005,2835663,0,1.2
CAPITAL PARTNERS) St. Heller Jersey,GBR,12/31/2015,2764255,-3513,1.76
GUARDIAN LIFE INSURANCE COMPANY OF GUARDIAN LIFE INSURANCE COMPANY OF AMERICA --- NY AMERICA 1.D,FE,01/14/2020,2472338,92500,0.0
AIGIM 2019-1 SUB - CDO ---,CYM,08/03/2021,2341918,143954,0.0
"Corebridge Commercial Real Estate Lending AIG Commercial Real Estate Lending Holdings, LLC Wilmington",DE,12/01/2021,2298738,0,99.0
Blackstone Real Estate Partners X L.P. New York City,NY,03/23/2023,2267208,-708473,0.167
"Pontifax Medison Finance (Cayman) L.P. PRESIDIO PARTNERS 2007, L.P. (FKA CMEA San Francisco",CA,12/28/2007,2082238,39713,2.304
NEW YORK LIFE INSURANCE CO --- NY NEW YORK LIFE INSURANCE CO 1.C,FE,05/05/2006,1967986,117500,0.0
LONGREACH EDITH CO-INVEST George Town,CYM,10/16/2007,1939548,0,12.5
"E07.2 New Leaf Ventures II, L.P. New York",NY,04/08/2008,1768828,209662,2.114
CLVR 2018-1 SUB - CDO ---,CYM,04/16/2021,1758636,109113,0.0
CENTERBRIDGE CREDIT PARTNERS Los Angeles,CA,10/31/2007,1590127,0,0.375
Corebridge Bartlett Investor II LLC New York,NY,08/31/2022,1439995,103737,8.616
"American Capital Equity II, L.P. Bethesda",MD,10/23/2007,1408046,0,11.966
"King Street Capital, L.P New York",NY,06/01/2010,1272265,0,0.035
"Vista Equity Partners III, LP San Francisco",CA,10/03/2007,1246023,2104390,2.089
GREEN EQUITY INVESTORS V LP HARBINGER CAPITAL PARTNERS SPECIAL New York,NY,12/01/2006,1053987,0,3.812
Corebridge Papermill Investor II LLC New York,NY,08/31/2022,1045304,75390,8.616
New York,NY,01/23/2007,1027620,10443,1.325
"LS Power Fund V Feeder 1, L.P. New York City",NY,12/01/2023,920169,-290941,1.667
Oakley Capital Origin II-B1 SCSp London,GBR,09/23/2023,896162,-949760,5.93
"E07 GRESHAMQUANT - ACAR FUND, L.L.C. New York City",NY,06/30/2020,889664,0,0.0
"AIG LIQUID ALTERNATIVE EQUITY ALPHA FUND, LLC AIG LIQUID ALTERNATIVE EQUITY ALPHA New York",NY,08/10/2021,798509,0,34.955
New York,NY,11/23/1999,791513,0,8.999
"New Mountain Partners III, L.P. New York",NY,09/25/2007,706673,-1465,0.268
ANCHF 15 SUB - CDO ---,CYM,04/21/2022,679406,252271,0.0
Marina del Rey,CA,04/11/2023,675000,-675000,3.6
PROVIDENCE EQUITY PARTNERS IV Briarcliff Manor,NY,08/17/2007,657865,0,3.704
MASSACHUSETTS MUTUAL LIFE INSURANCE CO --- MA MASSACHUSETTS MUTUAL LIFE INSURANCE CO 1.D,FE,07/01/2013,643294,42068,0.0
Bidmex Holding LLC (aka Mexico NPL) Mexico City,MEX,08/08/2006,559750,0,5.11
"SAW MILL CAPITAL, L.P. SERENGETI OPPORTUNITIES PARTNERS L.P. (FKA Los Angeles",CA,08/30/2007,433184,0,1.1
"Blackstone Capital Partners V, LP New York",NY,01/30/2006,425187,447366,0.2
"Carlyle Global Financial Service Partners, Washington, DC",DC,12/13/2018,371850,0,6.82
Boulder,CO,11/14/2007,364631,0,2.16
"Falcon Edge Global, LP FARALLON CAPITAL PARTNERS LP New York",NY,05/10/2018,338490,-300325,10.545
"Genstar Capital Partners XI, L.P. Raleigh",NC,01/17/2007,327122,0,4.866
New Holland Tactical Alpha Domestic Fund LP . New York City,NY,07/28/2022,318577,0,0.0
Commitment) New York,NY,02/20/2007,203379,100027,0.21
TPG PARTNERS IV LP Fort Worth,TX,12/08/2004,171958,0,1.724
"Madison Dearborn Capital Partners V, L.P. Chicago",IL,07/31/2006,165259,661698,0.313
"General Atlantic Partners AIV-1 A, L.P.(2020 Los Angeles",CA,08/10/2007,144532,0,0.275
BREP V New York,NY,01/24/2006,122048,27519,1.393
San Francisco,CA,05/17/2023,119284,-119284,0.26
ST. FRANCIS,WI,03/31/2008,112953,0,6.434
NEW VERNON INDIA (CAYMAN) FUND II Jersey City,NJ,01/01/2008,103700,0,1.551
"Ableco, L.L.C. Chicago",IL,02/19/2004,46261,0,4.634
AXA SECONDARY FUND III St. Helier,JEY,11/09/2004,46013,0,1.937
"Towerbrook Investors III, L.P. George Town",CYM,08/12/2008,45896,0,0.453
"VENTURES VII, L.P.(NY)) Providence",RI,11/27/2000,32081,0,1.487
MIDOCEAN PARTNERS III New York,NY,12/21/2006,6459,-11711,2.613
St Peter Port,GGY,12/21/2006,4242,53717,0.283
"CVC Growth Partners Co-Investment, L.P. New York",NY,11/01/2013,2409,0,0.182
"Touchdown MGP, LLC (Varagon Wildfire Direct Management MGP, LLC) New York",NY,02/07/2014,1519,0,32.026
"Carlyle Credit Opportunities Fund III Private Private Securitization Vehicle Feeder, Securitization Vehicle Feeder, L.P. Washington, DC",DC,11/27/2023,0,0,0.0
"Jade Equity Investors II, L.P Los Angeles",CA,03/10/2022,-38917,0,1.0
"VIII, L.P. New York City",NY,09/21/2023,-93979,0,0.6
AEA Investors Fund VIII LP New York City,NY,05/11/2022,-493912,0,0.5
"Branch Retail Partners II, LP New York",NY,08/31/2022,-815615,582011,8.65
"SPAIG North Williams, LLC Seattle",WA,03/16/2015,-3195334,188629,45.0
"Corebridge U.S. Real Estate Fund I, LP New York",NY,11/01/2018,-26414779,0,24.0
