loan_number,city,state,date_acquired,interest_rate,book_value
5555185,Hampstead,GBR,04/03/2018,4.71,2025481
5555189,France,VA,06/20/2018,2.896,60777940
5555204,Amsterdam,CAN,04/04/2019,3.124,46557280
5555208,London,MO,07/03/2019,4.1,21728272
5555217,Dublin 8,MO,10/09/2019,1.45,19595872
5555221,Birmingham,NJ,09/18/2019,2.25,12368166
6002317,Manchester,CA,03/01/2020,1.75,57279078
6002610,Norfolk,TX,11/26/2019,1.75,15079824
7777012,Whitby,NY,11/06/2020,4.6,2258128
8001363,Ofallon,CT,12/17/2020,3.484,61141824
8001764,Chesterfield,CT,12/17/2020,6.184,6823964
8001823,Plainsboro,CT,04/27/2021,5.0,88655
8001880,San Diego,CT,05/11/2021,4.714,2517803
8002002,Houston,PA,07/06/2021,4.55,13439116
8002168,New York,NY,08/05/2021,2.4,64765376
8002181,Manchester,CT,12/09/2021,4.5,5451914
8002183,East Haven,NY,11/24/2003,6.3,1485449
8002185,New Haven,CT,12/12/2017,5.78,7660976
8002187,Manchester,WI,09/27/2006,6.12,8444417
8002193,West Chester,WI,06/17/2015,3.5,6492116
8002218,Hamden,FL,03/08/2002,7.43,387111
8002223,,NEW,12/12/2017,7.43,2148464
8002239,,,01/30/2006,5.8,6110778
8002254,,,12/12/2017,6.27,11311997
8002256,,,11/07/2006,6.06,14636697
8002260,,,01/25/2007,5.82,14898508
8002282,Chicago,NY,05/12/2014,4.97,22848383
8002297,Santa Monica,NJ,06/24/2014,4.92,28556729
8002315,Houston,NY,04/01/2017,4.9,8749862
8002336,The Woodlands,TX,12/12/2017,4.26,12984884
8002345,New York,NV,08/20/2014,4.12,13510152
8002347,York,NY,09/29/2014,4.53,12330047
8002357,East Elmhurst,OH,11/10/2014,4.3,15369116
8002375,Jersey City,TX,10/27/2014,4.11,13184521
8002390,New York,AZ,12/18/2014,4.8,63000000
8002397,Dallas,NV,01/15/2015,4.07,13345053
8002406,Henderson,HI,01/15/2015,8.0,709709
8002408,New York,RI,02/20/2015,4.05,4460516
8002411,Mayfield Heights,NY,02/20/2015,4.05,9525000
8002413,Houston,MD,12/12/2017,3.96,13130743
8002415,Phoenix,NY,06/29/2015,5.5,4211114
8002417,Las Vegas,VA,12/12/2017,3.9,11080017
8002423,Honolulu,CT,06/30/2015,3.75,28542917
8002429,Smithfield,MA,08/19/2015,3.87,10998532
8002440,New York,OH,08/19/2015,3.0,14555247
8002452,Bethesda,NJ,08/28/2015,4.35,7620544
8002458,New York,FL,12/12/2017,4.11,9869191
8002461,Chesapeake,TX,12/12/2017,4.55,41434891
8002467,Hartford,CA,12/12/2017,5.95,15915429
8002491,Grove City,NY,11/02/2015,5.71,1262915
8002497,,,10/22/2015,4.15,407769
8002505,,,10/22/2015,4.15,4225970
8002507,,,10/22/2015,4.15,750048
8002517,,SAN,10/22/2015,4.15,6783794
8002529,,,10/22/2015,4.15,1275205
8002540,Los Angeles,MA,05/24/2017,4.42,9459490
8002542,Newburgh,IL,05/15/2017,4.081,19992960
8002611,Montgomery,NY,12/12/2017,4.32,60249557
8002620,Elmsford,FL,06/29/2017,4.97,6896129
8002654,Houston,NY,08/03/2017,3.8,6842625
8002660,Boston,NJ,12/20/2017,3.82,38967364
8002662,Boston,DC,01/25/2018,3.677,85000000
8002671,Hyattsville,NY,03/21/2018,4.25,32966404
8002673,Brooklyn,NY,05/30/2018,5.099,43873575
8002677,New York,NY,10/23/2018,4.41,27922157
8002683,New York,OH,09/25/2018,4.32,39120668
8002688,Corona,NY,09/05/2018,5.48,25983747
8002700,Dallas,NC,09/05/2018,5.48,15358777
8002703,Jersey City,NC,12/26/2018,5.68,2765020
8002706,Yonkers,NY,11/06/2018,4.43,22516615
8002709,New York,CA,01/29/2019,5.1,9601372
8002722,New York,TX,01/15/2019,4.46,19964953
8002733,Costa Mesa,FL,02/05/2019,4.34,10522246
8002742,Washington,SC,01/24/2019,4.6,42972795
8002746,Los Angeles,MA,01/24/2019,4.25,8997776
8002752,New York,NJ,01/29/2019,5.65,1479482
8002800,Warrendale,FL,03/20/2019,4.15,69273157
8002807,Queens,OH,04/05/2019,4.31,1499173
8002827,Houston,IL,08/12/2019,5.34,2567335
8002832,,,07/22/2019,3.55,4810142
8002848,,,07/26/2019,3.8,12975670
8002854,,,09/13/2019,3.81,3150000
8002856,,,09/16/2019,4.1,15189345
8002883,,,09/16/2019,4.1,36321156
8002888,Harrison,NJ,12/15/2021,2.97,19961597
8002890,Pensacola,FL,12/17/2021,3.02,14626275
8002674,Brooklyn,NY,02/05/2019,4.34,1505000
8002723,New York,NY,11/25/2019,2.55,18538000
8002754,Gainesville,FL,05/06/2020,3.25,724626
8002757,Riverside,MO,05/06/2020,4.0,1004672
8002760,Nashville,TN,05/06/2020,4.0,1206561
8002762,Fort Worth,TX,05/06/2020,4.0,1133280
8002766,San Antonio,TX,05/06/2020,3.5,1069066
8002798,Rancho Palos Verdes,CA,12/16/2020,10.25,5978819
8002396,New York,NY,10/01/2015,4.55,16631904
8002811,New York,NY,01/01/2021,4.66,5500000
8002774,Washington,DC,07/02/2020,4.5,16849967
8002775,Washington,DC,07/02/2020,4.5,16736986
6121407,Palm Springs,CA,11/18/2020,4.67,172481
3123290,Midland,TX,08/10/2021,3.774,648326
3124682,Wrentham,MA,08/10/2021,3.26,640975
3126489,San Luis Obispo,CA,03/02/2021,4.09,857870
3128421,Portland,OR,08/10/2021,2.507,664293
3131231,Hinsdale,IL,08/19/2021,2.657,673880
3130817,Tempe,AZ,09/14/2021,3.081,684080
3131108,Wilton,CT,09/15/2021,2.776,691367
3130983,West Friendship,MD,09/22/2021,2.913,591983
3131070,Austin,TX,09/28/2021,3.12,574696
3130859,Mount Pleasant,SC,09/29/2021,3.132,588636
3131110,Fairfield,CA,09/30/2021,2.679,583541
3132432,Seaford,VA,09/30/2021,2.267,582143
3130993,Downers Grove,IL,10/04/2021,3.107,621063
3131582,Vero Beach,FL,10/18/2021,2.719,82646
3131435,Woodstock,GA,10/18/2021,2.916,9552979
3131711,Mountain Brk,AL,10/18/2021,3.103,5360113
3130846,Cle Elum,WA,11/02/2021,2.865,178
3132568,Issaquah,WA,11/22/2021,2.875,1501138
3132791,Cary,NC,11/22/2021,2.55,3993996
3132832,Edina,MN,11/24/2021,2.754,223095
3132055,Santa Barbara,CA,11/24/2021,2.598,14978499
3132509,Charleston,SC,12/17/2021,2.866,5748
5555168,Hampstead,GBR,07/03/2019,4.1,18020885
5555204,Dublin 1,IRL,11/06/2020,4.6,14626275
5555208,London,GBR,12/17/2020,6.184,254080678
8002757,Riverside,MO,05/06/2020,4.0,89656
8002760,Nashville,TN,03/08/2021,4.0,273996422
8002763,Lewisville,TX,05/06/2020,3.25,5500000
8002766,San Antonio,TX,07/15/2021,3.5,8860180
2023400,Kaysville,UT,05/28/2021,3.699,283501590
2014362,Atlanta,GA,05/20/2021,4.238,919605704
