name,state,date_acquired,book_value,investment_income,ownership_pct
Apollo Investment Management Europe Italian AIF Luxembourg,LUX,07/05/2022,422760170,36844133,100.0
AP Grange Holdings LLC AP Grange Tranche B 5.000% 03/20/45,CYM,01/01/2025,411998739,42889185,0.0
Builders Capital Builders Capital II 19JUN27 7.480% 06/19/27 Puyallup,WA,12/20/2023,357363590,0,0.0
Builders Capital Builders Capital 7.520% 11/15/26 Puyallup,WA,05/17/2023,221026911,0,0.0
Royal Bank of Canada Junior Subordinated,CAN,06/04/2025,149557452,2280136,0.0
RGA Reinsurance Co Sr Subordinated 4.000% . 12/13/51 C Springfield,MA,11/29/2021,145000000,0,0.0
Bank of Montreal Junior Subordinated 6.875% . 11/26/85,CAN,07/21/2025,139070728,2152297,0.0
Access Point Financial LLC APF Term Loan Facility 6.340% 07/24/29 Atlanta,GA,07/24/2025,128863919,3796739,0.0
Chesterfield Reinsurance Co Subordinated 7.125% 03/23/43 Chesterfield,VA,03/23/2023,127500000,0,0.0
Royal Bank of Canada Junior Subordinated,CAN,01/01/2025,117558317,2606004,0.0
Times Square New York,NY,10/31/2024,106059758,0,50.0
Times Square New York,NY,10/31/2024,106059758,0,70.0
Swedbank AB Junior Subordinated 7.750%,SWE,09/13/2024,101581293,5684829,0.0
Times Square Equity New York,NY,10/31/2024,99132431,90867569,70.0
BNP Paribas SA Junior Subordinated 8.000%,FRA,01/01/2025,98646192,0,0.0
ING Groep NV Junior Subordinated 7.000%,NLD,09/02/2025,92036556,1020475,0.0
Bank of Montreal Unsecured 7.700% 05/26/84,CAN,04/07/2025,88515292,2102131,0.0
Avenue of the Americas Tr E 4.142% 08/10/35 New York,NY,01/01/2025,77949983,129259,0.0
Aviva PLC Junior Subordinated 6.875% Perpet.,GBR,01/01/2025,77294980,3872069,0.0
ABN AMRO Bank NV Junior Subordinated 5.750% Perpet.,NLD,07/29/2025,70603062,1482445,0.0
"A-A SPN-5 (USREIII - AAA), L.P. AltsCo LT Addition 66,653,905 (4,792,371) 37,431,921 0.000 AAIA RML, LLC West Des Moines",IA,01/01/2024,68285505,0,100.0
NatWest Group PLC Junior Subordinated 8.125%,GBR,04/08/2025,67112087,1438038,0.0
Danske Bank A/S Junior Subordinated 7.000%,DNK,04/07/2025,66318475,1830479,0.0
Secura Insurance Co Secura Insurance Co 8.670% 03/14/39 Neenah,WI,04/15/2024,65000000,0,0.0
ING Groep NV Junior Subordinated 7.250%,NLD,03/10/2025,64797646,2340551,0.0
Teachers Insurance & Annuity A Subordinated 6.850% 12/16/39 New York,NY,07/08/2016,62575623,1791475,0.0
