entity,period,category,naic_designation,total_current_year,total_prior_year
AAIA,2020Q1,BONDS,NAIC 1,1545578079,1404442286
AAIA,2020Q1,BONDS,NAIC 2,118730816,-11601773
AAIA,2020Q1,BONDS,NAIC 3,502186477,485665173
AAIA,2020Q1,BONDS,NAIC 4,70945992,73808691
AAIA,2020Q1,BONDS,NAIC 5,13973180,13436467
AAIA,2020Q1,BONDS,NAIC 6,36687606763,39080314136
AAIA,2020Q1,BONDS,NAIC 1,72680890,13343140
AAIA,2020Q1,BONDS,NAIC 2,34500000,59337750
AAIA,2020Q1,BONDS,NAIC 3,-5473239,26224227
AAIA,2020Q1,BONDS,NAIC 4,36821011880,138427964
AAIA,2020Q1,BONDS,NAIC 5,5,6
AAIA,2020Q1,BONDS,NAIC 6,1450800,1000408
AAIA,2022Q2,BONDS,NAIC 1,26021934221,25654668618
AAIA,2022Q2,BONDS,NAIC 2,21147631673,21755319540
AAIA,2022Q2,BONDS,NAIC 3,1473506654,1684684736
AAIA,2022Q2,BONDS,NAIC 4,279490207,15046788
AAIA,2022Q2,BONDS,NAIC 5,515969334,584909486
AAIA,2022Q2,BONDS,NAIC 6,23353361,59732462
AAIA,2022Q2,BONDS,NAIC 1,13602004,8960066
AAIA,2022Q2,BONDS,NAIC 2,143360534,71485300
AAIA,2022Q2,BONDS,NAIC 3,318463410,56066725
AAIA,2022Q2,BONDS,NAIC 4,52721781702,50058205571
AAIA,2022Q2,BONDS,NAIC 5,5,6
AAIA,2022Q2,BONDS,NAIC 6,59389751,52816978
AAIA,2023Q1,BONDS,NAIC 1,41937563906,34048093934
AAIA,2023Q1,BONDS,NAIC 2,25345278596,23303179851
AAIA,2023Q1,BONDS,NAIC 3,1642746875,1618410450
AAIA,2023Q1,BONDS,NAIC 4,560345737,559787585
AAIA,2023Q1,BONDS,NAIC 5,128341083,102286601
AAIA,2023Q1,BONDS,NAIC 6,96033544,56637215
AAIA,2023Q1,BONDS,NAIC 1,13156346,12798191
AAIA,2023Q1,BONDS,NAIC 2,228209116,213573388
AAIA,2023Q1,BONDS,NAIC 3,122673360,148681898
AAIA,2023Q1,BONDS,NAIC 6,798240,798251
AAIA,2023Q2,BONDS,NAIC 1,41547185670,34048093934
AAIA,2023Q2,BONDS,NAIC 2,26649112554,23303179851
AAIA,2023Q2,BONDS,NAIC 3,1654895246,1618410450
AAIA,2023Q2,BONDS,NAIC 4,533050689,559787585
AAIA,2023Q2,BONDS,NAIC 5,121708533,102286601
AAIA,2023Q2,BONDS,NAIC 6,92024739,56637215
AAIA,2023Q2,BONDS,NAIC 1,13264003,12798191
AAIA,2023Q2,BONDS,NAIC 2,951676207,213573388
AAIA,2023Q2,BONDS,NAIC 3,111248461,148681898
AAIA,2023Q2,BONDS,NAIC 6,798251,888869
AAIA,2023Q3,BONDS,NAIC 1,43296227956,34048093934
AAIA,2023Q3,BONDS,NAIC 2,26843584487,23303179851
AAIA,2023Q3,BONDS,NAIC 3,1594201967,1618410450
AAIA,2023Q3,BONDS,NAIC 4,513659242,559787585
AAIA,2023Q3,BONDS,NAIC 5,108657474,102286601
AAIA,2023Q3,BONDS,NAIC 6,95286964,56637215
AAIA,2023Q3,BONDS,NAIC 1,12703550,12798191
AAIA,2023Q3,BONDS,NAIC 2,960539290,213573388
AAIA,2023Q3,BONDS,NAIC 3,122221824,148681898
AAIA,2023Q3,BONDS,NAIC 6,888869,434458
AAIA,2023Q4,U.S. Governments,NAIC 1,2077827433,0
AAIA,2023Q4,U.S. Governments,NAIC 2,0,0
AAIA,2023Q4,U.S. Governments,NAIC 3,0,0
AAIA,2023Q4,U.S. Governments,NAIC 4,0,0
AAIA,2023Q4,U.S. Governments,NAIC 5,0,0
AAIA,2023Q4,U.S. Governments,NAIC 6,0,0
AAIA,2023Q4,All Other Governments,NAIC 1,170686753,106294183
AAIA,2023Q4,All Other Governments,NAIC 2,147844066,53696878
AAIA,2023Q4,All Other Governments,NAIC 3,0,0
AAIA,2023Q4,All Other Governments,NAIC 4,0,0
AAIA,2023Q4,All Other Governments,NAIC 5,0,0
AAIA,2023Q4,All Other Governments,NAIC 6,0,0
AAIA,2023Q4,"U.S. States, Territories and Possessions etc.,",NAIC 1,17714716,0
AAIA,2023Q4,"U.S. States, Territories and Possessions etc.,",NAIC 2,0,0
AAIA,2023Q4,"U.S. States, Territories and Possessions etc.,",NAIC 3,0,0
AAIA,2023Q4,"U.S. States, Territories and Possessions etc.,",NAIC 4,0,0
AAIA,2023Q4,"U.S. States, Territories and Possessions etc.,",NAIC 6,0,0
AAIA,2023Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 1,0,0
AAIA,2023Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 2,0,0
AAIA,2023Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 3,0,0
AAIA,2023Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 4,0,0
AAIA,2023Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 5,0,0
AAIA,2023Q4,"U.S. Political Subdivisions of States, Territories and",NAIC 6,0,0
AAIA,2023Q4,U.S. Special Revenue & Special Assessment,NAIC 1,309439698,68049079
AAIA,2023Q4,U.S. Special Revenue & Special Assessment,NAIC 2,36038744,0
AAIA,2023Q4,U.S. Special Revenue & Special Assessment,NAIC 3,0,0
