name,state,date_acquired,book_value,investment_income,ownership_pct
APOLLO INVESTMENT MANAGEMENT EUROPE Italian AIF,LUX,12/18/2023,1793112,-113832,0.59
"Citi - ESG LIHTC Partners I, LLC",DE,02/08/2023,1765087,0,12.06
"NNN Investor 2 (Auto), L.P.",DE,07/11/2019,1675526,162223,1.0
"Designation Book/ Years Other- Foreign Aven Gas & Oil, Inc. Royalties",TX,05/01/2015,1672931,46651,100.0
Liberty Mutual Insurance Co Boston MA 2.A,FE,03/31/2017,1622458,120488,0.0
IRMT-DE1 DESIGNATED ACTIVITY C IRMT-DE1 SUB . DUBLIN,IRL,12/31/2023,1602770,0,0.0
Massachusetts Mutual Life Insu Springfield MA 1.D,FE,10/20/2016,1413599,65556,0.0
Farmers Exchange Capital III Los Angeles CA 2.A,FE,02/01/2018,1044715,27270,0.0
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,03/31/2022,957395,0,0.522
IRMT-DE1 DESIGNATED ACTIVITY C IRMT-DE1 SUB . DUBLIN,IRL,12/31/2023,541778,0,0.0
Leann Sellers Grady County (Woodford- Scoop) Royalties,OK,11/30/2016,505028,59931,100.0
A-A Offshore Java 2021-1 L.P.,CYM,03/25/2021,490208,0,80.54
IRMT-DE1 DESIGNATED ACTIVITY C IRMT-DE1 SUB . DUBLIN,IRL,12/31/2023,456680,0,0.0
Fundamental Partners II LP,DE,10/31/2013,326552,0,0.01
"SONS, LLC AND SON INVESTMENTS AND Highfill Royalties",OK,02/02/2015,309197,13026,100.0
New York Life Insurance Co New York NY 1.C,FE,03/07/2018,256075,13500,0.0
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/01/2022,239908,0,0.522
Sprout Pref Equity,DE,12/17/2021,162898,0,0.0
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/03/2023,142656,0,0.522
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/01/2022,10,0,0.522
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,03/31/2022,0,0,0.522
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/01/2022,0,0,0.522
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/01/2022,0,0,0.522
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/01/2022,0,0,0.522
"A-A OFFSHORE (AAA), L.P. (""A A AltsCo - Core (A-A Offshore AAA)",CYM,04/03/2023,0,0,0.522
"AADE RML, LLC West Des Moines",IA,01/01/2024,0,0,99.0
Mp - Waters Edge Mezzanine LLC,,01/23/2013,0,0,0.01
TRENWICK AMERICA LLC,,04/27/2011,0,0,0.01
"AAIA RML, LLC West Des Moines",IA,01/01/2024,-7,0,99.0
